bundle,path,type,cocos_type,uuid,import,native,native_kind
resources,Prefab/MaoxianPanel/fubenItemPrefab,prefab,cc.Prefab,11tcL9oUhPWKPSXPDNjI4C,assets/resources/import/11/11b5c2fd-a148-4f58-a3d2-5cf0cd8c8e02.json,,
resources,Prefab/HeroPalace/HeroPaleceRebirthPre,prefab,cc.Prefab,118II8VtFJz6k7G+iMmMk5,assets/resources/import/11/11f0823c-56d1-49cf-a93b-1be88c98c939.json,,
resources,Prefab/pvpActivityPanel/pvpActivityShop,prefab,cc.Prefab,12Ch/KkR1ONbADAE+8zKPS,assets/resources/import/12/120a1fca-911d-4e35-b003-004fbccca3d2.json,,
resources,Prefab/MaoxianPanel/DemonTowerPre,prefab,cc.Prefab,12mrc/FxVDibKNFJrOlJA3,assets/resources/import/12/129ab73f-1715-4389-b28d-149ace949037.json,,
resources,Prefab/ForgePanel/ForgeEquipSynthesisQueryPre,prefab,cc.Prefab,13H7DpNpZNHJ6qqV6n6L/R,assets/resources/import/13/131fb0e9-3696-4d1c-9eaa-a95ea7e8bfd1.json,,
resources,Prefab/Welfare/GiftItemPre,prefab,cc.Prefab,13KX2+D8JI0bccKB+fCO0p,assets/resources/import/13/13297dbe-0fc2-48d1-b71c-281f9f08ed29.json,,
resources,Prefab/WarcraftPanel/WarcraftInfoPanelPre,prefab,cc.Prefab,13MAkqn2RO74goTCGas31L,assets/resources/import/13/1330092a-9f64-4eef-8828-4c219ab37d4b.json,,
resources,Prefab/TreasurePanel/UnsealRewardPre,prefab,cc.Prefab,13V7cp1OZKV4me89BA1e7o,assets/resources/import/13/1357b729-d4e6-4a57-899e-f3d040d5eee8.json,,
resources,Prefab/HeroLhPanel/heroLhbg,prefab,cc.Prefab,13cYwZ8nxCHbbEaR+su2Wu,assets/resources/import/13/13718c19-f27c-421d-b6c4-691facbb65ae.json,,
resources,Prefab/UserInfo/UserInfoPre,prefab,cc.Prefab,13d0e+gEVLSLNV6zBw3sO/,assets/resources/import/13/137747be-8045-4b48-b355-eb3070dec3bf.json,,
resources,Prefab/Guild/GuildBoss/GuildBossHeadPre,prefab,cc.Prefab,14dYxmXfJFXb/Dw4cKU1A2,assets/resources/import/14/14758c66-5df2-455d-bfc3-c3870a535036.json,,
resources,Prefab/Guild/GuildWar/GuildWarShopItemPre,prefab,cc.Prefab,14edMnBa5EPJANs9nyR+nu,assets/resources/import/14/1479d327-05ae-443c-900d-b3d9f247e9ee.json,,
resources,Prefab/ActivityPanel/NewHeroActivity/12003,prefab,cc.Prefab,14e53kXwxKv7OAepUv6DOy,assets/resources/import/14/147b9de4-5f0c-4abf-b380-7a952fe833b2.json,,
resources,Prefab/HeroPrefab/205010,prefab,cc.Prefab,14gRfgj1NBaLqSJxf8XiiE,assets/resources/import/14/148117e0-8f53-4168-ba92-2717fc5e2884.json,,
resources,Prefab/ActivityPanel/HefuActivity/HefuXiaofeiItemPre,prefab,cc.Prefab,14gXZ5n8tAqKNjcBuGX0Ds,assets/resources/import/14/14817679-9fcb-40a8-a363-701b865f40ec.json,,
resources,Prefab/mapprefabs/1006,prefab,cc.Prefab,14mjQEQcNDQbc4dtdcNqT/,assets/resources/import/14/149a3404-41c3-4341-b738-76d75c36a4ff.json,,
resources,Prefab/ForgePanel/ForgeEquipDecomposePre,prefab,cc.Prefab,14ovTtlItLSIOR7YgQ95Tj,assets/resources/import/14/14a2f4ed-948b-4b48-8391-ed8810f794e3.json,,
resources,Prefab/SkyCityPanel/SkyCityPvpPre,prefab,cc.Prefab,14q7241chE+Yc4BEGMO+Sr,assets/resources/import/14/14abbdb8-d5c8-44f9-8738-04418c3be4ab.json,,
resources,Prefab/SkyCityPanel/build/7303,prefab,cc.Prefab,14rMwWm71Bj7Fg3qOoDbS2,assets/resources/import/14/14accc16-9bbd-418f-b160-dea3a80db4b6.json,,
resources,Prefab/WarcraftPanel/WarcraftUpgradePre,prefab,cc.Prefab,14wi88+2BLspamLVpDusVd,assets/resources/import/14/14c22f3c-fb60-4bb2-96a6-2d5a43bac55d.json,,
resources,Prefab/RewordPanel/RewordTaskItem,prefab,cc.Prefab,15EQe3X+pGTKt1Wqtudqs5,assets/resources/import/15/151107b7-5fea-464c-ab75-5aab6e76ab39.json,,
resources,Prefab/HeroPalace/HeroPalaceHeroDecomposePre,prefab,cc.Prefab,15P3MRmsBFVJWLPgkwznu3,assets/resources/import/15/153f7311-9ac0-4554-958b-3e0930ce7bb7.json,,
resources,Prefab/ActivityPanel/kaifuactivity/ActivityLevelGiftPre,prefab,cc.Prefab,15f1IhMxpKE7OlSBUOS7dg,assets/resources/import/15/157f5221-331a-4a13-b3a5-48150e4bb760.json,,
resources,Prefab/TreasurePanel/SealItemPrefab,prefab,cc.Prefab,156PjmlBNDO62zVaJ7J3Qt,assets/resources/import/15/15e8f8e6-9413-433b-adb3-55a27b27742d.json,,
resources,Prefab/comPrefab/MoneyItemPre,prefab,cc.Prefab,16MLDdcw5HGYssanTB0cZe,assets/resources/import/16/1630b0dd-730e-4719-8b2c-6a74c1d1c65e.json,,
resources,Prefab/MaoxianPanel/DemonTowerLvInfoPre,prefab,cc.Prefab,18bS5CalpMvbr+yMbygwZ2,assets/resources/import/18/186d2e42-6a5a-4cbd-bafe-c8c6f2830676.json,,
resources,Prefab/yjTreasure/yjHeroheadItemPre,prefab,cc.Prefab,181RAS96xNnIPh4urwrfMJ,assets/resources/import/18/18d51012-f7ac-4d9c-83e1-e2eaf0adf309.json,,
resources,Prefab/ActivityPanel/NewHeroComing/NewHeroComingBaoXiangBLPre,prefab,cc.Prefab,18/0WE8KlAX4wWJxqKr8J1,assets/resources/import/18/18ff4584-f0a9-405f-8c16-271a8aafc275.json,,
resources,Prefab/HerolhPrefab/205009,prefab,cc.Prefab,19Hz2RNeRHQadZrQMWf9s1,assets/resources/import/19/191f3d91-35e4-4741-a759-ad03167fdb35.json,,
resources,Prefab/bigImage/1030,prefab,cc.Prefab,19VigYOi9KUawBWuGhI89w,assets/resources/import/19/19562818-3a2f-4a51-ac01-5ae1a123cf70.json,,
resources,Prefab/CombatPrefab/combatRing,prefab,cc.Prefab,19YbCOy0xHC6CzbAnD5rrb,assets/resources/import/19/1961b08e-cb4c-470b-a0b3-6c09c3e6badb.json,,
resources,Prefab/ActivityPanel/changzhuactivity/ActivityHeroDuiHuanPre,prefab,cc.Prefab,19yatXg1JLN6dqdxdtPPmm,assets/resources/import/19/19c9ab57-8352-4b37-a76a-77176d3cf9a6.json,,
resources,Prefab/MaoxianPanel/MaoxianMapPreBotton,prefab,cc.Prefab,1aYjy/OCBH2ZLRRDYBTd3z,assets/resources/import/1a/1a623cbf-3820-47d9-92d1-4436014dddf3.json,,
resources,Prefab/HeroPrefab/204001,prefab,cc.Prefab,1bN+xe+PVKDLN96QMFkAl+,assets/resources/import/1b/1b37ec5e-f8f5-4a0c-b37d-e9030590097e.json,,
resources,Prefab/HeroXZPrefab/StaritemPre,prefab,cc.Prefab,1bdqB+GV9F4IA0zFtaUl44,assets/resources/import/1b/1b76a07e-195f-45e0-8034-cc5b5a525e38.json,,
resources,Prefab/HerolhPrefab/1050112,prefab,cc.Prefab,1blKOWVYdHb4vyY5B8Y1YD,assets/resources/import/1b/1b94a396-5587-476f-8bf2-63907c635603.json,,
resources,Prefab/RechargePanel/vipPrivilegeItemPrefab,prefab,cc.Prefab,1boTG9S7tEh7LjxA8ynqA4,assets/resources/import/1b/1ba131bd-4bbb-4487-b2e3-c40f329ea038.json,,
resources,Prefab/HeroPrefab/304003,prefab,cc.Prefab,1bv/LZNExBRa/yIv3Sox7N,assets/resources/import/1b/1bbff2d9-344c-4145-aff2-22fdd2a31ecd.json,,
resources,Prefab/mainpanel/heroHead,prefab,cc.Prefab,1cCLmqFKpDVqR6zPE9t84O,assets/resources/import/1c/1c08b9aa-14aa-4356-a47a-ccf13db7ce0e.json,,
resources,Prefab/payPanel/LoginPre,prefab,cc.Prefab,1cKM+wwU5GN6qgyRLkiq2V,assets/resources/import/1c/1c28cfb0-c14e-4637-aaa0-c912e48aad95.json,,
resources,Prefab/XQkaifu/XQrankPanel,prefab,cc.Prefab,1cdk0yuo5Bo5Qdl/d3cAM3,assets/resources/import/1c/1c764d32-ba8e-41a3-941d-97f777700337.json,,
resources,Prefab/bigImage/1050,prefab,cc.Prefab,1c6pHIVBlDJb9Jtc0HUvM7,assets/resources/import/1c/1cea91c8-5419-4325-bf49-b5cd0752f33b.json,,
resources,Prefab/HeroActivityPanel/HeroActcsBoxPre,prefab,cc.Prefab,1dPyXMJTRArafCpU2gk1Yf,assets/resources/import/1d/1d3f25cc-2534-40ad-a7c2-a54da093561f.json,,
resources,Prefab/Guild/GuildWar/GuildWarBoxPre,prefab,cc.Prefab,1dUaEeQPhPWLfilcVs76+o,assets/resources/import/1d/1d51a11e-40f8-4f58-b7e2-95c56cefafa8.json,,
resources,Prefab/ZhiYeTower/ZhiYeTowerPre,prefab,cc.Prefab,1dZ+MjcCRGoobFB7m+D9Q1,assets/resources/import/1d/1d67e323-7024-46a2-86c5-07b9be0fd435.json,,
resources,Prefab/Guild/GuildNoticePre,prefab,cc.Prefab,1eDWnlJsNEXKCFNjqM59ZD,assets/resources/import/1e/1e0d69e5-26c3-445c-a085-363a8ce7d643.json,,
resources,Prefab/ActivityPanel/kaifuactivity/MengXinFuLi,prefab,cc.Prefab,1eEBmfqdZB4riXV3ihhrpD,assets/resources/import/1e/1e10199f-a9d6-41e2-b897-5778a186ba43.json,,
resources,Prefab/HerolhPrefab/5050041,prefab,cc.Prefab,1e+mO0i+ZKD5K+ELpD/X/8,assets/resources/import/1e/1efa63b4-8be6-4a0f-92be-10ba43fd7ffc.json,,
resources,Prefab/ActivityPanel/DrawCardActivity/13004,prefab,cc.Prefab,1fmYNRzdxECpFOMfe0BLka,assets/resources/import/1f/1f998351-cddc-440a-914e-31f7b404b91a.json,,
resources,Prefab/MaoxianPanel/FriendsSupportPre,prefab,cc.Prefab,1ftxjUguVI7K6xI9WVZYhy,assets/resources/import/1f/1fb718d4-82e5-48ec-aeb1-23d595658872.json,,
resources,Prefab/HerolhPrefab/205004,prefab,cc.Prefab,1fz9U/lFlBR76sQrTMBBNb,assets/resources/import/1f/1fcfd53f-9459-4147-beac-42b4cc04135b.json,,
resources,Prefab/ActivityPanel/changzhuactivity/ActivityWangKaPre,prefab,cc.Prefab,1f6c+BZFlKS6sDjjXlbB7S,assets/resources/import/1f/1fe9cf81-6459-4a4b-ab03-8e35e56c1ed2.json,,
resources,Prefab/ActivityPanel/blindboxactivity/BlindBoxRewardPre,prefab,cc.Prefab,1f93d58RlGLZ+Oghm8fZXg,assets/resources/import/1f/1ff77779-f119-462d-9f8e-8219bc7d95e0.json,,
resources,Prefab/JingjiPrefab/team/teamRecordPre,prefab,cc.Prefab,20DyEKAmRGJ5Hxf1kl3cuY,assets/resources/import/20/200f210a-0264-4627-91f1-7f5925ddcb98.json,,
resources,Prefab/Battle/StoryDialogPre,prefab,cc.Prefab,20LK2oebJJtbRmq53L/Elo,assets/resources/import/20/202cada8-79b2-49b5-b466-ab9dcbfc4968.json,,
resources,Prefab/HeroPrefab/1000303,prefab,cc.Prefab,20hbC4IHlHYJjyKYwIcU+n,assets/resources/import/20/2085b0b8-2079-4760-98f2-298c08714fa7.json,,
resources,Prefab/longComing/longRewordPre,prefab,cc.Prefab,20rjG8/IFBOY+MSTjfHGdY,assets/resources/import/20/20ae31bc-fc81-4139-8f8c-4938df1c6758.json,,
resources,Prefab/longComing/longFightReadyPre,prefab,cc.Prefab,20tfqwVmlFQrxpk9OWimdc,assets/resources/import/20/20b5fab0-5669-4542-bc69-93d3968a675c.json,,
resources,Prefab/JingjiPrefab/wangzhe/wangzhejingcaiPanel,prefab,cc.Prefab,20+HTLWB5I24WhgRDmsaBJ,assets/resources/import/20/20f874cb-581e-48db-85a1-8110e6b1a049.json,,
resources,Prefab/HerolhPrefab/105009,prefab,cc.Prefab,21KbfcKWxLRrJnMGSMN4bN,assets/resources/import/21/2129b7dc-296c-4b46-b267-30648c3786cd.json,,
resources,Prefab/JingjiPrefab/itembuyPre,prefab,cc.Prefab,21c/OE4kZMdqPZbmmtKHJS,assets/resources/import/21/2173f384-e246-4c76-a3d9-6e69ad287252.json,,
resources,Prefab/SkyCityPanel/build/7301,prefab,cc.Prefab,21yODpYoFEuYT3m3ZZDnxB,assets/resources/import/21/21c8e0e9-6281-44b9-84f7-9b76590e7c41.json,,
