category,path,bundle,uuid,import,source_ref_count,source_modules,doc_ref_count
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivityRechargePre,,53IrFc0kJO7LXQY2wL0dMp,assets/resources/import/53/5322b15c-d242-4eec-b5d0-636c0bd1d329.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivitySingleRechargePre,,fbYRMNVRpDjZSjfmIfw+ow,assets/resources/import/fb/fb61130d-551a-438d-94a3-7e621fc3ea30.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivityTianMingPre,,3bMc4ffwlOILentdo+kkYT,assets/resources/import/3b/3b31ce1f-7f09-4e20-b7a7-b5da3e924613.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivityToggle,,84nDcTmz5FNaMUJe6eKhLL,assets/resources/import/84/849c3713-9b3e-4535-a314-25ee9e2a12cb.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleItem,,51T8t1k8BEGpDGT3BiTvF6,assets/resources/import/51/514fcb75-93c0-441a-90c6-4f70624ef17a.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleLandItem,,0cDZ2T4RhJzI8UfFqK/NQF,assets/resources/import/0c/0c0d9d93-e118-49cc-8f14-7c5a8afcd405.json,0,,0
ActivityPanel,Prefab/ActivityPanel/DrawCardActivity/,,,,0,,2
ActivityPanel,Prefab/ActivityPanel/DrawCardActivity/13002,,e2b0SRnhZKVbZxCwtKEryq,assets/resources/import/e2/e26f4491-9e16-4a55-b671-0b0b4a12bcaa.json,0,,3
ActivityPanel,Prefab/ActivityPanel/DrawCardActivity/13003,,a3pqrtu5ZPe6hyjRbtBPep,assets/resources/import/a3/a3a6aaed-bb96-4f7b-a872-8d16ed04f7a9.json,0,,1
ActivityPanel,Prefab/ActivityPanel/DrawCardActivity/13004,,1fmYNRzdxECpFOMfe0BLka,assets/resources/import/1f/1f998351-cddc-440a-914e-31f7b404b91a.json,0,,1
ActivityPanel,Prefab/ActivityPanel/DrawCardActivity/13005,,71C1zugZxCQLVVE5tNpFaD,assets/resources/import/71/710b5cee-819c-4240-b555-139b4da45683.json,0,,1
ActivityPanel,Prefab/ActivityPanel/DrawCardActivity/DrawCardActivityPre,,10puFzZhFIurcjVIkiXQB2,assets/resources/import/10/10a6e173-6611-48ba-b723-5489225d0076.json,1,DrawCardActivityPanel,4
ActivityPanel,Prefab/ActivityPanel/DrawCardActivity/DrawCardActivityToggle,,a6bxFa8FxLXIfUBsEiXm5F,assets/resources/import/a6/a66f115a-f05c-4b5c-87d4-06c1225e6e45.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuActivityPre,,f199+V1JpMVpDEohtBxNio,assets/resources/import/f1/f1f7df95-d49a-4c56-90c4-a21b41c4d8a8.json,1,HefuActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuActivityToggle,,36/LxGVVJKJ5JPA+VB6YLP,assets/resources/import/36/36fcbc46-5552-4a27-924f-03e541e982cf.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuLiheItemPre,,23YU/VHTVMCq4C6y+NhMMr,assets/resources/import/23/23614fd5-1d35-4c0a-ae02-eb2f8d84c32b.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuLihePre,,2cKRLt7HJPFqNTaxQz3xbH,assets/resources/import/2c/2c2912ed-ec72-4f16-a353-6b1433df16c7.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuRewardPre,,94MshMm2pBuaHsnFZryLPH,assets/resources/import/94/9432c84c-9b6a-41b9-a1ec-9c566bc8b3c7.json,1,HefuActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuTehuiItemPre,,3bfmztGxBJ25xmA3Sn92QV,assets/resources/import/3b/3b7e6ced-1b10-49db-9c66-0374a7f76415.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuTehuiPre,,b4a5Ym4bJHc7/DV3XpnflR,assets/resources/import/b4/b46b9626-e1b2-4773-bfc3-5775e99df951.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuXiaofeiItemPre,,14gXZ5n8tAqKNjcBuGX0Ds,assets/resources/import/14/14817679-9fcb-40a8-a363-701b865f40ec.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuXiaofeiPre,,51JLdrsa1NVJOOqRDgnu8N,assets/resources/import/51/5124b76b-b1ad-4d54-938e-a910e09eef0d.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuXuyuanItemPre,,e6VNaVEU5HjaxY0tVjHJfl,assets/resources/import/e6/e654d695-114e-478d-ac58-d2d5631c97e5.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefuXuyuanPre,,5eSwV17g9DUJZZxS1k0kWX,assets/resources/import/5e/5e4b0575-ee0f-4350-9659-c52d64d24597.json,0,,0
ActivityPanel,Prefab/ActivityPanel/HefuActivity/HefurewardItemPre,,d8dnFk/yJE+6s+0HK462qQ,assets/resources/import/d8/d8767164-ff22-44fb-ab3e-d072b8eb6a90.json,0,,0
ActivityPanel,Prefab/ActivityPanel/JuHuiActivity/JuHuiActivityPre,,68JT8HDNlMa5MQf8BYsCuW,assets/resources/import/68/68253f07-0cd9-4c6b-9310-7fc058b02b96.json,1,JuHuiActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/12001,,f1s3QqfVFC0Z0HaLPtQnC6,assets/resources/import/f1/f1b3742a-7d51-42d1-9d07-68b3ed4270ba.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/12002,,f2l/D9guRI97/F4CUbJCwS,assets/resources/import/f2/f297f0fd-82e4-48f7-bfc5-e0251b242c12.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/12003,,14e53kXwxKv7OAepUv6DOy,assets/resources/import/14/147b9de4-5f0c-4abf-b380-7a952fe833b2.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/12006,,e93Joo1FRK2K6MQuOzhD5j,assets/resources/import/e9/e9dc9a28-d454-4ad8-ae8c-42e3b3843e63.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/12007,,69aBly2fpN4YKuSn3/eRUx,assets/resources/import/69/69681972-d9fa-4de1-82ae-4a7dff791531.json,1,NewHeroActivity12007Panel,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/12008,,089YwxP8pHybYFIMMc4q8o,assets/resources/import/08/08f58c31-3fca-47c9-b605-20c31ce2af28.json,1,NewHeroActivity12008Panel,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/NewHeroActivityChangeHeroPre,,edZXLZ8nJO7Jd89R4MckhT,assets/resources/import/ed/ed6572d9-f272-4eec-977c-f51e0c724853.json,1,NewHeroActivityChangeHeroPanel,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/NewHeroActivityLiheItemPre,,4aBU01d25CL5bJZUIR3nWp,assets/resources/import/4a/4a054d35-776e-422f-96c9-654211de75a9.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/NewHeroActivityPre,,f36Z3d8t5KKq6W3k2EjZWw,assets/resources/import/f3/f3e99ddd-f2de-4a2a-ae96-de4d848d95b0.json,1,NewHeroActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/NewHeroActivity/NewHeroActivityToggle,,bem2hH9n9NQrkuJZjg+V/b,assets/resources/import/be/be9b6847-f67f-4d42-b92e-2598e0f95fdb.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingBaoXiangBLPre,,18/0WE8KlAX4wWJxqKr8J1,assets/resources/import/18/18ff4584-f0a9-405f-8c16-271a8aafc275.json,1,NewHeroComingBaoXiangBLPanel,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingBaoXiangPre,,d93gyojBVHraIZyYg86yZA,assets/resources/import/d9/d9de0ca8-8c15-47ad-a219-c9883ceb2640.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingJiangLinPre,,8ajmnyOdVFiqhwgq2aq9Li,assets/resources/import/8a/8a8e69f2-39d5-458a-a870-82ad9aabd2e2.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingLiHeItemPre,,88NYZfD81D37BmFpxmIw2r,assets/resources/import/88/8835865f-0fcd-43df-b066-169c66230dab.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingLiHePre,,56ECkCowpCdbMUUPePJ77n,assets/resources/import/56/56102902-a30a-4275-b314-50f78f27bee7.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingPre,,acBDcZJUJHgoscWj2ZFXdP,assets/resources/import/ac/ac043719-2542-4782-8b1c-5a3d9915774f.json,1,NewHeroComingPanel,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingQiFuHeroPre,,6bO5JvCuRNGYpu6vB1EmNN,assets/resources/import/6b/6b3b926f-0ae4-4d19-8a6e-eaf07512634d.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingQiFuPre,,7aavulk79E3rv5PtIiDgzx,assets/resources/import/7a/7a6afba5-93bf-44de-bbf9-3ed2220e0cf1.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingRenWuItemPre,,55tXI1mOdOA5UDGWwt470F,assets/resources/import/55/55b57235-98e7-4e03-9503-196c2de3bd05.json,0,,0
ActivityPanel,Prefab/ActivityPanel/NewHeroComing/NewHeroComingRenWuPre,,767LdHg9hIo5mC0GQAR/Mp,assets/resources/import/76/76ecb747-83d8-48a3-9982-d0640047f329.json,0,,0
ActivityPanel,Prefab/ActivityPanel/PreRegAvtivity/PreRegAvtivityPre,,54wSugRHNEXK+bzTCDtHAL,assets/resources/import/54/54c12ba0-4473-445c-af9b-cd3083b4700b.json,1,PreRegActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuActivityPre,,742Fb3EbJJkofIon5XnGcd,assets/resources/import/74/74d856f7-11b2-4992-87c8-a27e579c671d.json,1,YueChuActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuActivityToggle,,60RCARAkVHl7N3461uhxyJ,assets/resources/import/60/60442011-0245-4797-b377-e3ad6e871c89.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuLiheItemPre,,05Rs67iA1H1ogJkz35r8Kj,assets/resources/import/05/0546cebb-880d-47d6-8809-933df9afc2a3.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuLihePre,,a8fum/JoVLPoKsly8LY8jT,assets/resources/import/a8/a87ee9bf-2685-4b3e-82ac-972f0b63c8d3.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuRewardPre,,2fHuhT28pOcakyrkioGaHi,assets/resources/import/2f/2f1ee853-dbca-4e71-a932-ae48a819a1e2.json,1,YueChuActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuTehuiItemPre,,22vJozZpdOa6g6mOXG7Bwi,assets/resources/import/22/22bc9a33-6697-4e6b-a83a-98e5c6ec1c22.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuTehuiPre,,6cK/Ffp2tA95HpiVj0HLAq,assets/resources/import/6c/6c2bf15f-a76b-40f7-91e9-8958f41cb02a.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuXiaofeiItemPre,,99tjACw3VPqooMHTIQ6RzY,assets/resources/import/99/99b63002-c375-4faa-8a0c-1d3210e91cd8.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuXiaofeiPre,,fc/78q0rJEqKbxeHd2q59m,assets/resources/import/fc/fcffbf2a-d2b2-44a8-a6f1-787776ab9f66.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuXuyuanItemPre,,cfMODKpQtGg5UH/26pAi0q,assets/resources/import/cf/cf30e0ca-a50b-4683-9507-ff6ea9022d2a.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChuXuyuanPre,,33WXQgtXRDAbr71Zt/wMii,assets/resources/import/33/33597420-b574-4301-bafb-d59b7fc0c8a2.json,0,,0
ActivityPanel,Prefab/ActivityPanel/YueChuActivity/YueChurewardItemPre,,038z+trk1NYJ65tsk8W/mp,assets/resources/import/03/03f33fad-ae4d-4d60-9eb9-b6c93c5bf9a9.json,0,,0
ActivityPanel,Prefab/ActivityPanel/ZhaoHuanActivity/ZhaoHuanActivityPre,,85s1LShgFGGIsCZTppE7ih,assets/resources/import/85/85b352d2-8601-4618-8b02-653a6913b8a1.json,1,ZhaoHuanActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/blindboxactivity/BlindBoxPre,,d6eagVuHNCq5OhXMd4QoRk,assets/resources/import/d6/d679a815-b873-42ab-93a1-5cc778428464.json,1,BlindBoxPanel,0
ActivityPanel,Prefab/ActivityPanel/blindboxactivity/BlindBoxRewardPre,,1f93d58RlGLZ+Oghm8fZXg,assets/resources/import/1f/1ff77779-f119-462d-9f8e-8219bc7d95e0.json,1,BlindBoxRewardPanel,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityAuguryPre,,8elfv1nzBKUJ+inhJuU2e4,assets/resources/import/8e/8e95fbf5-9f30-4a50-9fa2-9e126e5367b8.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityFirstRechargePre,,64hZNdXL9AzJUKYCiCE72R,assets/resources/import/64/6485935d-5cbf-40cc-950a-60288213bd91.json,1,ActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityFundPre,,aeE97Wb1VFcZg+nrBeJA/E,assets/resources/import/ae/ae13ded6-6f55-4571-983e-9eb05e240fc4.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityGrowthPagItem,,9fLNEXs6ZDMLtkuSzIFfus,assets/resources/import/9f/9f2cd117-b3a6-4330-bb64-b92cc815fbac.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityGrowthPagPre,,eeZB0Q/glOQYUMxp5brJ3k,assets/resources/import/ee/ee641d10-fe09-4e41-850c-c69e5bac9de4.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityHeroDuiHuanPre,,19yatXg1JLN6dqdxdtPPmm,assets/resources/import/19/19c9ab57-8352-4b37-a76a-77176d3cf9a6.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityMonthCardPre,,ffuzGRm/xJQYy8RY1aKaAY,assets/resources/import/ff/ffbb3191-9bfc-4941-8cbc-458d5a29a018.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityPlatinumZhouKaPre,,e6tvMhkQROAq32figsp814,assets/resources/import/e6/e6b6f321-9104-4e02-adf6-7e282ca7cd78.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityPrivilegeItem,,eaDjX7TN5HJo2YuSGPX5B2,assets/resources/import/ea/ea0e35fb-4cde-4726-8d98-b9218f5f9076.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityPrivilegeShopPre,,a3ZGqYzIVM66FlYEMF2QKq,assets/resources/import/a3/a3646a98-cc85-4ceb-a165-604305d902aa.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityUnlimitedCallPre,,88Icg9pHhMM4Vm9ldITR1Y,assets/resources/import/88/8821c83d-a478-4c33-8566-f657484d1d58.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityWangKaPre,,1f6c+BZFlKS6sDjjXlbB7S,assets/resources/import/1f/1fe9cf81-6459-4a4b-ab03-8e35e56c1ed2.json,0,,0
ActivityPanel,Prefab/ActivityPanel/changzhuactivity/ActivityWangKaRewordPreviewPre,,5bsdHF7EBJy5ZIs6M+V1sj,assets/resources/import/5b/5bb1d1c5-ec40-49cb-9648-b3a33e575b23.json,1,ActivityWangKaRewordPreviewPre,0
ActivityPanel,Prefab/ActivityPanel/discordActivity/discordActivityPre,,81iztOKyZCfr4v+wOh4Fu9,assets/resources/import/81/818b3b4e-2b26-427e-be2f-fb03a1e05bbd.json,1,DiscordActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/guoqingactivity/GuoqingActivity,,7dRxlboIxJboNyCBN4Uzhf,assets/resources/import/7d/7d47195b-a08c-496e-8372-08137853385f.json,1,guoqingPre,0
ActivityPanel,Prefab/ActivityPanel/guoqingactivity/GuoqingGetGiftPre,,58OL4wGF5M66mfWb8ok2ew,assets/resources/import/58/5838be30-185e-4ceb-a99f-59bf289367b0.json,1,GuoqingGetGiftPre,0
ActivityPanel,Prefab/ActivityPanel/guoqingactivity/GuoqingTaskPerPre,,c0+sRAJW9DrJahP5Uq8tQ9,assets/resources/import/c0/c0fac440-256f-43ac-96a1-3f952af2d43d.json,1,GuoqingTaskPerPrePanel,0
ActivityPanel,Prefab/ActivityPanel/guoqingactivity/GuoqingTaskPre,,2f5sZ/OhNCpa0IuyUwazxM,assets/resources/import/2f/2fe6c67f-3a13-42a5-ad08-bb25306b3c4c.json,1,GuoqingTaskPrePanel,0
ActivityPanel,Prefab/ActivityPanel/guoqingactivity/GuoqingdingzhiPre,,0ah7mA431FXIVrw0Ys0Q7l,assets/resources/import/0a/0a87b980-e37d-455c-856b-c3462cd10ee5.json,0,,0
ActivityPanel,Prefab/ActivityPanel/guoqingactivity/OrderGiftPre,,deGpavXLVNEZddKtlyvewh,assets/resources/import/de/de1a96af-5cb5-4d11-975d-2ad972bdec21.json,1,OrderGiftPanel,0
ActivityPanel,Prefab/ActivityPanel/hitworkactivity/HitWorkPre,,b9M7e4I/FHeZDM5tpOm6of,assets/resources/import/b9/b933b7b8-23f1-4779-90cc-e6da4e9baa1f.json,1,hitworkPre,0
ActivityPanel,Prefab/ActivityPanel/hitworkactivity/buyworkpre,,44V23JrU1Nd5eRBd7QIahs,assets/resources/import/44/44576dc9-ad4d-4d77-9791-05ded021a86c.json,1,buyworkpre,0
ActivityPanel,Prefab/ActivityPanel/jueduiactivity/ActivityTeHuiLiHePre,,bbgeBz/k1IUqCwmgmv0XmT,assets/resources/import/bb/bb81e073-fe4d-4852-a0b0-9a09afd17993.json,0,,0
ActivityPanel,Prefab/ActivityPanel/jueduiactivity/ActivityXianShiLiHePre,,79NfXQ9R1MQaCs0IAKNJwS,assets/resources/import/79/7935f5d0-f51d-4c41-a0ac-d0800a349c12.json,0,,0
ActivityPanel,Prefab/ActivityPanel/jueduiactivity/TeHuiDetailPre,,a4iqDylTxJnYEtcdi6i4YX,assets/resources/import/a4/a48aa0f2-953c-499d-812d-71d8ba8b8617.json,1,TeHuiDetailPanel,0
ActivityPanel,Prefab/ActivityPanel/jueduiactivity/TeHuiItemPre,,efboJysj1BoIBHVSPU09W7,assets/resources/import/ef/ef6e8272-b23d-41a0-8047-5523d4d3d5bb.json,0,,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/ActivityLevelGiftItem,,2akBkb58VGyIimj3joU9nf,assets/resources/import/2a/2a90191b-e7c5-46c8-88a6-8f78e853d9df.json,1,WelfarePanel,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/ActivityLevelGiftPre,,15f1IhMxpKE7OlSBUOS7dg,assets/resources/import/15/157f5221-331a-4a13-b3a5-48150e4bb760.json,1,WelfarePanel,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/ActivityQiTianItem,,35dgWNNv5AC4EpnVcBSb/s,assets/resources/import/35/3576058d-36fe-400b-8129-9d570149bfec.json,0,,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/ActivityQiTianPre,,90i2tAtu1KJqrSJJUkNfQC,assets/resources/import/90/908b6b40-b6ed-4a26-aad2-24952435f402.json,1,ActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/MengXinFuLi,,1eEBmfqdZB4riXV3ihhrpD,assets/resources/import/1e/1e10199f-a9d6-41e2-b897-5778a186ba43.json,0,,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/ZhanLiChongCi,,075pP892dG0oz+zEAcqdbs,assets/resources/import/07/07e693fc-f767-46d2-8cfe-cc401ca9d6ec.json,0,,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/zhanshenItemPre,,4a3tDF9blDx4ITqp8968EH,assets/resources/import/4a/4aded0c5-f5b9-43c7-8213-aa9f3debc107.json,0,,0
ActivityPanel,Prefab/ActivityPanel/kaifuactivity/zhanshencomePre,,f8hZ4Quv1JPobLoIRnMFmj,assets/resources/import/f8/f8859e10-bafd-493e-86cb-a084673059a3.json,0,,0
ActivityPanel,Prefab/ActivityPanel/recharge/ActivityRechargePre,,b055wClKdMJrKklBtS2j7c,assets/resources/import/b0/b0e79c02-94a7-4c26-b2a4-941b52da3edc.json,0,,0
ActivityPanel,Prefab/ActivityPanel/shengdanactivity/ShengDanActivity,,63aCjgc6lAd4FUjOnqiTDf,assets/resources/import/63/636828e0-73a9-4077-8154-8ce9ea8930df.json,1,ShengDanPanel,0
ActivityPanel,Prefab/ActivityPanel/thousandDrawCardActivity/ThousandDrawCardActivityPre,,51L1tUKWlL8Zt8MJbfPOhr,assets/resources/import/51/512f5b54-2969-4bf1-9b7c-3096df3ce86b.json,1,ThousandDrawCardActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/thousandDrawCardActivity/ThousandDrawCardDetailPre,,deXR/Rr/lAR6+jwzCKTREc,assets/resources/import/de/de5d1fd1-aff9-4047-afa3-c3308a4d111c.json,1,ThousandDrawCardDetailPanel,0
ActivityPanel,Prefab/ActivityPanel/thousandDrawCardActivity/ThousandDrawCardRankItemPre,,b1iCjpFeROwqrAiZTjVFVU,assets/resources/import/b1/b18828e9-15e4-4ec2-aac0-8994e3545554.json,0,,0
ActivityPanel,Prefab/ActivityPanel/thousandDrawCardActivity/ThousandDrawCardRankPre,,5cuZ9FvQNB/a1JwO7o7x0r,assets/resources/import/5c/5cb99f45-bd03-41fd-ad49-c0eee8ef1d2b.json,1,ThousandDrawCardRankPanel,0
ActivityPanel,Prefab/ActivityPanel/thousandDrawCardActivity/ThousandDrawCardSavePre,,e0d4pqab9H8oPvXHmFRSie,assets/resources/import/e0/e0778a6a-69bf-47f2-83ef-5c798545289e.json,1,ThousandDrawCardSavePanel,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunActivity1,,c5ahUDJBNAPK1PFArmfRYf,assets/resources/import/c5/c56a1503-2413-403c-ad4f-140ae67d161f.json,0,,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunActivity2,,882a21VjVOzLHXUhQeUA2X,assets/resources/import/88/88d9adb5-5635-4ecc-b1d7-52141e500d97.json,0,,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunActivity3,,6bLosmCEZHuplT2K84DFqs,assets/resources/import/6b/6b2e8b26-0846-47ba-9953-d8af380c5aac.json,0,,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunActivity4,,71Bkx0C81J37t07SULRK1H,assets/resources/import/71/71064c74-0bcd-49df-bb74-ed250b44ad47.json,0,,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunActivityPre,,baVjgnP5hO2YBQFri/kQu3,assets/resources/import/ba/ba563827-3f98-4ed9-8050-16b8bf910bb7.json,1,XinChunActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunGetGiftPre,,d0WhKVTFxDq4k502P253Om,assets/resources/import/d0/d05a1295-4c5c-43ab-8939-d363f6e773a6.json,1,XinChunGetGiftPanel,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunItem1Pre,,82w6PUxflEIqxs2czu0lX+,assets/resources/import/82/82c3a3d4-c5f9-4422-ac6c-d9cceed255fe.json,0,,0
ActivityPanel,Prefab/ActivityPanel/xinchunActivity/XinChunItem2Pre,,06bAjD8O1H3rQoK4RjrqTx,assets/resources/import/06/066c08c3-f0ed-47de-b428-2b8463aea4f1.json,0,,0
ActivityPanel,Prefab/ActivityPanel/yuanxiaoactivity/YuanxiaoActivity,,acxDK328VMsZMOuSnywROO,assets/resources/import/ac/acc432b7-dbc5-4cb1-930e-b929f2c1138e.json,1,YuanxiaoPanel,0
BagPanel,Prefab/BagPanel/BagPre,,992+3RERpKCI68yyY2IIH1,assets/resources/import/99/99dbedd1-111a-4a08-8ebc-cb26362081f5.json,1,BagPanel,4
BagPanel,Prefab/BagPanel/BagSellEquipPre,,00FtJtYB5Hr5kbJX5F0B05,assets/resources/import/00/0016d26d-601e-47af-991b-257e45d01d39.json,1,BagSellEquipPanel,0
BagPanel,Prefab/BagPanel/GridBoxItemPre,,35lSoMCK9PjYZRkAC/hmbN,assets/resources/import/35/35952a0c-08af-4f8d-8651-9000bf8666cd.json,0,,2
BagPanel,Prefab/BagPanel/GridBoxPre,,043DQofDRD7YBxm1XP3Cyw,assets/resources/import/04/04dc3428-7c34-43ed-8071-9b55cfdc2cb0.json,1,GridBoxPanel,0
