NpcID,Name,SkinID,ParentID,UnlockQuestID,NeedUnlockFurnitureID,UnlockType,UnlockValue_01,UnlockValue_02,isUnlockAnim,Icon_LD,Icon_SD,Prefab_LD,Prefab_SD,Prefab_SD_OutGame,Npc_Icon,Npc_CryIcon,Npc_Prefab,NPCType,PersonalColor,IsDormitory,row_index,record_offset
1006,Akane_Casual01,1006101,0,0,0,0,0,0,False,,Cos_Maid05_Casual01_SD,Maid_1005_LD_Casual01,Maid_1005_SD_Casual01_Ingame,Maid_1005_SD_Casual01,,,,1,#EE7777,False,12,2156
1007,Kurone_Casual01,1007101,0,0,0,0,0,0,False,,Cos_Maid06_Casual01_SD,Maid_1006_LD_Casual01,Maid_1006_SD_Casual01_Ingame,Maid_1006_SD_Casual01,,,,1,#9C84BB,True,13,2364
1008,Aiko_Playable_Casual01,1008101,0,0,0,0,0,0,False,,Cos_Maid07_Casual01_SD,Maid_1007_LD_Casual01,Maid_1007_SD_Casual01_Ingame,Maid_1007_SD_Casual01,,,,1,#FEFFC7,True,14,2572
1002,Kokomi_SwimSuit01,1002201,0,0,0,0,0,0,False,,Maid_1001_SD_Summer01,Maid_1001_LD_Summer01,Maid_1001_SD_Summer01_Ingame,Maid_1001_SD_Summer01,,,,1,#FFAACC,False,15,2788
1003,Aku_SwimSuit01,1003201,0,0,0,0,0,0,False,,Maid_1002_SD_Summer01,Maid_1002_LD_Summer01,Maid_1002_SD_Summer01_Ingame,Maid_1002_SD_Summer01,,,,1,#7AA2F3,False,16,3000
1004,Yuki_SwimSuit01,1004201,0,0,0,0,0,0,False,,Maid_1003_SD_Summer01,Maid_1003_LD_Summer01,Maid_1003_SD_Summer01_Ingame,Maid_1003_SD_Summer01,,,,1,#AADDEE,False,17,3208
1005,Kaede_SwimSuit01,1005201,0,0,0,0,0,0,False,,Maid_1004_SD_Summer01,Maid_1004_LD_Summer01,Maid_1004_SD_Summer01_Ingame,Maid_1004_SD_Summer01,,,,1,#BBDDBB,False,18,3416
1006,Akane_SwimSuit01,1006201,0,0,0,0,0,0,False,,Maid_1005_SD_Summer01,Maid_1005_LD_Summer01,Maid_1005_SD_Summer01_Ingame,Maid_1005_SD_Summer01,,,,1,#EE7777,False,19,3624
1002,Kokomi_Band01,1002102,0,0,0,0,0,0,False,,Cos_Maid01_Band01_SD,Maid_1001_LD_Band01,Maid_1001_SD_Band01_Ingame,Maid_1001_SD_Band01,,,,1,#FFAACC,False,20,3832
1005,Kaede_Band01,1005102,0,0,0,0,0,0,False,,Cos_Maid04_Band01_SD,Maid_1004_LD_Band01,Maid_1004_SD_Band01_Ingame,Maid_1004_SD_Band01,,,,1,#BBDDBB,False,21,4028
1003,Aku_Halloween01,1003202,0,0,0,0,0,0,False,,Maid_1002_SD_Halloween01,Maid_1002_LD_Halloween01,Maid_1002_SD_Halloween01_Ingame,Maid_1002_SD_Halloween01,,,,1,#7AA2F3,False,22,4220
1004,Yuki_Halloween01,1004202,0,0,0,0,0,0,False,,Maid_1003_SD_Halloween01,Maid_1003_LD_Halloween01,Maid_1003_SD_Halloween01_Ingame,Maid_1003_SD_Halloween01,,,,1,#AADDEE,False,23,4432
1006,Akane_Halloween01,1006202,0,0,0,0,0,0,False,,Maid_1005_SD_Halloween01,Maid_1005_LD_Halloween01,Maid_1005_SD_Halloween01_Ingame,Maid_1005_SD_Halloween01,,,,1,#EE7777,False,24,4644
1002,Kokomi_Christmas01,1002203,0,0,0,0,0,0,False,,Maid_1001_SD_Christmas01,Maid_1001_LD_ChristMas01,Maid_1001_SD_Christmas01_Ingame,Maid_1001_SD_Christmas01,,,,1,#FFAACC,False,25,4860
1003,Aku_Christmas01,1003203,0,0,0,0,0,0,False,,Maid_1002_SD_Christmas01,Maid_1002_LD_ChristMas01,Maid_1002_SD_Christmas01_Ingame,Maid_1002_SD_Christmas01,,,,1,#7AA2F3,False,26,5076
1004,Yuki_Christmas01,1004203,0,0,0,0,0,0,False,,Maid_1003_SD_Christmas01,Maid_1003_LD_ChristMas01,Maid_1003_SD_Christmas01_Ingame,Maid_1003_SD_Christmas01,,,,1,#AADDEE,False,27,5288
1005,Kaede_Christmas01,1005203,0,0,0,0,0,0,False,,Maid_1004_SD_Christmas01,Maid_1004_LD_ChristMas01,Maid_1004_SD_Christmas01_Ingame,Maid_1004_SD_Christmas01,,,,1,#BBDDBB,False,28,5500
1006,Akane_Christmas01,1006203,0,0,0,0,0,0,False,,Maid_1005_SD_Christmas01,Maid_1005_LD_ChristMas01,Maid_1005_SD_Christmas01_Ingame,Maid_1005_SD_Christmas01,,,,1,#EE7777,False,29,5716
1004,Yuki_SchoolUniform01,1004103,0,0,0,0,0,0,False,,Maid_1003_SD_SchoolUniform01,Maid_1003_LD_SchoolUniform01,Maid_1003_SD_SchoolUniform01_Ingame,Maid_1003_SD_SchoolUniform01,,,,1,#AADDEE,False,30,5932
1005,Kaede_SchoolUniform01,1005103,0,0,0,0,0,0,False,,Maid_1004_SD_SchoolUniform01,Maid_1004_LD_SchoolUniform01,Maid_1004_SD_SchoolUniform01_Ingame,Maid_1004_SD_SchoolUniform01,,,,1,#BBDDBB,False,31,6164
1008,Aiko_Playable_SchoolUniform01,1008103,0,0,0,0,0,0,False,,Maid_1007_SD_SchoolUniform01,Maid_1007_LD_SchoolUniform01,Maid_1007_SD_SchoolUniform01_Ingame,Maid_1007_SD_SchoolUniform01,,,,1,#FEFFC7,False,32,6400
5001,Customer_01,0,0,94,0,0,0,0,False,,Ch_Customer01_SD,,Customer_01_SD,Customer_01_SD_OutGame,,,,2,,False,33,6644
5002,Customer_02,0,0,10101,0,0,0,0,False,,Ch_Customer02_SD,,Customer_02_SD,Customer_02_SD_OutGame,,,,2,,False,34,6796
5003,Customer_03,0,0,10102,0,0,0,0,False,,Ch_Customer03_SD,,Customer_03_SD,Customer_03_SD_OutGame,,,,2,,False,35,6948
5004,Customer_04,0,0,10103,0,0,0,0,False,,Ch_Customer04_SD,,Customer_04_SD,Customer_04_SD_OutGame,,,,2,,False,36,7100
5005,Customer_05,0,0,10105,0,0,0,0,False,,Ch_Customer05_SD,,Customer_05_SD,Customer_05_SD_OutGame,,,,2,,False,37,7252
5006,Customer_06,0,0,10114,0,0,0,0,False,,Ch_Customer06_SD,,Customer_06_SD,Customer_06_SD_OutGame,,,,2,,False,38,7404
5007,Customer_07,0,0,10119,0,0,0,0,False,,Ch_Customer07_SD,,Customer_07_SD,Customer_07_SD_OutGame,,,,2,,False,39,7556
5008,Customer_08,0,0,10137,0,0,0,0,False,,Ch_Customer08_SD,,Customer_08_SD,Customer_08_SD_OutGame,,,,2,,False,40,7708
5009,Customer_09,0,0,10214,0,0,0,0,False,,Ch_Customer09_SD,,Customer_09_SD,Customer_09_SD_OutGame,,,,2,,False,41,7860
5010,Customer_10,0,0,10304,0,0,0,0,False,,Ch_Customer10_SD,,Customer_10_SD,Customer_10_SD_OutGame,,,,2,,False,42,8012
5011,Customer_11,0,0,10321,0,0,0,0,False,,Ch_Customer11_SD,,Customer_11_SD,Customer_11_SD_OutGame,,,,2,,False,43,8164
5012,Customer_12,0,0,10205,0,0,0,0,False,,Ch_Customer12_SD,,Customer_12_SD,Customer_12_SD_OutGame,,,,2,,False,44,8316
5013,Customer_13,0,0,10332,0,0,0,0,False,,Ch_Customer13_SD,,Customer_13_SD,Customer_13_SD_OutGame,,,,2,,False,45,8468
5014,Customer_14,0,0,10406,0,0,0,0,False,,Ch_Customer14_SD,,Customer_14_SD,Customer_14_SD_OutGame,,,,2,,False,46,8620
5015,Customer_15,0,0,10422,0,0,0,0,False,,Ch_Customer15_SD,,Customer_15_SD,Customer_15_SD_OutGame,,,,2,,False,47,8772
5002,Customer_02_Summer2025Event01,5002201,0,0,0,0,0,0,False,,Ch_Customer02_Summer2025Event_SD,,Customer_02_Summer2025Event_01_SD,Customer_02_Summer2025Event_01_SD_OutGame,,,,2,,False,48,8924
5004,Customer_04_Summer2025Event01,5004201,0,0,0,0,0,0,False,,Ch_Customer04_Summer2025Event_SD,,Customer_04_Summer2025Event_01_SD,Customer_04_Summer2025Event_01_SD_OutGame,,,,2,,False,49,9152
5007,Customer_07_Summer2025Event01,5007201,0,0,0,0,0,0,False,,Ch_Customer07_Summer2025Event_SD,,Customer_07_Summer2025Event_01_SD,Customer_07_Summer2025Event_01_SD_OutGame,,,,2,,False,50,9380
5008,Customer_08_Summer2025Event01,5008201,0,0,0,0,0,0,False,,Ch_Customer08_Summer2025Event_SD,,Customer_08_Summer2025Event_01_SD,Customer_08_Summer2025Event_01_SD_OutGame,,,,2,,False,51,9608
5013,Customer_13_Summer2025Event01,5013201,0,0,0,0,0,0,False,,Ch_Customer13_Summer2025Event_SD,,Customer_13_Summer2025Event_01_SD,Customer_13_Summer2025Event_01_SD_OutGame,,,,2,,False,52,9836
6001,Maker_01,0,0,0,0,0,0,0,False,,,,Maker_01_SD_InGame,Maker_01_SD,,,,4,,False,53,10064
100101,Silhouette,0,0,0,0,0,0,0,False,,,NPC_100101_LD,,,,,,0,,False,54,10188
100102,Misaki,0,0,0,0,0,0,0,False,,,NPC_100104_LD,,,,,,0,#FF99CC,False,55,10300
100103,Ren,0,0,0,0,0,0,0,False,,,NPC_100107_LD,,,,,,0,#D7E9FF,False,56,10416
100104,Aiko,0,0,0,0,0,0,0,False,,,NPC_100103_LD,,,,,,0,#FEFFC7,False,57,10528
100105,Delinquent Child 1,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,58,10640
100106,Delinquent Child 2,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,59,10744
100107,Colleague Maid 1,0,0,0,0,0,0,0,False,,,NPC_100102_LD,,,,,,0,,False,60,10848
100108,Colleague Maid 2,0,0,0,0,0,0,0,False,,,NPC_100102_LD,,,,,,0,,False,61,10964
100109,Former Principal,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,62,11080
100110,Kokomi's Dad,0,0,0,0,0,0,0,False,,,,,,,,,0,#FF99CC,False,63,11180
100111,Kokomi's Mom,0,0,0,0,0,0,0,False,,,,,,,,,0,#FF99CC,False,64,11284
100112,Lively Child,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,65,11388
100113,Maid,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,66,11484
100114,Classmate Maid 1,0,0,0,0,0,0,0,False,,,NPC_100102_LD,,,,,,0,,False,67,11572
100115,Classmate Maid 2,0,0,0,0,0,0,0,False,,,NPC_100102_LD,,,,,,0,,False,68,11688
100116,Teacher,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,69,11804
100117,TeacherColleague,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,70,11896
100118,Principal,0,0,0,0,0,0,0,False,,,,,,,,,0,#FF99CC,False,71,11996
100119,Friendly Woman,0,0,0,0,0,0,0,False,,,NPC_100103_LD,,,,,,0,,False,72,12100
100120,Fellow Maid 1,0,0,0,0,0,0,0,False,,,NPC_100102_LD,,,,,,0,,False,73,12216
100121,Fellow Maid 2,0,0,0,0,0,0,0,False,,,NPC_100102_LD,,,,,,0,,False,74,12332
100122,Yukimi,0,0,0,0,0,0,0,False,,,,,,,,,0,#AADDEE,False,75,12448
100123,Koko,0,0,0,0,0,0,0,False,,,,,,,,,0,#FFAACC,False,76,12548
100124,Koori,0,0,0,0,0,0,0,False,,,,,,,,,0,#FFC392,False,77,12644
100125,Rika,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,78,12744
100126,Yuki's Mom,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,79,12832
100127,Devil Boy,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,80,12928
100128,ChildKokomi,0,0,0,0,0,0,0,False,,,Maid_1001_LD_Child,,,,,,0,#FFAACC,False,81,13024
100129,ChildAku,0,0,0,0,0,0,0,False,,,,,,,,,0,#7AA2F3,False,82,13148
100130,ChildYuki,0,0,0,0,0,0,0,False,,,,,,,,,0,#AADDEE,False,83,13248
100131,Kokomi's Grandma,0,0,0,0,0,0,0,False,,,,,,,,,0,#FF88CC,False,84,13352
100132,ElderSpirit,0,0,0,0,0,0,0,False,,,Villain_4001_LD,,,,,,0,#FFBC65,False,85,13460
100133,Milky,0,0,0,0,0,0,0,False,,,,,,,,,0,#FEFFC7,False,86,13580
100134,Moko,0,0,0,0,0,0,0,False,,,,,,,,,0,#FFC2AA,False,87,13680
100135,Pinko,0,0,0,0,0,0,0,False,,,,,,,,,0,#FFAACC,False,88,13776
100136,Bli,0,0,0,0,0,0,0,False,,,,,,,,,0,#7AA2F3,False,89,13876
100137,Seriana,0,0,0,0,0,0,0,False,,,NPC_100106_LD,,,,,,0,,False,90,13972
100138,Riana,0,0,0,0,0,0,0,False,,,NPC_100106_LD,,,,,,0,,False,91,14080
100139,MysteryPuppy,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,92,14188
100140,LowSpirit 1,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,93,14284
100141,LowSpirit 2,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,94,14380
100142,LowSpirit 3,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,95,14476
100143,Mio,0,0,0,0,0,0,0,False,,,Villain_4001_LD,,,,,,0,#FFBC65,False,96,14572
100144,MYSMio,0,0,0,0,0,0,0,False,,,Villain_4001_LD,,,,,,0,#FFBC65,False,97,14684
100145,FalseMio,0,0,0,0,0,0,0,False,,,Villain_4001_LD,,,,,,0,#FFBC65,False,98,14800
100146,Grandfather,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,99,14916
100147,LittleGirl,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,100,15012
100148,LGSMother,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,101,15108
100149,Senpai,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,102,15204
100150,SPFriend,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,103,15296
100151,LibraryLibrarian,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,104,15388
100152,MaidA,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,105,15488
100153,MaidB,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,106,15580
100154,KuroneDog,0,1007,0,0,0,0,0,False,,,Maid_1006_LD_2,,,,,,0,#9C84BB,False,107,15672
100155,Announcement,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,108,15792
100156,BearCub,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,109,15888
100157,MotherBear,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,110,15980
100158,MYSKurone,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,111,16076
100159,OrphanageDirector,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,112,16172
100160,NewbornBaby,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,113,16276
100161,BoyChild,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,114,16372
100162,FriendA,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,115,16464
100163,FriendB,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,116,16556
100164,VillagePeople,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,117,16648
100165,VillageChild,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,118,16748
100166,BullyA,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,119,16844
100167,BullyB,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,120,16936
100168,Bullies,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,121,17028
100169,Grandma,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,122,17120
100170,Subordinate,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,123,17212
100154,KuroneDog_Casual01,1007101,1007,0,0,0,0,0,False,,,Maid_1006_LD_2_Casual01,,,,,,0,#9C84BB,False,124,17308
100171,StudentA,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,125,17444
100172,StudentB,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,126,17536
100173,HonorStudentA,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,127,17628
100174,HonorStudentB,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,128,17728
100175,HonorStudentC,0,0,0,0,0,0,0,False,,,,,,,,,0,,False,129,17828
100176,KaedeMother,0,0,0,0,0,0,0,False,,,,,,,,,0,#BBDDBB,False,130,17928
100177,KaedeFather,0,0,0,0,0,0,0,False,,,,,,,,,0,#BBDDBB,False,131,18032
