path,name,category,rect_transform_count,game_object_count,startup_score,startup_keywords,sample_node_names,large_rect_count
Assets/Resources/prefabs/ui/banner/memory/UIBanner_Memory_Base.prefab,UIBanner_Memory_Base,banner,213,213,0,,UIBanner_Memory_Base|BGMask|BGColor|Pattern|CardShadow|CardShadow (1)|OL|CardPos|Card_3|UIListItem_MemoryCard_Maid_Kokomi_01501(Clone)|Card|BG,5
Assets/Resources/prefabs/ui/banner/memory/UIBanner_Memory_Halloween.prefab,UIBanner_Memory_Halloween,banner,254,254,0,,UIBanner_Memory_Halloween|BGMask|BGColor|OL|CardPos|Card_3|UIListItem_MemoryCard_Maid_Akane_05503|Card|BG|UIListItem_BG_Beach_Afternoon (1)|Back|Gradation_Up,3
Assets/Resources/prefabs/ui/banner/UIBanner_Band.prefab,UIBanner_Band,banner,65,65,0,,UIBanner_Band|BGArea|Top|AMP|Body|Image (9)|Image (11)|Image (12)|Image (10)|Image (7)|Image (9)|Image (10),2
Assets/Resources/prefabs/ui/banner/UIBanner_Bingo.prefab,UIBanner_Bingo,banner,5,5,0,,UIBanner_Bingo|BGArea|Image|Light|Text (TMP),1
Assets/Resources/prefabs/ui/banner/UIBanner_BloodWorm.prefab,UIBanner_BloodWorm,banner,5,5,0,,UIBanner_BloodWorm|BGArea|Image|Light|TextTitle,1
Assets/Resources/prefabs/ui/banner/UIBanner_CardPackEvent_202603.prefab,UIBanner_CardPackEvent_202603,banner,6,6,0,,UIBanner_CardPackEvent_202603|Img_BannerBG|Img_BannerBG (1)|Light|Tilte (1)|Text_Title2,2
Assets/Resources/prefabs/ui/banner/UIBanner_Cartoon.prefab,UIBanner_Cartoon,banner,5,5,0,,UIBanner_Cartoon|BGArea|Image|Light|TextTitle,2
Assets/Resources/prefabs/ui/banner/UIBanner_CumulativeQuest.prefab,UIBanner_CumulativeQuest,banner,8,8,0,,UIBanner_CumulativeQuest|BGArea|Image|Image (1)|Image (3)|Image (5)|Light|Text (TMP),2
Assets/Resources/prefabs/ui/banner/UIBanner_Fishing.prefab,UIBanner_Fishing,banner,16,18,0,,UIBanner_Fishing|BGArea|Banner|DecoGroup|SeaWeed|Image|SeaWeed|Image (2)|SeaWeed|Image (6)|SeaWeed|SeaWeed,2
Assets/Resources/prefabs/ui/banner/UIBanner_HighSchool_2026.prefab,UIBanner_HighSchool_2026,banner,6,6,0,,UIBanner_HighSchool_2026|Img_BannerBG|Img_BannerBG (1)|Light|Tilte (1)|Text_Title2,2
Assets/Resources/prefabs/ui/banner/UIBanner_MatchCard.prefab,UIBanner_MatchCard,banner,5,5,0,,UIBanner_MatchCard|BGArea|Image|Light|Title,1
Assets/Resources/prefabs/ui/banner/UIBanner_MateRace.prefab,UIBanner_MateRace,banner,5,5,0,,UIBanner_MateRace|BGArea|Image|Light|TextTitle,1
Assets/Resources/prefabs/ui/banner/UIBanner_Normal.prefab,UIBanner_Normal,banner,4,4,0,,UIBanner_Normal|Img_BannerBG|Light|Text_Title,2
Assets/Resources/prefabs/ui/banner/UIBanner_Pudding.prefab,UIBanner_Pudding,banner,5,5,0,,UIBanner_Pudding|BGArea|Image|Light|TextTitle (1),1
Assets/Resources/prefabs/ui/banner/UIBanner_PuddingJump.prefab,UIBanner_PuddingJump,banner,5,5,0,,UIBanner_PuddingJump|BGArea|Image|Light|TextTitle,1
Assets/Resources/prefabs/ui/banner/UIBanner_SeasonPass_2025Halloween.prefab,UIBanner_SeasonPass_2025Halloween,banner,7,7,0,,UIBanner_SeasonPass_2025Halloween|Img_BannerBG|Img_BannerBG (1)|Light|Tilte (1)|Text_Title1|Text_Title2,2
Assets/Resources/prefabs/ui/banner/UIBanner_SeasonPass_Christmas_2025.prefab,UIBanner_SeasonPass_Christmas_2025,banner,6,6,0,,UIBanner_SeasonPass_Christmas_2025|Img_BannerBG|Img_BannerBG (1)|Light|Tilte (1)|Text_Title2,2
Assets/Resources/prefabs/ui/banner/UIBanner_SeasonPass_Christmas_2025_PreStart.prefab,UIBanner_SeasonPass_Christmas_2025_PreStart,banner,8,8,0,,UIBanner_SeasonPass_Christmas_2025_PreStart|Img_BannerBG|Img_BannerBG (1)|Light|Tilte|Text_Title2|LineDeco|LineDeco (1),3
Assets/Resources/prefabs/ui/banner/UIBanner_SeasonPass_Halloween_PreStart.prefab,UIBanner_SeasonPass_Halloween_PreStart,banner,9,9,0,,UIBanner_SeasonPass_Halloween_PreStart|Img_BannerBG|Img_BannerBG (1)|Light|Tilte|Text_Title1|Text_Title2|LineDeco|LineDeco (1),3
Assets/Resources/prefabs/ui/banner/UIBanner_SeasonPass_Summer.prefab,UIBanner_SeasonPass_Summer,banner,7,7,0,,UIBanner_SeasonPass_Summer|Img_BannerBG|Img_BannerBG (1)|Light|Tilte|Text_Title1|Text_Title2,2
Assets/Resources/prefabs/ui/banner/UIBanner_SeasonPass_Summer_PreStart.prefab,UIBanner_SeasonPass_Summer_PreStart,banner,9,9,0,,UIBanner_SeasonPass_Summer_PreStart|Img_BannerBG|Img_BannerBG (1)|Light|Tilte|Text_Title1|Text_Title2|LineDeco|LineDeco (1),3
Assets/Resources/prefabs/ui/banner/UIBanner_SummerFestival.prefab,UIBanner_SummerFestival,banner,5,5,0,,UIBanner_SummerFestival|BGArea|Image|Light|Text (TMP),2
Assets/Resources/prefabs/ui/banner/UIBanner_TreasureSand_2026.prefab,UIBanner_TreasureSand_2026,banner,6,6,0,,UIBanner_TreasureSand_2026|Img_BannerBG|Img_BannerBG (1)|Light|Tilte (1)|Title,2
Assets/Resources/prefabs/ui/banner/UIBanner_VendingMachine.prefab,UIBanner_VendingMachine,banner,5,5,0,,UIBanner_VendingMachine|BGArea|img|Light|TextTitle,2
Assets/Resources/prefabs/ui/banner/UIBanner_WhiteDay.prefab,UIBanner_WhiteDay,banner,5,5,0,,UIBanner_WhiteDay|BGArea|Image|Light|Text (TMP),1
Assets/Resources/prefabs/ui/BGCanvas.prefab,BGCanvas,misc,16,16,0,,BGCanvas|SafeArea|Image|BG_Bar|CafeBG_Outside|IngameBG|IngameBGSet_Default|CafeBG|CafeBG_side1|CafeBG_mid1|CafeBG_mid2|CafeBG_mid3,3
Assets/Resources/prefabs/ui/button/Btn_Default.prefab,Btn_Default,button,5,5,0,,Btn_Default|Image|Pattern|Text (TMP)|Cover,0
Assets/Resources/prefabs/ui/button/Btn_Gold.prefab,Btn_Gold,button,6,6,0,,Btn_Gold|InnerLine|BG|Pattern|Text (TMP)|Cover,0
Assets/Resources/prefabs/ui/button/Btn_Green.prefab,Btn_Green,button,5,5,0,,Btn_Green|Image|Pattern|Text (TMP)|Cover,0
Assets/Resources/prefabs/ui/button/Btn_Green02.prefab,Btn_Green02,button,14,14,0,,Btn_Green02|Image (1)|Image|Pattern|Txt_Title|TicketRequired|Ticket|Txt_Number|Bubble|Tail|Tail (1)|BG,0
Assets/Resources/prefabs/ui/button/Btn_Lock.prefab,Btn_Lock,button,7,7,0,,Btn_Lock|Image|Pattern|Cover|TextGroup|Image|Text (TMP),0
Assets/Resources/prefabs/ui/button/Btn_MemoryShop.prefab,Btn_MemoryShop,button,25,25,0,,Btn_MemoryShop|OutLine|Color|deco|deco|deco_1|deco_2|Price|IconArea|Icon|Amount|Amount_Before,0
Assets/Resources/prefabs/ui/button/Btn_Red.prefab,Btn_Red,button,5,5,0,,Btn_Red|Image|Pattern|Text (TMP)|Cover,0
Assets/Resources/prefabs/ui/button/Btn_StorySelect.prefab,Btn_StorySelect,button,7,7,1,story,Btn_StorySelect|Text (TMP)|LikePoint|SDpos|Image (2)|Text (TMP)|Btn_Area,1
Assets/Resources/prefabs/ui/button/LimitiedMark.prefab,LimitiedMark,button,25,25,0,,LimitiedMark|LimitiedMark|Image (3)|Image_Color|Image (5)|Image_Color|Text (TMP)|Image (7)|Text_Color|LimitiedMark2|Image_Color|Image (5),0
Assets/Resources/prefabs/ui/Copy_Explain.prefab,Copy_Explain,misc,37,43,0,,Copy_Explain|BG|Tile|OutLine|OutLine_1|1|1_1|1_2|1_3|1_4|1_5|1_6,2
Assets/Resources/prefabs/ui/echoarchive/UIEcho_Fabricate.prefab,UIEcho_Fabricate,screen_or_manager,195,219,0,,UIEcho_Fabricate|BG|Image (1)|Char|MaidPos|Table|Table_1|BlockGroup|RequiredGroup|Img|UiListitem_EchoArchive_FabricateBlock|UIListItem_RewardItem,3
Assets/Resources/prefabs/ui/echoarchive/UIInGameSubMap_SchoolUniform.prefab,UIInGameSubMap_SchoolUniform,ingame,424,461,0,,UIInGameSubMap_SchoolUniform|BG (1)|Image (1)|Char|MaidPos|Maid_1003_SD_SchoolUniform01_Ingame|SkeletonGraphic (Ch_Maid03_Basic01_SD)|Mate_1003_SchoolUniform01_SD_Ingame|SkeletonGraphic (Mate03_SD)|Maid_1004_SD_SchoolUniform01_Ingame|SkeletonGraphic (Ch_Maid04_Basic01_SD)|Renderer0,5
Assets/Resources/prefabs/ui/ingame/bg/IngameBGSet_0003.prefab,IngameBGSet_0003,ingame,7,7,0,,IngameBGSet_0003|CafeBG|CafeBG_side1|CafeBG_mid1|CafeBG_mid2|CafeBG_mid3|CafeBG_side2,1
Assets/Resources/prefabs/ui/ingame/bg/IngameBGSet_0004.prefab,IngameBGSet_0004,ingame,7,7,0,,IngameBGSet_0004|CafeBG|CafeBG_side1|CafeBG_mid1|CafeBG_mid2|CafeBG_mid3|CafeBG_side2,1
Assets/Resources/prefabs/ui/ingame/bg/IngameBGSet_Default.prefab,IngameBGSet_Default,ingame,7,7,0,,IngameBGSet_Default|CafeBG|CafeBG_side1|CafeBG_mid1|CafeBG_mid2|CafeBG_mid3|CafeBG_side2,1
Assets/Resources/prefabs/ui/ingame/bg/IngameBGSet_DefaultNight.prefab,IngameBGSet_DefaultNight,ingame,7,7,0,,IngameBGSet_DefaultNight|CafeBG|CafeBG_side1|CafeBG_mid1|CafeBG_mid2|CafeBG_mid3|CafeBG_side2,1
Assets/Resources/prefabs/ui/ingame/bg/IngameBGSet_SummerFes.prefab,IngameBGSet_SummerFes,ingame,7,7,0,,IngameBGSet_SummerFes|CafeBG|CafeBG_side1|CafeBG_mid1|CafeBG_mid2|CafeBG_mid3|CafeBG_side2,1
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0001.prefab,IngameBGBot_0001,ingame,1,1,0,,IngameBGBot_0001,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0002.prefab,IngameBGBot_0002,ingame,1,1,0,,IngameBGBot_0002,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0003.prefab,IngameBGBot_0003,ingame,1,1,0,,IngameBGBot_0003,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0004.prefab,IngameBGBot_0004,ingame,1,1,0,,IngameBGBot_0004,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0005.prefab,IngameBGBot_0005,ingame,1,1,0,,IngameBGBot_0005,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0006.prefab,IngameBGBot_0006,ingame,1,1,0,,IngameBGBot_0006,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0007.prefab,IngameBGBot_0007,ingame,1,1,0,,IngameBGBot_0007,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_0008.prefab,IngameBGBot_0008,ingame,1,1,0,,IngameBGBot_0008,0
Assets/Resources/prefabs/ui/ingame/bg_bar/IngameBGBot_Default.prefab,IngameBGBot_Default,ingame,1,1,0,,IngameBGBot_Default,0
Assets/Resources/prefabs/ui/ingame/event/EventBand_Note.prefab,EventBand_Note,ingame,19,19,0,,EventBand_Note|Normal|Head|4|Line|2|8|16|Addline_8|Length|Addline_16|Length,0
Assets/Resources/prefabs/ui/ingame/event/EventQuestItem_SummerFestival.prefab,EventQuestItem_SummerFestival,ingame,150,157,0,,EventQuestItem_SummerFestival|DecoArea|BGMask|Img_BG|UFXMask|UFX_FireWork|Flag|Stick (3)|Paper|Line|Line (1)|Line (3),4
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Band.prefab,UIEventQuest_Band,ingame,9,11,0,,UIEventQuest_Band|New SkeletonGraphic|Time (1)|Text_Time|EventNoti (1)|UFX_Noti|Image|UIParticle|BtnArea,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Bingo.prefab,UIEventQuest_Bingo,ingame,15,17,0,,UIEventQuest_Bingo|SpinePos|New SkeletonGraphic|Time|Text_Time|Text (TMP)|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_BloodWorm.prefab,UIEventQuest_BloodWorm,ingame,14,16,0,,UIEventQuest_BloodWorm|SpinePos|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_CardPack.prefab,UIEventQuest_CardPack,ingame,14,16,0,,UIEventQuest_CardPack|Spinepos|SkeletonGraphic (Event_SchoolCardPack_Icon)|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Cartoon.prefab,UIEventQuest_Cartoon,ingame,17,19,0,,UIEventQuest_Cartoon|SpinePos|New SkeletonGraphic|Image|Image_1|Image_4|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_CumulativeQuest.prefab,UIEventQuest_CumulativeQuest,ingame,20,22,0,,UIEventQuest_CumulativeQuest|SpinePos|New SkeletonGraphic|Image|Image|New SkeletonGraphic|Image_3|Image_1|Image_2|Time|Text_Time|EventNoti,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_FindEvidence.prefab,UIEventQuest_FindEvidence,ingame,30,30,0,,UIEventQuest_FindEvidence|BG|InnerBG|Bot|L|Image|R|Image_1|BG|Img_BG|BtnArea|ContentsArea,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Fishing.prefab,UIEventQuest_Fishing,ingame,22,24,0,,UIEventQuest_Fishing|Image (1)|Image (1)|Image|New SkeletonGraphic|Image (2)|Image (1)|Image (3)|Image (1)|Image (4)|Image (1)|Image (5),0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_GuideMission.prefab,UIEventQuest_GuideMission,ingame,18,20,0,,UIEventQuest_GuideMission|SpinePos|New SkeletonGraphic|Image|Image|Image (1)|Time|Text_Time|Text (TMP)|EventNoti|UFX_Complete|Particle,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_House.prefab,UIEventQuest_House,ingame,12,14,0,,UIEventQuest_House|BG|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image|UIParticle,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Match3d.prefab,UIEventQuest_Match3d,ingame,12,14,0,,UIEventQuest_Match3d|BG|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image|UIParticle,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_MatchCard.prefab,UIEventQuest_MatchCard,ingame,17,17,0,,UIEventQuest_MatchCard|SpinePos|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti_Num|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_MateRace.prefab,UIEventQuest_MateRace,ingame,17,17,0,,UIEventQuest_MateRace|SpinePos|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti_Num|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Ocean.prefab,UIEventQuest_Ocean,ingame,12,14,0,,UIEventQuest_Ocean|BG|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image|UIParticle,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_PC_BloodWorm.prefab,UIEventQuest_PC_BloodWorm,ingame,14,16,0,,UIEventQuest_PC_BloodWorm|SpinePos (1)|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_PC_PuddingJump.prefab,UIEventQuest_PC_PuddingJump,ingame,14,16,0,,UIEventQuest_PC_PuddingJump|SpinePos|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_PC_VendingMachine.prefab,UIEventQuest_PC_VendingMachine,ingame,14,16,0,,UIEventQuest_PC_VendingMachine|SpinePos (1)|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Pudding.prefab,UIEventQuest_Pudding,ingame,14,16,0,,UIEventQuest_Pudding|SpinePos|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_PuddingJump.prefab,UIEventQuest_PuddingJump,ingame,14,16,0,,UIEventQuest_PuddingJump|SpinePos|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_SchoolUniform.prefab,UIEventQuest_SchoolUniform,ingame,14,16,1,story,UIEventQuest_SchoolUniform|Spinepps|SkeletonGraphic (Event_SchoolSubStory_Icon)|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Spring.prefab,UIEventQuest_Spring,ingame,12,14,0,,UIEventQuest_Spring|BG|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image|UIParticle,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_SummerFestival.prefab,UIEventQuest_SummerFestival,ingame,16,18,0,,UIEventQuest_SummerFestival|Image|PointAmount|Glow|Image (1)|Image (2)|Image (2)|Text (TMP)|Time|Text_Time|Text (TMP)|EventNoti,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_TreasureSand.prefab,UIEventQuest_TreasureSand,ingame,20,22,0,,UIEventQuest_TreasureSand|SpinePos|New SkeletonGraphic|Image|Image_2|Image_2 (1)|Image (2)|Image (1)|Time|Text_Time|Text (TMP)|EventNoti,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_VendingMachine.prefab,UIEventQuest_VendingMachine,ingame,14,16,0,,UIEventQuest_VendingMachine|SpinePos|New SkeletonGraphic|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_WhiteDay.prefab,UIEventQuest_WhiteDay,ingame,89,89,0,,UIEventQuest_WhiteDay|SpinePos|New SkeletonGraphic|Image|Image (1)|Image (2)|UIListitem_BubbleTea (1)|BG|OutLine|OutLine (1)|Gauge|Fill Area,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_WhiteDay_Backup.prefab,UIEventQuest_WhiteDay_Backup,ingame,20,22,0,,UIEventQuest_WhiteDay_Backup|SpinePos|New SkeletonGraphic|Image|Image_2|New SkeletonGraphic|Image_3|Image_2|Time|Text_Time|Text (TMP)|EventNoti,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuest_Winter.prefab,UIEventQuest_Winter,ingame,12,14,0,,UIEventQuest_Winter|BG|Time|Text_Time|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image|UIParticle,0
Assets/Resources/prefabs/ui/ingame/event/UIEventQuestBase.prefab,UIEventQuestBase,ingame,12,14,0,,UIEventQuestBase|Time|Text_Time|BG|EventNoti|UFX_Complete|Particle|Nova|Stardust|UFX_Noti|Image|UIParticle,0
Assets/Resources/prefabs/ui/ingame/event/UIMiniGameStepSlider.prefab,UIMiniGameStepSlider,ingame,22,26,0,,UIMiniGameStepSlider|StepSlider|Background_1|Background|Fill Area|Fill|GiftIcons|UIListItem_Reward_1|Image|Item_Reward|Item_Amount|Costume,1
Assets/Resources/prefabs/ui/ingame/Noti_Inventory_Bubble.prefab,Noti_Inventory_Bubble,ingame,5,5,0,,Noti_Inventory_Bubble|Npc_Dialog|Icon_Dialog|Image|Text_Dialog,0
Assets/Resources/prefabs/ui/ingame/UI_CompleteBlock.prefab,UI_CompleteBlock,ingame,2,2,0,,UI_CompleteBlock|Image_Block,0
Assets/Resources/prefabs/ui/ingame/UI_DesignedBox.prefab,UI_DesignedBox,ingame,4,7,0,,UI_DesignedBox|B|T|UIParticle,0
Assets/Resources/prefabs/ui/ingame/UI_DesignedBox_Open.prefab,UI_DesignedBox_Open,ingame,3,3,0,,UI_DesignedBox_Open|B|T,0
Assets/Resources/prefabs/ui/ingame/UIEchoArchive.prefab,UIEchoArchive,ingame,225,251,0,,UIEchoArchive|AutoPosYSetting|PrefabParent|UIEcho_Kurone|BG|Image (1)|Char|MaidPos|Table|Table_1|BlockGroup|RequiredGroup,4
Assets/Resources/prefabs/ui/ingame/UIEvent_SchoolUniform.prefab,UIEvent_SchoolUniform,ingame,464,503,0,,UIEvent_SchoolUniform|AutoPosYSetting|PrefabParent|UIInGameSubMap_SchoolUniform|BG (1)|Image (1)|Char|MaidPos|Maid_1003_SD_SchoolUniform01_Ingame|SkeletonGraphic (Ch_Maid03_Basic01_SD)|Mate_1003_SchoolUniform01_SD_Ingame|SkeletonGraphic (Mate03_SD),6
Assets/Resources/prefabs/ui/ingame/UIInventory.prefab,UIInventory,ingame,18,18,0,,UIInventory|Btn_Inven|BG|BG (1)|UFX_Complete|Particle|Nova|Stardust|Noti_Inventory_Bubble|Npc_Dialog|Icon_Dialog|Image,0
Assets/Resources/prefabs/ui/ingame/UiListitem_FabricateBlock.prefab,UiListitem_FabricateBlock,listitem,8,8,0,,UiListitem_FabricateBlock|Icon|Btn_Remove|Bg|Bg (1)|Text (TMP)|Btn_Info|Bg_,0
Assets/Resources/prefabs/ui/ingame/UIListItem_MapUnlockInfo.prefab,UIListItem_MapUnlockInfo,listitem,6,8,0,,UIListItem_MapUnlockInfo|BG|Cell|MatchFX|NeedIocn|InfoButton,0
Assets/Resources/prefabs/ui/ingame/UIListItem_MapUnlockInfo_BlockMerge.prefab,UIListItem_MapUnlockInfo_BlockMerge,listitem,7,9,0,,UIListItem_MapUnlockInfo_BlockMerge|Shadow|BG|Cell|MatchFX|NeedIocn|InfoButton,0
Assets/Resources/prefabs/ui/ingame/UIUseItemBlock.prefab,UIUseItemBlock,ingame,12,12,0,,UIUseItemBlock|UIGroup|BG (3)|BG|Tr_UIBlockInfo|dialogue_Click|UIChatBox|Image|Mask|Char|New SkeletonGraphic|Text (TMP),3
Assets/Resources/prefabs/ui/Joker_Explain.prefab,Joker_Explain,misc,34,37,0,,Joker_Explain|BG|Tile|OutLine|OutLine_1|1|1_1|1_2|1_3|1_4|1_5|1_6,2
Assets/Resources/prefabs/ui/listitem/Btn_SeasonLimited.prefab,Btn_SeasonLimited,listitem,11,11,0,,Btn_SeasonLimited|Unselected|Image (1)|Image|Pattern|Text (TMP)|Selected|Cover (1)|Text (TMP)|Cover|OutLine,0
Assets/Resources/prefabs/ui/listitem/Btn_TabSlot_Collection.prefab,Btn_TabSlot_Collection,listitem,10,12,0,,Btn_TabSlot_Collection|Button|On|TabName|Lock|Icon|Noti|UFX_Noti|Image|UIParticle,0
Assets/Resources/prefabs/ui/listitem/Btn_TabSlot_StoryReplay.prefab,Btn_TabSlot_StoryReplay,listitem,6,6,1,story,Btn_TabSlot_StoryReplay|Button|On|TabName|Lock|LockIcon,0
Assets/Resources/prefabs/ui/listitem/common/UIListitem_AttendanceDaily.prefab,UIListitem_AttendanceDaily,listitem,39,39,0,,UIListitem_AttendanceDaily|BG|OpenedBox|Image (2)|Image (1)|Image (2)|Image (3)|Image (1)|Effect_GiftBoxOpen|Image|Image (2)|Image (1),0
Assets/Resources/prefabs/ui/listitem/common/UIListitem_AttendanceDaily2.prefab,UIListitem_AttendanceDaily2,listitem,33,38,0,,UIListitem_AttendanceDaily2|Deco|Image_1|Image_1|Reward|BG|BG|BG_1|Stamp|Reward|UIListItem_RewardItem|Coupon_ FinalReward,0
