source_type,source_name,source_path,node_path,layout_kind,anchor_min,anchor_max,anchored_position,size_delta,children_count
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIMapUnlockUI/UIListItem_MapUnlockInfo_BlockMerge (1)/InfoButton,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIMapUnlockUI/UIListItem_MapUnlockInfo_BlockMerge (2)/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIMapUnlockUI/UIListItem_MapUnlockInfo_BlockMerge (2)/InfoButton,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/RequestList/ScrollView/Viewport/Content/Grid_Request/EventQuestItem_WorkLog/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 40.500053}","{""x"": 48.0, ""y"": 83.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEchoArchive/TitleGroup/TitleGroup/Btn_Info/Bg_,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 50.0, ""y"": 50.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/TitleGroup/TitleGroup/Btn_Info/Bg_,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 50.0, ""y"": 50.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIInventory/Btn_Inven/BG (1),full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 40.0, ""y"": 40.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/Lobby/GoToOutGame,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": -5.0, ""y"": 0.0}","{""x"": -10.0, ""y"": -20.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_BoxOpenGold/BG/Bg,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 2.5}","{""x"": -10.0, ""y"": -15.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_Cash/BG/Bg,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 2.5}","{""x"": -10.0, ""y"": -15.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform,large_panel,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 1024.0}",7
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEchoArchive/TitleGroup/TitleGroup,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",6
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/TitleGroup/TitleGroup,fixed_anchor,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",6
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",3
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/MemoryArea/Skill_1/UIListItem_TeamFormation_MemoryCardSlot/Card/UnlockFx/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/MemoryArea/Skill_2/UIListItem_TeamFormation_MemoryCardSlot/Card/UnlockFx/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/MemoryArea/Skill_3/UIListItem_TeamFormation_MemoryCardSlot/Card/UnlockFx/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/BGSkin,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/Char/MaidPos/Maid_1003_SD_SchoolUniform01_Ingame,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Btn/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/BG,large_panel,"{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 1200.0, ""y"": 0.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEchoArchive/AutoPosYSetting/PrefabParent/UIEcho_Kurone/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEchoArchive/TitleGroup,fixed_anchor,"{""x"": 0.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 1.0}","{""x"": -200.0, ""y"": -190.0}","{""x"": 600.0, ""y"": 0.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/BG (1),full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 1792.0, ""y"": 0.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/Char/MaidPos/Maid_1007_SD_SchoolUniform01_Ingame,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/TitleGroup,fixed_anchor,"{""x"": 0.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 1.0}","{""x"": -200.0, ""y"": -190.0}","{""x"": 600.0, ""y"": 0.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/RequestList/ScrollView/Viewport/Content/BarSkinSlot/IngameBGBot_Default,mixed,"{""x"": 0.0, ""y"": 1.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 200.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIInventory/Btn_Inven/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/InnerBG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Crafting_Group/Scroll View/Viewport/Content/UIListItem_RewardItem/Btn_Remove/Bg,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Crafting_Group/Scroll View/Viewport/Content/UIListItem_RewardItem/Btn_Remove/Bg (1),full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 1.9999992}","{""x"": 0.0, ""y"": -3.9999983}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Crafting_Group/Scroll View/Viewport/Content/UIListItem_RewardItem (1)/Btn_Remove/Bg,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Crafting_Group/Scroll View/Viewport/Content/UIListItem_RewardItem (1)/Btn_Remove/Bg (1),full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 1.9999992}","{""x"": 0.0, ""y"": -3.9999983}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Crafting_Group/Scroll View/Viewport/Content/UIListItem_RewardItem (2)/Btn_Remove/Bg,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Crafting_Group/Scroll View/Viewport/Content/UIListItem_RewardItem (2)/Btn_Remove/Bg (1),full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 1.9999992}","{""x"": 0.0, ""y"": -3.9999983}",0
