_index,id,sceneType,dialogueType,name,spine,optionType,option,keyOption,trait,traitInterval,nextId,plotText,sound,animation,pic,image,bgType,bg,bgm,skip,skipId,_trailingBytes
38,103101090,2,1,,10301,,,0,,,103101100,gal_map_text_103101090,,,2,,0,,,1,-1,157950
39,103101100,2,1,gal_name_03,10301,,,0,,,103101150,gal_map_text_103101100,,,1,,0,,,1,-1,157950
40,103101110,2,1,,10301,,,0,,,103101120,gal_map_text_103101110,,,2,,0,,,1,-1,157950
41,103101120,2,1,gal_name_03,10301,,,0,,,103101150,gal_map_text_103101120,,,1,,0,,,1,-1,157950
42,103101130,2,1,,10301,,,0,,,103101140,gal_map_text_103101130,,,2,,0,,,1,-1,157950
43,103101140,2,1,gal_name_03,10301,,,0,,,103101150,gal_map_text_103101140,,,1,,0,,,1,-1,157950
44,103101150,2,1,,10301,,,0,,,-1,gal_map_text_103101150,,,2,,0,,,1,-1,157950
45,106101010,2,1,,,,,0,,,106101020,gal_map_text_106101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,106101060,157950
46,106101020,2,1,gal_name_06,10601,,,0,,,106101030,gal_map_text_106101020,,,1,,0,,,1,106101060,157950
47,106101030,2,1,,10601,,,0,,,106101040,gal_map_text_106101030,,,2,,0,,,1,106101060,157950
48,106101040,2,1,,10601,,,0,,,106101050,gal_map_text_106101040,,,2,,0,,,1,106101060,157950
49,106101050,2,1,gal_name_06,10601,,,0,,,106101060,gal_map_text_106101050,,,1,,0,,,1,106101060,157950
50,106101060,2,2,,10601,2,gal_map_text_106101070|gal_map_text_106101080|gal_map_text_106101090,1,,,106101100|106101120|106101130,gal_map_text_106101060,,,2,,0,,,0,106101060,157950
51,106101100,2,1,,10601,,,0,,,106101110,gal_map_text_106101100,,,2,,0,,,1,-1,157950
52,106101110,2,1,gal_name_06,10601,,,0,,,106101150,gal_map_text_106101110,,,1,,0,,,1,-1,157950
53,106101120,2,1,,10601,,,0,,,106101150,gal_map_text_106101120,,,2,,0,,,1,-1,157950
54,106101130,2,1,,10601,,,0,,,106101140,gal_map_text_106101130,,,2,,0,,,1,-1,157950
55,106101140,2,1,gal_name_06,10601,,,0,,,106101150,gal_map_text_106101140,,,1,,0,,,1,-1,157950
56,106101150,2,1,,10601,,,0,,,-1,gal_map_text_106101150,,,2,,0,,,1,-1,157950
57,101102010,2,1,,10101,,,0,,,101102020,gal_map_text_101102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101102060,157950
58,101102020,2,1,gal_name_01,10101,,,0,,,101102030,gal_map_text_101102020,,,1,,0,,,1,101102060,157950
59,101102030,2,1,,10101,,,0,,,101102040,gal_map_text_101102030,,,2,,0,,,1,101102060,157950
60,101102040,2,1,,10101,,,0,,,101102050,gal_map_text_101102040,,,2,,0,,,1,101102060,157950
61,101102050,2,1,,10101,,,0,,,101102060,gal_map_text_101102050,,,2,,0,,,1,101102060,157950
62,101102060,2,2,gal_name_01,10101,2,gal_map_text_101102070|gal_map_text_101102080|gal_map_text_101102090,1,,,101102100|101102110|101102150,gal_map_text_101102060,,,1,,0,,,0,101102060,157950
63,101102100,2,1,,10101,,,0,,,101102180,gal_map_text_101102100,,,2,,0,,,1,-1,157950
64,101102110,2,1,,10101,,,0,,,101102120,gal_map_text_101102110,,,2,,0,,,1,-1,157950
65,101102120,2,1,gal_name_01,10101,,,0,,,101102130,gal_map_text_101102120,,,1,,0,,,1,-1,157950
66,101102130,2,1,,10101,,,0,,,101102140,gal_map_text_101102130,,,2,,0,,,1,-1,157950
67,101102140,2,1,gal_name_01,10101,,,0,,,101102180,gal_map_text_101102140,,,1,,0,,,1,-1,157950
68,101102150,2,1,,10101,,,0,,,101102160,gal_map_text_101102150,,,2,,0,,,1,-1,157950
69,101102160,2,1,gal_name_01,10101,,,0,,,101102170,gal_map_text_101102160,,,1,,0,,,1,-1,157950
70,101102170,2,1,,10101,,,0,,,101102180,gal_map_text_101102170,,,2,,0,,,1,-1,157950
71,101102180,2,1,,10101,,,0,,,-1,gal_map_text_101102180,,,2,,0,,,1,-1,157950
72,102102010,2,1,,,,,0,,,102102020,gal_map_text_102102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,102102040,157950
73,102102020,2,1,,10201,,,0,,,102102030,gal_map_text_102102020,,,2,,0,,,1,102102040,157950
74,102102030,2,1,,10201,,,0,,,102102040,gal_map_text_102102030,,,2,,0,,,1,102102040,157950
75,102102040,2,2,gal_name_02,10201,2,gal_map_text_102102050|gal_map_text_102102060|gal_map_text_102102070,1,,,102102080|102102100|102102120,gal_map_text_102102040,,,1,,0,,,0,102102040,157950
76,102102080,2,1,,10201,,,0,,,102102090,gal_map_text_102102080,,,2,,0,,,1,-1,157950
77,102102090,2,1,gal_name_02,10201,,,0,,,102102140,gal_map_text_102102090,,,1,,0,,,1,-1,157950
78,102102100,2,1,,10201,,,0,,,102102110,gal_map_text_102102100,,,2,,0,,,1,-1,157950
79,102102110,2,1,gal_name_02,10201,,,0,,,102102140,gal_map_text_102102110,,,1,,0,,,1,-1,157950
80,102102120,2,1,,10201,,,0,,,102102130,gal_map_text_102102120,,,2,,0,,,1,-1,157950
81,102102130,2,1,gal_name_02,10201,,,0,,,102102140,gal_map_text_102102130,,,1,,0,,,1,-1,157950
82,102102140,2,1,,,,,0,,,-1,gal_map_text_102102140,,,2,,0,,,1,-1,157950
83,103102010,2,1,,,,,0,,,103102020,gal_map_text_103102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,103102050,157950
84,103102020,2,1,,10301,,,0,,,103102030,gal_map_text_103102020,,,2,,0,,,1,103102050,157950
85,103102030,2,1,,10301,,,0,,,103102040,gal_map_text_103102030,,,2,,0,,,1,103102050,157950
86,103102040,2,1,gal_name_03,10301,,,0,,,103102050,gal_map_text_103102040,,,1,,0,,,1,103102050,157950
87,103102050,2,2,,10301,2,gal_map_text_103102060|gal_map_text_103102070|gal_map_text_103102080,1,,,103102090|103102100|103102130,gal_map_text_103102050,,,2,,0,,,0,103102050,157950
88,103102090,2,1,,10301,,,0,,,103102150,gal_map_text_103102090,,,2,,0,,,1,-1,157950
89,103102100,2,1,,10301,,,0,,,103102110,gal_map_text_103102100,,,2,,0,,,1,-1,157950
90,103102110,2,1,gal_name_03,10301,,,0,,,103102120,gal_map_text_103102110,,,1,,0,,,1,-1,157950
91,103102120,2,1,,10301,,,0,,,103102150,gal_map_text_103102120,,,2,,0,,,1,-1,157950
92,103102130,2,1,,10301,,,0,,,103102140,gal_map_text_103102130,,,2,,0,,,1,-1,157950
93,103102140,2,1,gal_name_03,10301,,,0,,,103102150,gal_map_text_103102140,,,1,,0,,,1,-1,157950
94,103102150,2,1,,,,,0,,,-1,gal_map_text_103102150,,,2,,0,,,1,-1,157950
95,104101010,2,1,,10401,,,0,,,104101020,gal_map_text_104101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,104101060,157950
96,104101020,2,1,,10401,,,0,,,104101030,gal_map_text_104101020,,,2,,0,,,1,104101060,157950
97,104101030,2,1,gal_name_04,10401,,,0,,,104101040,gal_map_text_104101030,,,1,,0,,,1,104101060,157950
98,104101040,2,1,,10401,,,0,,,104101050,gal_map_text_104101040,,,2,,0,,,1,104101060,157950
99,104101050,2,1,,10401,,,0,,,104101060,gal_map_text_104101050,,,2,,0,,,1,104101060,157950
100,104101060,2,2,gal_name_04,10401,2,gal_map_text_104101070|gal_map_text_104101080|gal_map_text_104101090,1,,,104101100|104101120|104101130,gal_map_text_104101060,,,1,,0,,,0,104101060,157950
101,104101100,2,1,,10401,,,0,,,104101110,gal_map_text_104101100,,,2,,0,,,1,-1,157950
102,104101110,2,1,gal_name_04,10401,,,0,,,104101150,gal_map_text_104101110,,,1,,0,,,1,-1,157950
103,104101120,2,1,gal_name_04,10401,,,0,,,104101150,gal_map_text_104101120,,,1,,0,,,1,-1,157950
104,104101130,2,1,,10401,,,0,,,104101140,gal_map_text_104101130,,,2,,0,,,1,-1,157950
105,104101140,2,1,gal_name_04,10401,,,0,,,104101150,gal_map_text_104101140,,,1,,0,,,1,-1,157950
106,104101150,2,1,,10401,,,0,,,-1,gal_map_text_104101150,,,2,,0,,,1,-1,157950
107,107101010,2,1,,10701,,,0,,,107101020,gal_map_text_107101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,107101050,157950
108,107101020,2,1,,10701,,,0,,,107101030,gal_map_text_107101020,,,2,,0,,,1,107101050,157950
109,107101030,2,1,,10701,,,0,,,107101040,gal_map_text_107101030,,,2,,0,,,1,107101050,157950
110,107101040,2,1,gal_name_07,10701,,,0,,,107101050,gal_map_text_107101040,,,1,,0,,,1,107101050,157950
111,107101050,2,2,,10701,2,gal_map_text_107101060|gal_map_text_107101070|gal_map_text_107101080,1,,,107101090|107101110|107101130,gal_map_text_107101050,,,2,,0,,,0,107101050,157950
112,107101090,2,1,,10701,,,0,,,107101100,gal_map_text_107101090,,,2,,0,,,1,-1,157950
113,107101100,2,1,gal_name_07,10701,,,0,,,107101150,gal_map_text_107101100,,,1,,0,,,1,-1,157950
114,107101110,2,1,,10701,,,0,,,107101120,gal_map_text_107101110,,,2,,0,,,1,-1,157950
115,107101120,2,1,gal_name_07,10701,,,0,,,107101150,gal_map_text_107101120,,,1,,0,,,1,-1,157950
116,107101130,2,1,,10701,,,0,,,107101140,gal_map_text_107101130,,,2,,0,,,1,-1,157950
117,107101140,2,1,gal_name_07,10701,,,0,,,107101150,gal_map_text_107101140,,,1,,0,,,1,-1,157950
118,107101150,2,1,,10701,,,0,,,-1,gal_map_text_107101150,,,2,,0,,,1,-1,157950
119,107102010,2,1,,10701,,,0,,,107102020,gal_map_text_107102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,107102030,157950
120,107102020,2,1,,10701,,,0,,,107102030,gal_map_text_107102020,,,2,,0,,,1,107102030,157950
121,107102030,2,2,gal_name_07,10701,2,gal_map_text_107102040|gal_map_text_107102050|gal_map_text_107102060,1,,,107102070|107102090|107102110,gal_map_text_107102030,,,1,,0,,,0,107102030,157950
122,107102070,2,1,gal_name_07,10701,,,0,,,107102080,gal_map_text_107102070,,,1,,0,,,1,-1,157950
123,107102080,2,1,,10701,,,0,,,107102130,gal_map_text_107102080,,,2,,0,,,1,-1,157950
124,107102090,2,1,,10701,,,0,,,107102100,gal_map_text_107102090,,,2,,0,,,1,-1,157950
125,107102100,2,1,gal_name_07,10701,,,0,,,107102130,gal_map_text_107102100,,,1,,0,,,1,-1,157950
126,107102110,2,1,,10701,,,0,,,107102120,gal_map_text_107102110,,,2,,0,,,1,-1,157950
127,107102120,2,1,gal_name_07,10701,,,0,,,107102130,gal_map_text_107102120,,,1,,0,,,1,-1,157950
128,107102130,2,1,,10701,,,0,,,-1,gal_map_text_107102130,,,2,,0,,,1,-1,157950
129,101103010,2,1,,10101,,,0,,,101103020,gal_map_text_101103010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101103040,157950
130,101103020,2,1,gal_name_01,10101,,,0,,,101103030,gal_map_text_101103020,,,1,,0,,,1,101103040,157950
131,101103030,2,1,,10101,,,0,,,101103040,gal_map_text_101103030,,,2,,0,,,1,101103040,157950
132,101103040,2,2,,10101,2,gal_map_text_101103050|gal_map_text_101103060|gal_map_text_101103070,1,,,101103080|101103100|101103120,gal_map_text_101103040,,,2,,0,,,0,-1,157950
133,101103080,2,1,,10101,,,0,,,101103090,gal_map_text_101103080,,,2,,0,,,1,-1,157950
134,101103090,2,1,gal_name_01,10101,,,0,,,101103140,gal_map_text_101103090,,,1,,0,,,1,-1,157950
135,101103100,2,1,,10101,,,0,,,101103110,gal_map_text_101103100,,,2,,0,,,1,-1,157950
136,101103110,2,1,gal_name_01,10101,,,0,,,101103140,gal_map_text_101103110,,,1,,0,,,1,-1,157950
137,101103120,2,1,,10101,,,0,,,101103130,gal_map_text_101103120,,,2,,0,,,1,-1,157950
138,101103130,2,1,gal_name_01,10101,,,0,,,101103140,gal_map_text_101103130,,,1,,0,,,1,-1,157950
139,101103140,2,1,,10101,,,0,,,-1,gal_map_text_101103140,,,2,,0,,,1,-1,157950
140,101104010,2,1,,10101,,,0,,,101104020,gal_map_text_101104010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101104040,157950
141,101104020,2,1,,10101,,,0,,,101104030,gal_map_text_101104020,,,2,,0,,,1,101104040,157950
142,101104030,2,1,gal_name_01,10101,,,0,,,101104040,gal_map_text_101104030,,,1,,0,,,1,101104040,157950
143,101104040,2,2,,10101,2,gal_map_text_101104050|gal_map_text_101104060|gal_map_text_101104070,1,,,101104080|101104100|101104120,gal_map_text_101104040,,,2,,0,,,0,-1,157950
144,101104080,2,1,,10101,,,0,,,101104090,gal_map_text_101104080,,,2,,0,,,1,-1,157950
145,101104090,2,1,gal_name_01,10101,,,0,,,101104140,gal_map_text_101104090,,,1,,0,,,1,-1,157950
146,101104100,2,1,,10101,,,0,,,101104110,gal_map_text_101104100,,,2,,0,,,1,-1,157950
147,101104110,2,1,gal_name_01,10101,,,0,,,101104140,gal_map_text_101104110,,,1,,0,,,1,-1,157950
148,101104120,2,1,,10101,,,0,,,101104130,gal_map_text_101104120,,,2,,0,,,1,-1,157950
149,101104130,2,1,gal_name_01,10101,,,0,,,101104140,gal_map_text_101104130,,,1,,0,,,1,-1,157950
150,101104140,2,1,,10101,,,0,,,-1,gal_map_text_101104140,,,2,,0,,,1,-1,157950
151,101105010,2,1,,10101,,,0,,,101105020,gal_map_text_101105010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101105030,157950
152,101105020,2,1,,10101,,,0,,,101105030,gal_map_text_101105020,,,2,,0,,,1,101105030,157950
153,101105030,2,2,gal_name_01,10101,2,gal_map_text_101105040|gal_map_text_101105050|gal_map_text_101105060,1,,,101105070|101105100|101105130,gal_map_text_101105030,,,1,,0,,,0,-1,157950
154,101105070,2,1,,10101,,,0,,,101105080,gal_map_text_101105070,,,2,,0,,,1,-1,157950
155,101105080,2,1,,10101,,,0,,,101105090,gal_map_text_101105080,,,2,,0,,,1,-1,157950
156,101105090,2,1,gal_name_01,10101,,,0,,,101105140,gal_map_text_101105090,,,1,,0,,,1,-1,157950
157,101105100,2,1,,10101,,,0,,,101105110,gal_map_text_101105100,,,2,,0,,,1,-1,157950
158,101105110,2,1,,10101,,,0,,,101105120,gal_map_text_101105110,,,2,,0,,,1,-1,157950
159,101105120,2,1,gal_name_01,10101,,,0,,,101105140,gal_map_text_101105120,,,1,,0,,,1,-1,157950
160,101105130,2,1,,10101,,,0,,,101105140,gal_map_text_101105130,,,2,,0,,,1,-1,157950
161,101105140,2,1,,10101,,,0,,,-1,gal_map_text_101105140,,,2,,0,,,1,-1,157950
162,101106010,2,1,,10101,,,0,,,101106020,gal_map_text_101106010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101106050,157950
163,101106020,2,1,,10101,,,0,,,101106030,gal_map_text_101106020,,,2,,0,,,1,101106050,157950
164,101106030,2,1,gal_name_01,10101,,,0,,,101106040,gal_map_text_101106030,,,1,,0,,,1,101106050,157950
165,101106040,2,1,,10101,,,0,,,101106050,gal_map_text_101106040,,,2,,0,,,1,101106050,157950
166,101106050,2,2,,10101,2,gal_map_text_101106060|gal_map_text_101106070|gal_map_text_101106080,1,,,101106090|101106110|101106120,gal_map_text_101106050,,,2,,0,,,0,-1,157950
167,101106090,2,1,,10101,,,0,,,101106100,gal_map_text_101106090,,,2,,0,,,1,-1,157950
168,101106100,2,1,gal_name_01,10101,,,0,,,101106130,gal_map_text_101106100,,,1,,0,,,1,-1,157950
169,101106110,2,1,,10101,,,0,,,101106130,gal_map_text_101106110,,,2,,0,,,1,-1,157950
170,101106120,2,1,,10101,,,0,,,101106130,gal_map_text_101106120,,,2,,0,,,1,-1,157950
171,101106130,2,1,,10101,,,0,,,-1,gal_map_text_101106130,,,2,,0,,,1,-1,157950
172,101107010,2,1,,10101,,,0,,,101107020,gal_map_text_101107010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101107030,157950
173,101107020,2,1,,10101,,,0,,,101107030,gal_map_text_101107020,,,2,,0,,,1,101107030,157950
174,101107030,2,2,,10101,2,gal_map_text_101107040|gal_map_text_101107050|gal_map_text_101107060,1,,,101107070|101107100|101107140,gal_map_text_101107030,,,2,,0,,,0,-1,157950
175,101107070,2,1,,10101,,,0,,,101107080,gal_map_text_101107070,,,2,,0,,,1,-1,157950
176,101107080,2,1,,10101,,,0,,,101107090,gal_map_text_101107080,,,2,,0,,,1,-1,157950
177,101107090,2,1,gal_name_01,10101,,,0,,,101107190,gal_map_text_101107090,,,1,,0,,,1,-1,157950
178,101107100,2,1,,10101,,,0,,,101107110,gal_map_text_101107100,,,2,,0,,,1,-1,157950
179,101107110,2,1,gal_name_01,10101,,,0,,,101107120,gal_map_text_101107110,,,1,,0,,,1,-1,157950
180,101107120,2,1,,10101,,,0,,,101107130,gal_map_text_101107120,,,2,,0,,,1,-1,157950
181,101107130,2,1,gal_name_01,10101,,,0,,,101107190,gal_map_text_101107130,,,1,,0,,,1,-1,157950
182,101107140,2,1,,10101,,,0,,,101107150,gal_map_text_101107140,,,2,,0,,,1,-1,157950
183,101107150,2,1,,10101,,,0,,,101107160,gal_map_text_101107150,,,2,,0,,,1,-1,157950
184,101107160,2,1,gal_name_01,10101,,,0,,,101107170,gal_map_text_101107160,,,1,,0,,,1,-1,157950
185,101107170,2,1,,10101,,,0,,,101107180,gal_map_text_101107170,,,2,,0,,,1,-1,157950
186,101107180,2,1,,10101,,,0,,,101107190,gal_map_text_101107180,,,2,,0,,,1,-1,157950
187,101107190,2,1,,10101,,,0,,,-1,gal_map_text_101107190,,,2,,0,,,1,-1,157950
188,101201010,2,1,,10101,,,0,,,101201020,gal_map_text_101201010,,,2,,2,gal_bg_sea_1,gal_bg_room_3,1,101201040,157950
189,101201020,2,1,,10101,,,0,,,101201030,gal_map_text_101201020,,,2,,0,,,1,101201040,157950
190,101201030,2,1,gal_name_01,10101,,,0,,,101201040,gal_map_text_101201030,,,1,,0,,,1,101201040,157950
191,101201040,2,2,,10101,2,gal_map_text_101201050|gal_map_text_101201060|gal_map_text_101201070,1,,,101201080|101201090|101201100,gal_map_text_101201040,,,2,,0,,,0,-1,157950
192,101201080,2,1,,10101,,,0,,,101201110,gal_map_text_101201080,,,2,,0,,,1,-1,157950
193,101201090,2,1,,10101,,,0,,,101201110,gal_map_text_101201090,,,2,,0,,,1,-1,157950
194,101201100,2,1,,10101,,,0,,,101201110,gal_map_text_101201100,,,2,,0,,,1,-1,157950
195,101201110,2,1,,10101,,,0,,,-1,gal_map_text_101201110,,,2,,0,,,1,-1,157950
196,101202010,2,1,,10101,,,0,,,101202020,gal_map_text_101202010,,,2,,2,gal_bg_sea_1,gal_bg_room_3,1,101202030,157950
197,101202020,2,1,gal_name_01,10101,,,0,,,101202030,gal_map_text_101202020,,,1,,0,,,1,101202030,157950
198,101202030,2,2,,10101,2,gal_map_text_101202040|gal_map_text_101202050|gal_map_text_101202060,1,,,101202070|101202110|101202160,gal_map_text_101202030,,,2,,0,,,0,-1,157950
199,101202070,2,1,,10101,,,0,,,101202080,gal_map_text_101202070,,,2,,0,,,1,-1,157950
200,101202080,2,1,,10101,,,0,,,101202090,gal_map_text_101202080,,,2,,0,,,1,-1,157950
201,101202090,2,1,,10101,,,0,,,101202100,gal_map_text_101202090,,,2,,0,,,1,-1,157950
202,101202100,2,1,,10101,,,0,,,-1,gal_map_text_101202100,,,2,,0,,,1,-1,157950
203,101202110,2,1,,10101,,,0,,,101202120,gal_map_text_101202110,,,2,,0,,,1,-1,157950
204,101202120,2,1,gal_name_01,10101,,,0,,,101202130,gal_map_text_101202120,,,1,,0,,,1,-1,157950
205,101202130,2,1,,10101,,,0,,,101202140,gal_map_text_101202130,,,2,,0,,,1,-1,157950
206,101202140,2,1,,10101,,,0,,,101202150,gal_map_text_101202140,,,2,,0,,,1,-1,157950
207,101202150,2,1,,10101,,,0,,,-1,gal_map_text_101202150,,,2,,0,,,1,-1,157950
208,101202160,2,1,,10101,,,0,,,101202170,gal_map_text_101202160,,,2,,0,,,1,-1,157950
209,101202170,2,1,,10101,,,0,,,-1,gal_map_text_101202170,,,2,,0,,,1,-1,157950
210,101203010,2,1,,10101,,,0,,,101203020,gal_map_text_101203010,,,2,,2,gal_bg_sea_1,gal_bg_room_3,1,101203030,157950
211,101203020,2,1,,10101,,,0,,,101203030,gal_map_text_101203020,,,2,,0,,,1,101203030,157950
212,101203030,2,2,gal_name_01,10101,2,gal_map_text_101203040|gal_map_text_101203050|gal_map_text_101203060,1,,,101203070|101203110|101203130,gal_map_text_101203030,,,1,,0,,,0,-1,157950
213,101203070,2,1,,10101,,,0,,,101203080,gal_map_text_101203070,,,2,,0,,,1,-1,157950
214,101203080,2,1,,10101,,,0,,,101203090,gal_map_text_101203080,,,2,,0,,,1,-1,157950
215,101203090,2,1,gal_name_01,10101,,,0,,,101203100,gal_map_text_101203090,,,1,,0,,,1,-1,157950
216,101203100,2,1,gal_name_01,10101,,,0,,,101203150,gal_map_text_101203100,,,1,,0,,,1,-1,157950
217,101203110,2,1,,10101,,,0,,,101203120,gal_map_text_101203110,,,2,,0,,,1,-1,157950
218,101203120,2,1,gal_name_01,10101,,,0,,,101203150,gal_map_text_101203120,,,1,,0,,,1,-1,157950
219,101203130,2,1,,10101,,,0,,,101203140,gal_map_text_101203130,,,2,,0,,,1,-1,157950
220,101203140,2,1,gal_name_01,10101,,,0,,,101203150,gal_map_text_101203140,,,1,,0,,,1,-1,157950
221,101203150,2,1,,10101,,,0,,,-1,gal_map_text_101203150,,,2,,0,,,1,-1,157950
222,101204010,2,1,,10101,,,0,,,101204020,gal_map_text_101204010,,,2,,2,gal_bg_sea_1,gal_bg_room_3,1,101204030,157950
223,101204020,2,1,,10101,,,0,,,101204030,gal_map_text_101204020,,,2,,0,,,1,101204030,157950
224,101204030,2,2,,10101,2,gal_map_text_101204040|gal_map_text_101204050|gal_map_text_101204060,1,,,101204070|101204100|101204140,gal_map_text_101204030,,,2,,0,,,0,-1,157950
225,101204070,2,1,,10101,,,0,,,101204080,gal_map_text_101204070,,,2,,0,,,1,-1,157950
226,101204080,2,1,gal_name_01,10101,,,0,,,101204090,gal_map_text_101204080,,,1,,0,,,1,-1,157950
227,101204090,2,1,,10101,,,0,,,101204190,gal_map_text_101204090,,,2,,0,,,1,-1,157950
228,101204100,2,1,,10101,,,0,,,101204110,gal_map_text_101204100,,,2,,0,,,1,-1,157950
229,101204110,2,1,,10101,,,0,,,101204120,gal_map_text_101204110,,,2,,0,,,1,-1,157950
230,101204120,2,1,gal_name_01,10101,,,0,,,101204130,gal_map_text_101204120,,,1,,0,,,1,-1,157950
231,101204130,2,1,player_name,10101,,,0,,,101204190,gal_map_text_101204130,,,1,,0,,,1,-1,157950
232,101204140,2,1,,10101,,,0,,,101204150,gal_map_text_101204140,,,2,,0,,,1,-1,157950
233,101204150,2,1,player_name,10101,,,0,,,101204160,gal_map_text_101204150,,,1,,0,,,1,-1,157950
