_index,id,sceneType,dialogueType,name,spine,optionType,option,keyOption,trait,traitInterval,nextId,plotText,sound,animation,pic,image,bgType,bg,bgm,skip,skipId,_trailingBytes,nameText,plotTextResolved,optionResolved
19,101101150,2,1,,10101,,,0,,,-1,gal_map_text_101101150,,,2,,0,,,1,-1,157950,,最終，你還是和妲己一起分享了這碗泡面，度過了這饞人的深夜時光...,
20,102101010,2,1,,,,,0,,,102101020,gal_map_text_102101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,102101060,157950,,週末的上午，你剛起床，準備去衛生間洗漱。,
21,102101020,2,1,,10201,,,0,,,102101030,gal_map_text_102101020,,,2,,0,,,1,102101060,157950,,推開門的瞬間，你愣住了——奇美拉正背對著你換衣服，聽到開門聲她猛地轉過身來。,
22,102101030,2,1,,10201,,,0,,,102101040,gal_map_text_102101030,,,2,,0,,,1,102101060,157950,,出乎你意料的是，她並沒有驚慌失措，反而眨了眨眼睛，嘴角勾起狡黠的笑容,
23,102101040,2,1,gal_name_02,10201,,,0,,,102101050,gal_map_text_102101040,,,1,,0,,,1,102101060,157950,阿米菈,哎呀，嚇我一跳，原來是你啊,
24,102101050,2,1,,10201,,,0,,,102101060,gal_map_text_102101050,,,2,,0,,,1,102101060,157950,,你尷尬地想要關門，她卻笑著說,
25,102101060,2,2,gal_name_02,10201,2,gal_map_text_102101070|gal_map_text_102101080|gal_map_text_102101090,1,,,102101100|102101120|102101140,gal_map_text_102101060,,,1,,0,,,0,102101060,157950,阿米菈,怎麼，現在又不敢看了嗎？,
26,102101100,2,1,,10201,,,0,,,102101110,gal_map_text_102101100,,,2,,0,,,1,-1,157950,,奇美拉挑了挑眉，走到你面前說,
27,102101110,2,1,gal_name_02,10201,,,0,,,102101160,gal_map_text_102101110,,,1,,0,,,1,-1,157950,阿米菈,哦？你是想要再仔細看看？,
28,102101120,2,1,,10201,,,0,,,102101130,gal_map_text_102101120,,,2,,0,,,1,-1,157950,,奇美拉眼睛一亮,
29,102101130,2,1,gal_name_02,10201,,,0,,,102101160,gal_map_text_102101130,,,1,,0,,,1,-1,157950,阿米菈,好啊！幫我拿一下那件藍色的裙子，謝啦,
30,102101140,2,1,,10201,,,0,,,102101150,gal_map_text_102101140,,,2,,0,,,1,-1,157950,,奇美拉湊到你耳邊輕聲說,
31,102101150,2,1,gal_name_02,10201,,,0,,,102101160,gal_map_text_102101150,,,1,,0,,,1,-1,157950,阿米菈,想假裝沒看見？晚啦！你得幫我做事補償我！,
32,102101160,2,1,,,,,0,,,-1,gal_map_text_102101160,,,2,,0,,,1,-1,157950,,之後的一整天都在被奇美拉指揮端茶倒水，你忽然覺得自己是不是中了圈套,
33,103101010,2,1,,,,,0,,,103101020,gal_map_text_103101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,103101050,157950,,為了研究開發問題，你已經連續幾天吃泡面當晚餐了，今天終於被路過的卡洛菲斯發現了。,
34,103101020,2,1,,10301,,,0,,,103101030,gal_map_text_103101020,,,2,,0,,,1,103101050,157950,,她走進你的房間，看著桌上的泡面桶，無奈地搖搖頭,
35,103101030,2,1,gal_name_03,10301,,,0,,,103101040,gal_map_text_103101030,,,1,,0,,,1,103101050,157950,卡洛菲斯,你再這麼吃下去身體會垮掉的。,
36,103101040,2,1,gal_name_03,10301,,,0,,,103101050,gal_map_text_103101040,,,1,,0,,,1,103101050,157950,卡洛菲斯,泡面沒什麼營養，明天我給你做我拿手的義大利面吧，保證比泡面好吃一百倍。,
37,103101050,2,2,,10301,2,gal_map_text_103101060|gal_map_text_103101070|gal_map_text_103101080,1,,,103101090|103101110|103101130,gal_map_text_103101050,,,2,,0,,,0,103101050,157950,,你看著她認真的眼神，能感受到她的關心。,
38,103101090,2,1,,10301,,,0,,,103101100,gal_map_text_103101090,,,2,,0,,,1,-1,157950,,卡洛菲斯輕輕拍了拍你的手,
39,103101100,2,1,gal_name_03,10301,,,0,,,103101150,gal_map_text_103101100,,,1,,0,,,1,-1,157950,卡洛菲斯,不麻煩呀，能為你做飯我很開心呢。,
40,103101110,2,1,,10301,,,0,,,103101120,gal_map_text_103101110,,,2,,0,,,1,-1,157950,,卡洛菲斯眼睛一亮,
41,103101120,2,1,gal_name_03,10301,,,0,,,103101150,gal_map_text_103101120,,,1,,0,,,1,-1,157950,卡洛菲斯,好主意！我們可以一起去超市買食材，然後回來一起做，一定很有趣。,
42,103101130,2,1,,10301,,,0,,,103101140,gal_map_text_103101130,,,2,,0,,,1,-1,157950,,卡洛菲斯臉頰微紅，柔聲說,
43,103101140,2,1,gal_name_03,10301,,,0,,,103101150,gal_map_text_103101140,,,1,,0,,,1,-1,157950,卡洛菲斯,那我以後經常給你做吧，看著你吃得開心我也很高興。,
44,103101150,2,1,,10301,,,0,,,-1,gal_map_text_103101150,,,2,,0,,,1,-1,157950,,你和卡洛菲斯又繼續聊了一會，度過了愉快的一天,
45,106101010,2,1,,,,,0,,,106101020,gal_map_text_106101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,106101060,157950,,早上起來就聽到敖靈咳嗽的聲音，你敲開她的房門，發現她臉色蒼白地躺在床上。,
46,106101020,2,1,gal_name_06,10601,,,0,,,106101030,gal_map_text_106101020,,,1,,0,,,1,106101060,157950,青龍,我好像發燒了...,
47,106101030,2,1,,10601,,,0,,,106101040,gal_map_text_106101030,,,2,,0,,,1,106101060,157950,,她聲音有些虛弱，卻依然保持著平靜的語氣。,
48,106101040,2,1,,10601,,,0,,,106101050,gal_map_text_106101040,,,2,,0,,,1,106101060,157950,,你摸了摸她的額頭，確實很燙。她看著你擔心的樣子，輕聲說,
49,106101050,2,1,gal_name_06,10601,,,0,,,106101060,gal_map_text_106101050,,,1,,0,,,1,106101060,157950,青龍,沒關係，休息一下就好。,
50,106101060,2,2,,10601,2,gal_map_text_106101070|gal_map_text_106101080|gal_map_text_106101090,1,,,106101100|106101120|106101130,gal_map_text_106101060,,,2,,0,,,0,106101060,157950,,你決定留下來照顧她。,
51,106101100,2,1,,10601,,,0,,,106101110,gal_map_text_106101100,,,2,,0,,,1,-1,157950,,敖靈看著你買回來的藥，輕聲說,
52,106101110,2,1,gal_name_06,10601,,,0,,,106101150,gal_map_text_106101110,,,1,,0,,,1,-1,157950,青龍,謝謝你跑這麼遠，能多陪我一會嗎。,
53,106101120,2,1,,10601,,,0,,,106101150,gal_map_text_106101120,,,2,,0,,,1,-1,157950,,你用溫水幫她擦拭額頭和手腕，敖靈有些不好意思，卻沒有拒絕，安靜地配合你。,
54,106101130,2,1,,10601,,,0,,,106101140,gal_map_text_106101130,,,2,,0,,,1,-1,157950,,你坐在她床邊看書陪伴，她醒來時看到你，輕聲說,
55,106101140,2,1,gal_name_06,10601,,,0,,,106101150,gal_map_text_106101140,,,1,,0,,,1,-1,157950,青龍,有你在身邊，感覺好多了。,
56,106101150,2,1,,10601,,,0,,,-1,gal_map_text_106101150,,,2,,0,,,1,-1,157950,,你又陪著敖靈聊了一會天，陪她度過了這個難受的夜晚。,
57,101102010,2,1,,10101,,,0,,,101102020,gal_map_text_101102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101102060,157950,,蘇嬋神秘兮兮地端著一個盤子走進你的房間，上面蓋著蓋子。,
58,101102020,2,1,gal_name_01,10101,,,0,,,101102030,gal_map_text_101102020,,,1,,0,,,1,101102060,157950,蘇嬋,喂，我做了點心，你嘗嘗看！,
59,101102030,2,1,,10101,,,0,,,101102040,gal_map_text_101102030,,,2,,0,,,1,101102060,157950,,她故作鎮定，但眼神裡卻有些期待又有些緊張。,
60,101102040,2,1,,10101,,,0,,,101102050,gal_map_text_101102040,,,2,,0,,,1,101102060,157950,,掀開蓋子後，你看到一盤黑乎乎的東西，完全看不出原本是什麼食材，還散發著奇怪的味道。,
61,101102050,2,1,,10101,,,0,,,101102060,gal_map_text_101102050,,,2,,0,,,1,101102060,157950,,蘇嬋看到你的表情，立刻說,
62,101102060,2,2,gal_name_01,10101,2,gal_map_text_101102070|gal_map_text_101102080|gal_map_text_101102090,1,,,101102100|101102110|101102150,gal_map_text_101102060,,,1,,0,,,0,101102060,157950,蘇嬋,別看賣相不好，味道其實...其實還不錯！,
63,101102100,2,1,,10101,,,0,,,101102180,gal_map_text_101102100,,,2,,0,,,1,-1,157950,,入口的瞬間，奇怪的味道在嘴裡蔓延，但看到蘇嬋期待的眼神，你還是稱讚她的料理做的不錯，她立刻開心起來。,
64,101102110,2,1,,10101,,,0,,,101102120,gal_map_text_101102110,,,2,,0,,,1,-1,157950,,蘇嬋撇了撇嘴,
65,101102120,2,1,gal_name_01,10101,,,0,,,101102130,gal_map_text_101102120,,,1,,0,,,1,-1,157950,蘇嬋,哼，不吃就算了！,
66,101102130,2,1,,10101,,,0,,,101102140,gal_map_text_101102130,,,2,,0,,,1,-1,157950,,蘇嬋轉身要走，卻在門口小聲說,
67,101102140,2,1,gal_name_01,10101,,,0,,,101102180,gal_map_text_101102140,,,1,,0,,,1,-1,157950,蘇嬋,其實...我練了好久的...,
68,101102150,2,1,,10101,,,0,,,101102160,gal_map_text_101102150,,,2,,0,,,1,-1,157950,,蘇嬋瞪了你一眼,
69,101102160,2,1,gal_name_01,10101,,,0,,,101102170,gal_map_text_101102160,,,1,,0,,,1,-1,157950,蘇嬋,什麼黑暗料理！這是我獨創的甜點！,
70,101102170,2,1,,10101,,,0,,,101102180,gal_map_text_101102170,,,2,,0,,,1,-1,157950,,雖然生氣，但是蘇嬋還是把盤子留下了。,
71,101102180,2,1,,10101,,,0,,,-1,gal_map_text_101102180,,,2,,0,,,1,-1,157950,,最終你還是把這料理全都解決了，高興的蘇嬋似乎決定下次繼續嘗試不同的料理。,
72,102102010,2,1,,,,,0,,,102102020,gal_map_text_102102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,102102040,157950,,週末早上睡得正香，感覺有什麼重物壓在身上，還有人在耳邊叫你的名字。,
73,102102020,2,1,,10201,,,0,,,102102030,gal_map_text_102102020,,,2,,0,,,1,102102040,157950,,起床啦！太陽都曬屁股了！,
74,102102030,2,1,,10201,,,0,,,102102040,gal_map_text_102102030,,,2,,0,,,1,102102040,157950,,你睜開眼睛，發現阿米菈正趴在你的身上，雙手撐在你的肩膀兩側，笑眯眯地看著你。,
75,102102040,2,2,gal_name_02,10201,2,gal_map_text_102102050|gal_map_text_102102060|gal_map_text_102102070,1,,,102102080|102102100|102102120,gal_map_text_102102040,,,1,,0,,,0,102102040,157950,阿米菈,再不起床，我就用癢癢肉懲罰你哦,
76,102102080,2,1,,10201,,,0,,,102102090,gal_map_text_102102080,,,2,,0,,,1,-1,157950,,阿米菈開心地跳起來，拉著你就往外走。,
77,102102090,2,1,gal_name_02,10201,,,0,,,102102140,gal_map_text_102102090,,,1,,0,,,1,-1,157950,阿米菈,太好了！我發現一家新開的早餐店，我們一起去嘗嘗吧！,
78,102102100,2,1,,10201,,,0,,,102102110,gal_map_text_102102100,,,2,,0,,,1,-1,157950,,阿米菈不依不饒，開始撓你的癢癢。,
79,102102110,2,1,gal_name_02,10201,,,0,,,102102140,gal_map_text_102102110,,,1,,0,,,1,-1,157950,阿米菈,想繼續睡？沒門！,
80,102102120,2,1,,10201,,,0,,,102102130,gal_map_text_102102120,,,2,,0,,,1,-1,157950,,阿米菈沒想到你會反擊，立刻笑個不停,
81,102102130,2,1,gal_name_02,10201,,,0,,,102102140,gal_map_text_102102130,,,1,,0,,,1,-1,157950,阿米菈,哈哈哈...別撓了...我認輸！,
82,102102140,2,1,,,,,0,,,-1,gal_map_text_102102140,,,2,,0,,,1,-1,157950,,最終你還是不得不起床，陪著阿米菈出門了。,
83,103102010,2,1,,,,,0,,,103102020,gal_map_text_103102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,103102050,157950,,整理舊物時，不小心碰掉了卡洛菲斯放在書架上的筆記本，裡面的紙張散落一地。,
84,103102020,2,1,,10301,,,0,,,103102030,gal_map_text_103102020,,,2,,0,,,1,103102050,157950,,你蹲下來幫忙撿，看到筆記本裡除了歷史文獻的筆記，還有一些手繪的小插畫，甚至有幾張是你的肖像。,
85,103102030,2,1,,10301,,,0,,,103102040,gal_map_text_103102030,,,2,,0,,,1,103102050,157950,,卡洛菲斯剛好回來，看到這一幕，臉頰瞬間紅了起來，趕緊跑過來,
86,103102040,2,1,gal_name_03,10301,,,0,,,103102050,gal_map_text_103102040,,,1,,0,,,1,103102050,157950,卡洛菲斯,啊！我的筆記本！,
87,103102050,2,2,,10301,2,gal_map_text_103102060|gal_map_text_103102070|gal_map_text_103102080,1,,,103102090|103102100|103102130,gal_map_text_103102050,,,2,,0,,,0,103102050,157950,,她有些慌亂地想把筆記本拿回去，眼神裡滿是不好意思。,
88,103102090,2,1,,10301,,,0,,,103102150,gal_map_text_103102090,,,2,,0,,,1,-1,157950,,你把整理好的筆記本遞給她，她接過筆記本，小聲說了句謝謝。,
89,103102100,2,1,,10301,,,0,,,103102110,gal_map_text_103102100,,,2,,0,,,1,-1,157950,,卡洛菲斯低下頭輕聲說,
90,103102110,2,1,gal_name_03,10301,,,0,,,103102120,gal_map_text_103102110,,,1,,0,,,1,-1,157950,卡洛菲斯,沒...沒有畫得很好啦...,
91,103102120,2,1,,10301,,,0,,,103102150,gal_map_text_103102120,,,2,,0,,,1,-1,157950,,但你分明看到了他微微上揚的嘴角。,
92,103102130,2,1,,10301,,,0,,,103102140,gal_map_text_103102130,,,2,,0,,,1,-1,157950,,卡洛菲斯松了口氣，輕聲說,
93,103102140,2,1,gal_name_03,10301,,,0,,,103102150,gal_map_text_103102140,,,1,,0,,,1,-1,157950,卡洛菲斯,謝謝你幫忙撿起來。,
94,103102150,2,1,,,,,0,,,-1,gal_map_text_103102150,,,2,,0,,,1,-1,157950,,之後卡洛菲斯偶爾會給你看她新畫的插畫，你對卡洛菲斯的瞭解又更多了一點點。,
95,104101010,2,1,,10401,,,0,,,104101020,gal_map_text_104101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,104101060,157950,,夏天的午後，宿舍的空調突然壞了，房間裡越來越熱。,
96,104101020,2,1,,10401,,,0,,,104101030,gal_map_text_104101020,,,2,,0,,,1,104101060,157950,,你拿著扇子不停扇風，還是覺得燥熱難耐。洛鳶推門進來，看到你的樣子，皺了皺眉。,
97,104101030,2,1,gal_name_04,10401,,,0,,,104101040,gal_map_text_104101030,,,1,,0,,,1,104101060,157950,洛鳶,空調壞了怎麼不找人修？,
98,104101040,2,1,,10401,,,0,,,104101050,gal_map_text_104101040,,,2,,0,,,1,104101060,157950,,她說著就開始打電話聯繫維修人員，動作乾脆俐落。,
99,104101050,2,1,,10401,,,0,,,104101060,gal_map_text_104101050,,,2,,0,,,1,104101060,157950,,掛了電話後，她看到你還在扇扇子，皺眉道,
100,104101060,2,2,gal_name_04,10401,2,gal_map_text_104101070|gal_map_text_104101080|gal_map_text_104101090,1,,,104101100|104101120|104101130,gal_map_text_104101060,,,1,,0,,,0,104101060,157950,洛鳶,這樣扇沒用，有沒有什麼辦法。,
101,104101100,2,1,,10401,,,0,,,104101110,gal_map_text_104101100,,,2,,0,,,1,-1,157950,,洛鳶從櫃子裡拿出兩個小風扇，連接好電源,
102,104101110,2,1,gal_name_04,10401,,,0,,,104101150,gal_map_text_104101110,,,1,,0,,,1,-1,157950,洛鳶,先湊合用這個，維修人員很快就到。,
103,104101120,2,1,gal_name_04,10401,,,0,,,104101150,gal_map_text_104101120,,,1,,0,,,1,-1,157950,洛鳶,好主意！附近有個咖啡館，我們可以去那裡待一會兒，順便喝點東西。,
104,104101130,2,1,,10401,,,0,,,104101140,gal_map_text_104101130,,,2,,0,,,1,-1,157950,,洛鳶眼睛一亮，說到,
105,104101140,2,1,gal_name_04,10401,,,0,,,104101150,gal_map_text_104101140,,,1,,0,,,1,-1,157950,洛鳶,我去樓下便利店買些冰塊回來，我們可以做個簡易冰袋降溫。,
106,104101150,2,1,,10401,,,0,,,-1,gal_map_text_104101150,,,2,,0,,,1,-1,157950,,今天的空調還是沒修理好，你和洛鳶一起度過了炎熱的一天。,
107,107101010,2,1,,10701,,,0,,,107101020,gal_map_text_107101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,107101050,157950,,早上醒來，感覺身邊有什麼東西，睜開眼睛一看，竟然發現墨茗躺在你的旁邊。,
108,107101020,2,1,,10701,,,0,,,107101030,gal_map_text_107101020,,,2,,0,,,1,107101050,157950,,她還在熟睡，長長的睫毛輕輕顫動，看起來非常可愛。你想起昨天她因為害怕打雷，可能是半夜跑到你房間來的。,
109,107101030,2,1,,10701,,,0,,,107101040,gal_map_text_107101030,,,2,,0,,,1,107101050,157950,,你正想輕輕起來，墨茗卻慢慢睜開了眼睛，看到你後，瞬間清醒過來。,
110,107101040,2,1,gal_name_07,10701,,,0,,,107101050,gal_map_text_107101040,,,1,,0,,,1,107101050,157950,墨茗,啊！對不起！我昨天太害怕了...,
111,107101050,2,2,,10701,2,gal_map_text_107101060|gal_map_text_107101070|gal_map_text_107101080,1,,,107101090|107101110|107101130,gal_map_text_107101050,,,2,,0,,,0,107101050,157950,,她趕緊坐起來，臉頰通紅。,
112,107101090,2,1,,10701,,,0,,,107101100,gal_map_text_107101090,,,2,,0,,,1,-1,157950,,墨茗點點頭，有些不好意思,
113,107101100,2,1,gal_name_07,10701,,,0,,,107101150,gal_map_text_107101100,,,1,,0,,,1,-1,157950,墨茗,嗯...我從小就怕打雷，昨天實在沒辦法才...,
114,107101110,2,1,,10701,,,0,,,107101120,gal_map_text_107101110,,,2,,0,,,1,-1,157950,,墨茗搖搖頭，但起身還是有些猶豫，看起來還是有點害怕。,
115,107101120,2,1,gal_name_07,10701,,,0,,,107101150,gal_map_text_107101120,,,1,,0,,,1,-1,157950,墨茗,不了不了，我該回自己房間了。,
116,107101130,2,1,,10701,,,0,,,107101140,gal_map_text_107101130,,,2,,0,,,1,-1,157950,,墨茗的臉更紅了，趕緊說,
117,107101140,2,1,gal_name_07,10701,,,0,,,107101150,gal_map_text_107101140,,,1,,0,,,1,-1,157950,墨茗,我不是故意的！對不起！,
118,107101150,2,1,,10701,,,0,,,-1,gal_map_text_107101150,,,2,,0,,,1,-1,157950,,沒想到第二天晚上又打雷了，看來你暫時拜託不了這個”膽小鬼“了。,
119,107102010,2,1,,10701,,,0,,,107102020,gal_map_text_107102010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,107102030,157950,,週末和墨茗一起打掃宿舍衛生，她負責擦地板，你負責整理書桌。突然聽到“哎呀”一聲，轉頭看到墨茗因為地板太滑，正往地上摔去。,
120,107102020,2,1,,10701,,,0,,,107102030,gal_map_text_107102020,,,2,,0,,,1,107102030,157950,,你趕緊跑過去，在她摔倒前扶住了她，她驚魂未定地說,
121,107102030,2,2,gal_name_07,10701,2,gal_map_text_107102040|gal_map_text_107102050|gal_map_text_107102060,1,,,107102070|107102090|107102110,gal_map_text_107102030,,,1,,0,,,0,107102030,157950,墨茗,好險！差點就摔疼了，謝謝你。,
122,107102070,2,1,gal_name_07,10701,,,0,,,107102080,gal_map_text_107102070,,,1,,0,,,1,-1,157950,墨茗,（墨茗搖搖頭）我沒事，就是嚇了一跳。,
123,107102080,2,1,,10701,,,0,,,107102130,gal_map_text_107102080,,,2,,0,,,1,-1,157950,,她給你泡了杯熱牛奶，說謝謝你的關心。,
124,107102090,2,1,,10701,,,0,,,107102100,gal_map_text_107102090,,,2,,0,,,1,-1,157950,,墨茗接過防滑墊，笑著說,
125,107102100,2,1,gal_name_07,10701,,,0,,,107102130,gal_map_text_107102100,,,1,,0,,,1,-1,157950,墨茗,你想得真周到！有你在真好，不然我肯定要摔跤了。,
126,107102110,2,1,,10701,,,0,,,107102120,gal_map_text_107102110,,,2,,0,,,1,-1,157950,,墨茗立刻反對， 堅持要和你一起完成,
127,107102120,2,1,gal_name_07,10701,,,0,,,107102130,gal_map_text_107102120,,,1,,0,,,1,-1,157950,墨茗,不行不行，打掃衛生是我們一起的，我怎麼能讓你一個人做呢！,
128,107102130,2,1,,10701,,,0,,,-1,gal_map_text_107102130,,,2,,0,,,1,-1,157950,,宿舍在你們的通力合作之下，被打掃的一塵不染。,
129,101103010,2,1,,10101,,,0,,,101103020,gal_map_text_101103010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101103040,157950,,週末午後的宿舍，陽光曬得地板暖乎乎的，蘇嬋抱著一個遊戲盒蹲在你桌前，指尖戳了戳盒子封面的雙人角色。,
130,101103020,2,1,gal_name_01,10101,,,0,,,101103030,gal_map_text_101103020,,,1,,0,,,1,101103040,157950,蘇嬋,你看，這是新出的雙人遊戲，他們都說超難通關，一起玩吧，不過你肯定玩不過我！,
131,101103030,2,1,,10101,,,0,,,101103040,gal_map_text_101103030,,,2,,0,,,1,101103040,157950,,她嘴上說著嫌棄，卻已經麻利地拆開包裝，把遊戲手柄塞到你手裡。,
132,101103040,2,2,,10101,2,gal_map_text_101103050|gal_map_text_101103060|gal_map_text_101103070,1,,,101103080|101103100|101103120,gal_map_text_101103040,,,2,,0,,,0,-1,157950,,螢幕上跳出遊戲介面，需要選擇合作闖關模式或對戰模式。,
133,101103080,2,1,,10101,,,0,,,101103090,gal_map_text_101103080,,,2,,0,,,1,-1,157950,,你們組隊打怪，蘇嬋操作時不小心失誤，你立刻幫她擋掉攻擊，她臉色一紅，小聲說,
134,101103090,2,1,gal_name_01,10101,,,0,,,101103140,gal_map_text_101103090,,,1,,0,,,1,-1,157950,蘇嬋,算... 算你有點用，看來你也是有點水準的,
135,101103100,2,1,,10101,,,0,,,101103110,gal_map_text_101103100,,,2,,0,,,1,-1,157950,,對戰時你一點水也沒放，蘇嬋一把沒贏，氣的臉色通紅,
136,101103110,2,1,gal_name_01,10101,,,0,,,101103140,gal_map_text_101103110,,,1,,0,,,1,-1,157950,蘇嬋,再來一把！上一把我肚子餓了沒發揮好！讓我吃點東西墊墊，下把馬上贏你！,
137,101103120,2,1,,10101,,,0,,,101103130,gal_map_text_101103120,,,2,,0,,,1,-1,157950,,蘇嬋翻了個白眼，卻還是湊近手把手教你，結果實戰環節不小心暴露了真實水準,
138,101103130,2,1,gal_name_01,10101,,,0,,,101103140,gal_map_text_101103130,,,1,,0,,,1,-1,157950,蘇嬋,玩的這麼好！是不是打算扮豬吃老虎，嗯？,
139,101103140,2,1,,10101,,,0,,,-1,gal_map_text_101103140,,,2,,0,,,1,-1,157950,,你和蘇嬋度過了一個愉快的午後時光~,
140,101104010,2,1,,10101,,,0,,,101104020,gal_map_text_101104010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101104040,157950,,傍晚突然下起暴雨，蘇嬋冒雨跑回來時，校服裙擺和袖子全濕透了，頭髮也滴著水。,
141,101104020,2,1,,10101,,,0,,,101104030,gal_map_text_101104020,,,2,,0,,,1,101104040,157950,,她凍得縮了縮脖子,
142,101104030,2,1,gal_name_01,10101,,,0,,,101104040,gal_map_text_101104030,,,1,,0,,,1,101104040,157950,蘇嬋,這雨真大啊，說下就下,
143,101104040,2,2,,10101,2,gal_map_text_101104050|gal_map_text_101104060|gal_map_text_101104070,1,,,101104080|101104100|101104120,gal_map_text_101104040,,,2,,0,,,0,-1,157950,,你看著她瑟瑟發抖的的樣子，你決定,
144,101104080,2,1,,10101,,,0,,,101104090,gal_map_text_101104080,,,2,,0,,,1,-1,157950,,蘇嬋深深看了你一眼，還是回房換了衣服，寬大的衣服襯得她格外嬌小，她彆扭地說,
145,101104090,2,1,gal_name_01,10101,,,0,,,101104140,gal_map_text_101104090,,,1,,0,,,1,-1,157950,蘇嬋,這衣服... 也太大了。,
146,101104100,2,1,,10101,,,0,,,101104110,gal_map_text_101104100,,,2,,0,,,1,-1,157950,,你端著姜茶回去時，蘇嬋已經換好了衣服，正對著鏡子扯著衣服下擺，看到你進來，慌忙轉身說,
