"LineNumber","Kind","Name","TypeDefIndex","Declaration"
"1053","class","ParticleEffectsLibrary","30","public class ParticleEffectsLibrary : MonoBehaviour // TypeDefIndex: 30"
"1092","class","UICanvasManager","31","public class UICanvasManager : MonoBehaviour // TypeDefIndex: 31"
"1135","enum","HapticTypes","32","public enum HapticTypes // TypeDefIndex: 32"
"1149","class","AndroidTaptic","33","public class AndroidTaptic // TypeDefIndex: 33"
"1212","class","Example","34","public class Example : MonoBehaviour // TypeDefIndex: 34"
"1240","class","Taptic","35","public class Taptic : MonoBehaviour // TypeDefIndex: 35"
"1289","class","MultiKeyDictionary","36","public class MultiKeyDictionary<T1, T2, T3> : Dictionary<T1, Dictionary<T2, T3>> // TypeDefIndex: 36"
"1332","class","Images","37","public class Images // TypeDefIndex: 37"
"1371","enum","Reporter._LogType","38","public enum Reporter._LogType // TypeDefIndex: 38"
"1383","class","Reporter.Sample","39","public class Reporter.Sample // TypeDefIndex: 39"
"1405","class","Reporter.Log","40","public class Reporter.Log // TypeDefIndex: 40"
"1427","enum","Reporter.ReportView","41","private enum Reporter.ReportView // TypeDefIndex: 41"
"1438","enum","Reporter.DetailView","42","private enum Reporter.DetailView // TypeDefIndex: 42"
"1449","class","Reporter.","43","private sealed class Reporter.<readInfo>d__188 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 43"
"1488","class","Reporter","44","public class Reporter : MonoBehaviour // TypeDefIndex: 44"
"1754","class","ReporterGUI","45","public class ReporterGUI : MonoBehaviour // TypeDefIndex: 45"
"1772","class","ReporterMessageReceiver","46","public class ReporterMessageReceiver : MonoBehaviour // TypeDefIndex: 46"
"1799","class","Rotate","47","public class Rotate : MonoBehaviour // TypeDefIndex: 47"
"1817","class","TestReporter","48","public class TestReporter : MonoBehaviour // TypeDefIndex: 48"
"1857","class","UIBindings","49","public class UIBindings : MonoBehaviour // TypeDefIndex: 49"
"1917","enum","iOSPlugin.BatteryStatus","50","public enum iOSPlugin.BatteryStatus // TypeDefIndex: 50"
"1928","class","iOSPlugin","51","public class iOSPlugin : MonoBehaviour // TypeDefIndex: 51"
"1973","class","iOSPluginCallBacks","52","public class iOSPluginCallBacks : MonoBehaviour // TypeDefIndex: 52"
"2001","class","ProductRowPrefab","53","public class ProductRowPrefab : MonoBehaviour // TypeDefIndex: 53"
"2045","class","PurchaseRowPrefab","54","public class PurchaseRowPrefab : MonoBehaviour // TypeDefIndex: 54"
"2087","class","AdsPage","55","public class AdsPage : MonoBehaviour // TypeDefIndex: 55"
"2135","class","LogScroller","56","public class LogScroller : MonoBehaviour // TypeDefIndex: 56"
"2161","class","MainPage","57","public class MainPage : MonoBehaviour // TypeDefIndex: 57"
"2200","class","Menu","58","public class Menu : MonoBehaviour // TypeDefIndex: 58"
"2249","class","PurchasePage.","59","private sealed class PurchasePage.<>c__DisplayClass10_0 // TypeDefIndex: 59"
"2267","class","PurchasePage.","60","private sealed class PurchasePage.<>c__DisplayClass13_0 // TypeDefIndex: 60"
"2283","class","PurchasePage","61","public class PurchasePage : MonoBehaviour // TypeDefIndex: 61"
"2347","class","SavePage","62","public class SavePage : MonoBehaviour // TypeDefIndex: 62"
"2395","class","SettingsMenu","63","public class SettingsMenu : MonoBehaviour // TypeDefIndex: 63"
"2410","class","UIState","64","public class UIState : MonoBehaviour // TypeDefIndex: 64"
"2423","class","Utility.","65","private sealed class Utility.<GetTexture>d__1 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 65"
"2464","class","Utility","66","public class Utility // TypeDefIndex: 66"
"2483","class","InputSystemWarning","67","public class InputSystemWarning : MonoBehaviour // TypeDefIndex: 67"
"2495","class","UIInputHelper","68","public class UIInputHelper : MonoBehaviour // TypeDefIndex: 68"
"2536","class","FBWindowsA2UNotificationsManager","69","public class FBWindowsA2UNotificationsManager : MonoBehaviour // TypeDefIndex: 69"
"2560","class","FBWindowsADSManager.","70","private sealed class FBWindowsADSManager.<>c__DisplayClass3_0 // TypeDefIndex: 70"
"2577","class","FBWindowsADSManager.","71","private sealed class FBWindowsADSManager.<>c__DisplayClass4_0 // TypeDefIndex: 71"
"2594","class","FBWindowsADSManager.","72","private sealed class FBWindowsADSManager.<>c__DisplayClass5_0 // TypeDefIndex: 72"
"2611","class","FBWindowsADSManager.","73","private sealed class FBWindowsADSManager.<>c__DisplayClass6_0 // TypeDefIndex: 73"
"2627","class","FBWindowsADSManager","74","public class FBWindowsADSManager : MonoBehaviour // TypeDefIndex: 74"
"2665","class","FBWindowsExampleTabsManager","75","public class FBWindowsExampleTabsManager : MonoBehaviour // TypeDefIndex: 75"
"2684","class","FBWindowsFriendsManager.","76","private sealed class FBWindowsFriendsManager.<>c__DisplayClass6_0 // TypeDefIndex: 76"
"2701","class","FBWindowsFriendsManager","77","public class FBWindowsFriendsManager : MonoBehaviour // TypeDefIndex: 77"
"2730","class","FBWindowsGraphAPIManager","78","public class FBWindowsGraphAPIManager : MonoBehaviour // TypeDefIndex: 78"
"2763","class","FBWindowsInitManager","79","public class FBWindowsInitManager : MonoBehaviour // TypeDefIndex: 79"
"2785","class","FBWindowsLoginManager.","80","private sealed class FBWindowsLoginManager.<LoadPictureFromUrl>d__10 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 80"
"2826","class","FBWindowsLoginManager","81","public class FBWindowsLoginManager : MonoBehaviour // TypeDefIndex: 81"
"2871","class","FBWindowsLogsManager","82","public class FBWindowsLogsManager : MonoBehaviour // TypeDefIndex: 82"
"2902","class","FBWindowsPhysicalGamepadManager","83","public class FBWindowsPhysicalGamepadManager : MonoBehaviour // TypeDefIndex: 83"
"2918","class","FBWindowsPurchaseManager.","84","private sealed class FBWindowsPurchaseManager.<>c__DisplayClass5_0 // TypeDefIndex: 84"
"2935","class","FBWindowsPurchaseManager.","85","private sealed class FBWindowsPurchaseManager.<>c__DisplayClass9_0 // TypeDefIndex: 85"
"2956","class","FBWindowsPurchaseManager.","86","private sealed class FBWindowsPurchaseManager.<LoadPictureFromUrl>d__6 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 86"
"2997","class","FBWindowsPurchaseManager","87","public class FBWindowsPurchaseManager : MonoBehaviour // TypeDefIndex: 87"
"3031","class","FBWindowsReferralsManager","88","public class FBWindowsReferralsManager : MonoBehaviour // TypeDefIndex: 88"
"3061","class","FBWindowsShareManager","89","public class FBWindowsShareManager : MonoBehaviour // TypeDefIndex: 89"
"3092","class","FBWindowsSoftKeyboardManager","90","public class FBWindowsSoftKeyboardManager : MonoBehaviour // TypeDefIndex: 90"
"3110","class","FBWindowsTournamentsManager","91","public class FBWindowsTournamentsManager : MonoBehaviour // TypeDefIndex: 91"
"3163","class","FBWindowsVirtualGamepadManager","92","public class FBWindowsVirtualGamepadManager : MonoBehaviour // TypeDefIndex: 92"
"3182","class","GAAdMobIntegration","93","public class GAAdMobIntegration // TypeDefIndex: 93"
"3191","class","GAAequusIntegration","94","public class GAAequusIntegration // TypeDefIndex: 94"
"3203","class","GAFyberIntegration","95","public class GAFyberIntegration // TypeDefIndex: 95"
"3215","class","GAHyperBidIntegration","96","public class GAHyperBidIntegration : MonoBehaviour // TypeDefIndex: 96"
"3227","class","GAIronSourceIntegration","97","public class GAIronSourceIntegration // TypeDefIndex: 97"
"3240","class","GAMaxIntegration.MaxImpressionData","98","public class GAMaxIntegration.MaxImpressionData // TypeDefIndex: 98"
"3259","class","GAMaxIntegration.","99","private sealed class GAMaxIntegration.<>c__DisplayClass3_0 // TypeDefIndex: 99"
"3286","class","GAMaxIntegration","100","public class GAMaxIntegration // TypeDefIndex: 100"
"3304","class","GAMopubIntegration","101","public class GAMopubIntegration // TypeDefIndex: 101"
"3316","class","GATopOnIntegration","102","public class GATopOnIntegration // TypeDefIndex: 102"
"3328","class","AcceptAllCertificates","103","public class AcceptAllCertificates : CertificateHandler // TypeDefIndex: 103"
"3340","class","UnityWebRequestHS","104","public class UnityWebRequestHS // TypeDefIndex: 104"
"3383","class","UnityWebRequestManager","105","public class UnityWebRequestManager : Immortal<UnityWebRequestManager> // TypeDefIndex: 105"
"3411","class","MaxInitExample","106","public class MaxInitExample : MonoBehaviour // TypeDefIndex: 106"
"3420","class","TestGDPR","107","public class TestGDPR : MonoBehaviour // TypeDefIndex: 107"
"3435","class","LocalizeItem","108","public class LocalizeItem : MonoBehaviour // TypeDefIndex: 108"
"3463","enum","LanguageType","109","public enum LanguageType // TypeDefIndex: 109"
"3476","class","LocalizeInfo","110","public class LocalizeInfo // TypeDefIndex: 110"
"3490","class","LocalizeManager","111","public class LocalizeManager : Immortal<LocalizeManager> // TypeDefIndex: 111"
"3544","class","TMProFontInfo","112","public class TMProFontInfo // TypeDefIndex: 112"
"3558","class","TMProFontManager","113","public class TMProFontManager : MonoBehaviourSingleton<TMProFontManager> // TypeDefIndex: 113"
"3585","class","LocalizeTableDataManager.","114","private sealed class LocalizeTableDataManager.<>c__DisplayClass5_0 // TypeDefIndex: 114"
"3612","class","LocalizeTableDataManager","115","public class LocalizeTableDataManager : MonoBehaviourSingleton<LocalizeTableDataManager> // TypeDefIndex: 115"
"3645","class","LanguageCommon","116","public class LanguageCommon : LangaugeCommonData // TypeDefIndex: 116"
"3658","class","LangaugeCommonData","117","public class LangaugeCommonData // TypeDefIndex: 117"
"3722","class","Table_Language","118","public class Table_Language : ExcelImporterRoot // TypeDefIndex: 118"
"3760","class","AES256Cipher","119","internal class AES256Cipher // TypeDefIndex: 119"
"3775","class","EncryptedPlayerPrefs","120","public class EncryptedPlayerPrefs // TypeDefIndex: 120"
"3834","class","UserSaveData","121","public abstract class UserSaveData // TypeDefIndex: 121"
"3852","class","FileCRC","122","public class FileCRC // TypeDefIndex: 122"
"3868","class","UIExample","123","public class UIExample : MonoBehaviour // TypeDefIndex: 123"
"3893","class","UILeaderboardPage.","124","private sealed class UILeaderboardPage.<>c__DisplayClass13_0 // TypeDefIndex: 124"
"3912","class","UILeaderboardPage","125","public class UILeaderboardPage : MonoBehaviour // TypeDefIndex: 125"
"3958","class","UILeaderboardRankInfo","126","public class UILeaderboardRankInfo : MonoBehaviour // TypeDefIndex: 126"
"3997","class","UICardTilt","127","public class UICardTilt : MonoBehaviour, IPointerEnterHandler, IEventSystemHandler, IPointerExitHandler, IPointerMoveHandler // TypeDefIndex: 127"
"4032","enum","ABMode","128","public enum ABMode // TypeDefIndex: 128"
"4041","enum","GameStep","129","public enum GameStep // TypeDefIndex: 129"
"4052","enum","LoadingPopupType","130","public enum LoadingPopupType // TypeDefIndex: 130"
"4063","enum","SendLogType","131","public enum SendLogType // TypeDefIndex: 131"
"4075","enum","PopupType","132","public enum PopupType // TypeDefIndex: 132"
"4084","enum","ConfrimPopupType","133","public enum ConfrimPopupType // TypeDefIndex: 133"
"4096","enum","ConfrimType","134","public enum ConfrimType // TypeDefIndex: 134"
"4108","enum","MapType","135","public enum MapType // TypeDefIndex: 135"
"4119","enum","MapCellLockType","136","public enum MapCellLockType // TypeDefIndex: 136"
"4128","enum","EffectType","137","public enum EffectType // TypeDefIndex: 137"
"4169","enum","RewardType","138","public enum RewardType // TypeDefIndex: 138"
"4198","enum","CurrencyType","139","public enum CurrencyType // TypeDefIndex: 139"
"4214","enum","SellAvailableType","140","public enum SellAvailableType // TypeDefIndex: 140"
"4223","enum","RequestType","141","public enum RequestType // TypeDefIndex: 141"
"4242","enum","RequestGroupType","142","public enum RequestGroupType // TypeDefIndex: 142"
"4256","enum","MainPointGetType","143","public enum MainPointGetType // TypeDefIndex: 143"
"4265","enum","MaidCoinType","144","public enum MaidCoinType // TypeDefIndex: 144"
"4276","enum","ItemType","145","public enum ItemType // TypeDefIndex: 145"
"4295","enum","NeedleType","146","public enum NeedleType // TypeDefIndex: 146"
"4307","enum","RewardBoxType","147","public enum RewardBoxType // TypeDefIndex: 147"
"4318","enum","UserProfileType","148","public enum UserProfileType // TypeDefIndex: 148"
"4329","enum","HighKujiDrawType","149","public enum HighKujiDrawType // TypeDefIndex: 149"
"4339","enum","BlockType","150","public enum BlockType // TypeDefIndex: 150"
"4378","enum","OpenType","151","public enum OpenType // TypeDefIndex: 151"
"4388","enum","BlockTextType","152","public enum BlockTextType // TypeDefIndex: 152"
"4432","enum","TextNotiType","153","public enum TextNotiType // TypeDefIndex: 153"
"4470","enum","RequestState","154","public enum RequestState // TypeDefIndex: 154"
"4485","enum","BagPurchaseType","155","public enum BagPurchaseType // TypeDefIndex: 155"
"4497","enum","NotificationType","156","public enum NotificationType // TypeDefIndex: 156"
"4537","enum","MissionQuestType","157","public enum MissionQuestType // TypeDefIndex: 157"
"4558","enum","WarningNotiType","158","public enum WarningNotiType // TypeDefIndex: 158"
"4569","enum","ShopPromotionCondition","159","public enum ShopPromotionCondition // TypeDefIndex: 159"
"4585","enum","ProductInfo","160","public enum ProductInfo // TypeDefIndex: 160"
"4616","enum","PackagePurchaseLocation","161","public enum PackagePurchaseLocation // TypeDefIndex: 161"
"4635","enum","PackageIconType","162","public enum PackageIconType // TypeDefIndex: 162"
"4645","enum","UnlockPopupType","163","public enum UnlockPopupType // TypeDefIndex: 163"
"4671","enum","NPCType","164","public enum NPCType // TypeDefIndex: 164"
"4683","enum","MaidSkillType","165","public enum MaidSkillType // TypeDefIndex: 165"
"4707","enum","NpcDialogType","166","public enum NpcDialogType // TypeDefIndex: 166"
"4734","enum","NpcAnimType","167","public enum NpcAnimType // TypeDefIndex: 167"
"4764","enum","NpcSkinType","168","public enum NpcSkinType // TypeDefIndex: 168"
"4781","enum","NpcEffectType","169","public enum NpcEffectType // TypeDefIndex: 169"
"4795","enum","FilmDropType","170","public enum FilmDropType // TypeDefIndex: 170"
"4805","enum","MissionRefreshType","171","public enum MissionRefreshType // TypeDefIndex: 171"
"4815","enum","MissionPassType","172","public enum MissionPassType // TypeDefIndex: 172"
"4824","enum","EventSummerFestivalShopType","173","public enum EventSummerFestivalShopType // TypeDefIndex: 173"
"4834","enum","CostumeType","174","public enum CostumeType // TypeDefIndex: 174"
"4845","enum","NoticeType","175","public enum NoticeType // TypeDefIndex: 175"
"4857","enum","NoticeRemoveType","176","public enum NoticeRemoveType // TypeDefIndex: 176"
"4866","enum","AnimType","177","public enum AnimType // TypeDefIndex: 177"
"4880","enum","FacialType","178","public enum FacialType // TypeDefIndex: 178"
"4893","enum","CollectionType","179","public enum CollectionType // TypeDefIndex: 179"
"4904","enum","MaidChatType","180","public enum MaidChatType // TypeDefIndex: 180"
"4914","enum","OutGameStoryType","181","public enum OutGameStoryType // TypeDefIndex: 181"
"4923","enum","StoryType","182","public enum StoryType // TypeDefIndex: 182"
"4935","enum","LoadingType","183","public enum LoadingType // TypeDefIndex: 183"
"4946","enum","CollectibleCategory","184","public enum CollectibleCategory // TypeDefIndex: 184"
"4957","enum","MiniGameType","185","public enum MiniGameType // TypeDefIndex: 185"
"4968","enum","WeatherType","186","public enum WeatherType // TypeDefIndex: 186"
"4982","enum","LocalNoticeRewardType","187","public enum LocalNoticeRewardType // TypeDefIndex: 187"
"4990","enum","SNSType","188","public enum SNSType // TypeDefIndex: 188"
"5001","enum","BGMType","189","public enum BGMType // TypeDefIndex: 189"
"5019","enum","ObstacleType","190","public enum ObstacleType // TypeDefIndex: 190"
"5030","enum","CheckUserKeyLogType","191","public enum CheckUserKeyLogType // TypeDefIndex: 191"
"5041","enum","SeasonPassPackageType","192","public enum SeasonPassPackageType // TypeDefIndex: 192"
"5051","enum","PopType","193","public enum PopType // TypeDefIndex: 193"
"5062","enum","BlockSpineType","194","public enum BlockSpineType // TypeDefIndex: 194"
"5074","enum","MemoryCardType","195","public enum MemoryCardType // TypeDefIndex: 195"
"5083","enum","MemoryCardGrade","196","public enum MemoryCardGrade // TypeDefIndex: 196"
"5093","enum","MemoryCardTicketType","197","public enum MemoryCardTicketType // TypeDefIndex: 197"
"5105","enum","SeasonPassType","198","public enum SeasonPassType // TypeDefIndex: 198"
"5115","enum","SeasonPassPointType","199","public enum SeasonPassPointType // TypeDefIndex: 199"
"5125","enum","ItemUnlockType","200","public enum ItemUnlockType // TypeDefIndex: 200"
"5137","enum","InGameResType","201","public enum InGameResType // TypeDefIndex: 201"
"5148","enum","BenefitType","202","public enum BenefitType // TypeDefIndex: 202"
"5158","enum","NpcUnlockType","203","public enum NpcUnlockType // TypeDefIndex: 203"
"5169","enum","EventPointGetType","204","public enum EventPointGetType // TypeDefIndex: 204"
"5181","class","CFunc.","205","private sealed class CFunc.<>c // TypeDefIndex: 205"
"5204","class","CFunc","206","public static class CFunc // TypeDefIndex: 206"
"5341","struct","RewardInfo","207","public struct RewardInfo // TypeDefIndex: 207"
"5356","struct","CostumeRewardInfo","208","public struct CostumeRewardInfo // TypeDefIndex: 208"
"5365","struct","TextNotiInfo","209","public struct TextNotiInfo // TypeDefIndex: 209"
"5375","struct","BlockTextInfo","210","public struct BlockTextInfo // TypeDefIndex: 210"
"5386","struct","ProduceBlockTextInfo","211","public struct ProduceBlockTextInfo // TypeDefIndex: 211"
"5395","struct","PopupTextInfo","212","public struct PopupTextInfo // TypeDefIndex: 212"
"5405","class","NotificationDataBase","213","public class NotificationDataBase // TypeDefIndex: 213"
"5427","class","NotificationData","214","public class NotificationData : NotificationDataBase // TypeDefIndex: 214"
"5442","class","EventNotificationData","215","public class EventNotificationData : NotificationDataBase // TypeDefIndex: 215"
"5455","class","SpineAniInfo","216","public class SpineAniInfo // TypeDefIndex: 216"
"5472","class","SpineFacialInfo","217","public class SpineFacialInfo // TypeDefIndex: 217"
"5487","class","SpineSkinInfo","218","public class SpineSkinInfo // TypeDefIndex: 218"
"5501","struct","NpcEffectInfo","219","public struct NpcEffectInfo // TypeDefIndex: 219"
"5513","struct","CardCellSizeInfo","220","public struct CardCellSizeInfo // TypeDefIndex: 220"
"5527","struct","BloodWormStepInfo","221","public struct BloodWormStepInfo // TypeDefIndex: 221"
"5544","class","RewardCommonInfo","222","public class RewardCommonInfo // TypeDefIndex: 222"
"5559","class","UserSaveDataMetaInfo","223","public class UserSaveDataMetaInfo // TypeDefIndex: 223"
"5577","struct","NeedleUIInfo","224","public struct NeedleUIInfo // TypeDefIndex: 224"
"5586","class","Effect_EchoArchive_BlockCollect","225","public class Effect_EchoArchive_BlockCollect : Effect_BezierFly // TypeDefIndex: 225"
"5618","class","Effect.","226","private sealed class Effect.<Delay>d__14 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 226"
"5657","class","Effect","227","public class Effect : MonoBehaviour // TypeDefIndex: 227"
"5714","class","Effect_BezierFly","228","public class Effect_BezierFly : Effect // TypeDefIndex: 228"
"5781","class","Effect_BlockTextNoti","229","public class Effect_BlockTextNoti : Effect // TypeDefIndex: 229"
"5801","class","Effect_ItemBlockIdle","230","public class Effect_ItemBlockIdle : Effect // TypeDefIndex: 230"
"5827","class","Effect_MemorySkill.","231","private sealed class Effect_MemorySkill.<MoveUp>d__5 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 231"
"5870","class","Effect_MemorySkill","232","public class Effect_MemorySkill : Effect // TypeDefIndex: 232"
"5897","class","Effect_Reward","233","public class Effect_Reward // TypeDefIndex: 233"
"5916","class","Effect_RewardAP.","234","private sealed class Effect_RewardAP.<>c__DisplayClass3_0 // TypeDefIndex: 234"
"5935","class","Effect_RewardAP","235","public class Effect_RewardAP : Effect_Reward // TypeDefIndex: 235"
"5960","class","Effect_RewardBalloonsFly","236","public class Effect_RewardBalloonsFly : Effect_BezierFly // TypeDefIndex: 236"
"5989","class","Effect_RewardBlock.","237","private sealed class Effect_RewardBlock.<>c__DisplayClass2_0 // TypeDefIndex: 237"
"6008","class","Effect_RewardBlock","238","public class Effect_RewardBlock : Effect_Reward // TypeDefIndex: 238"
"6033","class","Effect_RewardDormitory.","239","private sealed class Effect_RewardDormitory.<>c__DisplayClass2_0 // TypeDefIndex: 239"
"6052","class","Effect_RewardDormitory","240","public class Effect_RewardDormitory : Effect_Reward // TypeDefIndex: 240"
"6073","class","Effect_RewardEventFly","241","public class Effect_RewardEventFly : Effect_BezierFly // TypeDefIndex: 241"
"6105","class","Effect_RewardExp.","242","private sealed class Effect_RewardExp.<>c__DisplayClass4_0 // TypeDefIndex: 242"
"6124","class","Effect_RewardExp","243","public class Effect_RewardExp : Effect_Reward // TypeDefIndex: 243"
"6159","class","Effect_RewardFindEvidence","244","public class Effect_RewardFindEvidence : Effect_BezierFly // TypeDefIndex: 244"
"6191","class","Effect_RewardFly","245","public class Effect_RewardFly : Effect_BezierFly // TypeDefIndex: 245"
"6232","class","Effect_RewardGold.","246","private sealed class Effect_RewardGold.<>c__DisplayClass3_0 // TypeDefIndex: 246"
"6251","class","Effect_RewardGold","247","public class Effect_RewardGold : Effect_Reward // TypeDefIndex: 247"
"6277","class","Effect_RewardItem.","248","private sealed class Effect_RewardItem.<>c__DisplayClass3_0 // TypeDefIndex: 248"
"6296","class","Effect_RewardItem","249","public class Effect_RewardItem : Effect_Reward // TypeDefIndex: 249"
"6322","class","Effect_RewardJewel.","250","private sealed class Effect_RewardJewel.<>c__DisplayClass3_0 // TypeDefIndex: 250"
"6341","class","Effect_RewardJewel","251","public class Effect_RewardJewel : Effect_Reward // TypeDefIndex: 251"
"6366","class","Effect_RewardMaidCoin","252","public class Effect_RewardMaidCoin : Effect_Reward // TypeDefIndex: 252"
"6382","class","Effect_RewardMaidGift.","253","private sealed class Effect_RewardMaidGift.<>c__DisplayClass2_0 // TypeDefIndex: 253"
"6401","class","Effect_RewardMaidGift","254","public class Effect_RewardMaidGift : Effect_Reward // TypeDefIndex: 254"
"6426","class","Effect_RewardMainQuestPoint.","255","private sealed class Effect_RewardMainQuestPoint.<>c__DisplayClass2_0 // TypeDefIndex: 255"
"6445","class","Effect_RewardMainQuestPoint","256","public class Effect_RewardMainQuestPoint : Effect_Reward // TypeDefIndex: 256"
"6470","class","Effect_RewardMasterHeart.","257","private sealed class Effect_RewardMasterHeart.<>c__DisplayClass3_0 // TypeDefIndex: 257"
"6489","class","Effect_RewardMasterHeart","258","public class Effect_RewardMasterHeart : Effect_Reward // TypeDefIndex: 258"
"6515","class","Effect_RewardMasterHeartPiece.","259","private sealed class Effect_RewardMasterHeartPiece.<>c__DisplayClass3_0 // TypeDefIndex: 259"
"6534","class","Effect_RewardMasterHeartPiece","260","public class Effect_RewardMasterHeartPiece : Effect_Reward // TypeDefIndex: 260"
"6560","class","Effect_RewardMissionPass.","261","private sealed class Effect_RewardMissionPass.<>c__DisplayClass5_0 // TypeDefIndex: 261"
"6579","class","Effect_RewardMissionPass","262","public class Effect_RewardMissionPass : Effect_Reward // TypeDefIndex: 262"
"6607","class","Effect_RewardPopFly.","263","private sealed class Effect_RewardPopFly.<>c__DisplayClass8_0 // TypeDefIndex: 263"
"6623","class","Effect_RewardPopFly","264","public class Effect_RewardPopFly : Effect_BezierFly // TypeDefIndex: 264"
"6667","class","Effect_SpreadFly","265","public class Effect_SpreadFly : Effect // TypeDefIndex: 265"
"6713","class","Effect_SurpriseBox","266","public class Effect_SurpriseBox : Effect_BezierFly // TypeDefIndex: 266"
"6745","class","Effect_TextNoti","267","public class Effect_TextNoti : Effect // TypeDefIndex: 267"
"6766","class","Effect_LobbyRewardEvent.","268","private sealed class Effect_LobbyRewardEvent.<>c__DisplayClass6_0 // TypeDefIndex: 268"
"6786","class","Effect_LobbyRewardEvent","269","public class Effect_LobbyRewardEvent : Effect_Reward // TypeDefIndex: 269"
"6817","class","Effect_LobbyRewardSeason.","270","private sealed class Effect_LobbyRewardSeason.<>c__DisplayClass7_0 // TypeDefIndex: 270"
"6837","class","Effect_LobbyRewardSeason","271","public class Effect_LobbyRewardSeason : Effect_Reward // TypeDefIndex: 271"
"6868","class","Immortal","272","public class Immortal<T> : MonoBehaviour // TypeDefIndex: 272"
"6996","class","ObjectPoolDictionary","273","public class ObjectPoolDictionary<T, K> // TypeDefIndex: 273"
"7081","class","ObjectPool.Func","274","public sealed class ObjectPool.Func<T> : MulticastDelegate // TypeDefIndex: 274"
"7119","class","ObjectPool","275","public class ObjectPool<T> // TypeDefIndex: 275"
"7162","class","MonoBehaviourSingleton","276","public abstract class MonoBehaviourSingleton<T> : MonoBehaviour // TypeDefIndex: 276"
"7291","class","InGame_BlockSpineObject","277","public class InGame_BlockSpineObject : MonoBehaviour // TypeDefIndex: 277"
"7311","class","SpineSkillAniInfo","278","public class SpineSkillAniInfo // TypeDefIndex: 278"
"7326","class","FabricateItemBlockInfo","279","public class FabricateItemBlockInfo // TypeDefIndex: 279"
"7340","struct","ProduceUseItemInfo","280","public struct ProduceUseItemInfo // TypeDefIndex: 280"
"7351","class","InGame_ItemBlock.","281","private sealed class InGame_ItemBlock.<>c // TypeDefIndex: 281"
"7375","class","InGame_ItemBlock.","282","private sealed class InGame_ItemBlock.<>c__DisplayClass183_0 // TypeDefIndex: 282"
"7391","class","InGame_ItemBlock.","283","private sealed class InGame_ItemBlock.<UseSkillDelay>d__184 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 283"
