"Table","Attribute","FieldType","Field","Offset","Line"
"Table_AlwaysMiniGame","[ExcelAsset(LogOnImport = True)]","List<AlwaysPuddingJumpStepData>","PuddingJumpStepData","0x48","38183"
"Table_Attendance","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Attendance"")]","List<AttendanceDailyData>","AttendanceDailyDatas","0x18","38234"
"Table_Attendance","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Attendance"")]","List<AttendanceDailyRewardData>","AttendanceDailyRewardDatas","0x20","38235"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockTableData>","BlockTableData","0x18","38504"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockCoolTimeTableData>","BlockCoolTimeTableData","0x20","38505"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockDropTableData>","BlockDropTableData","0x28","38506"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockBubbleDropTableData>","BlockBubbleDropTableData","0x30","38507"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockDesignedDropTableData>","BlockDesignedDropTableData","0x38","38508"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockProduceTableData>","BlockProduceTableData","0x40","38509"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockProduceMsgTableData>","BlockProduceMsgTableData","0x48","38510"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockGrowProduceTableData>","BlockGrowProduceTableData","0x50","38511"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockSpineTableData>","BlockSpineTableDatas","0x58","38512"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockMergeDropRateTableData>","BlockMergeDropRateTableData","0x60","38513"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockMergeDropPoolTableData>","BlockMergeDropPoolTableData","0x68","38514"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BubbleRewardTableData>","BubbleRewardTableData","0x70","38515"
"Table_Block","[ExcelAsset(LogOnImport = True)]","List<BlockCollectionTableData>","BlockCollectionTableDatas","0x78","38516"
"Table_BlockBox","[ExcelAsset(LogOnImport = True)]","List<SelectBoxDropTableData>","SelectBoxDropTableData","0x18","38624"
"Table_BlockBox","[ExcelAsset(LogOnImport = True)]","List<BoxDropTableData>","BoxDropTableData","0x20","38625"
"Table_BlockBox","[ExcelAsset(LogOnImport = True)]","List<BoxBlockGroupTableData>","BoxBlockGroupTableData","0x28","38626"
"Table_BlockBox","[ExcelAsset(LogOnImport = True)]","List<RandBoxDropTableData>","RandBoxDropTableData","0x30","38627"
"Table_BlockBox","[ExcelAsset(LogOnImport = True)]","List<DesignedBoxDropTableData>","DesignedBoxDropTableData","0x38","38628"
"Table_BlockFabricate","[ExcelAsset(LogOnImport = True)]","List<FabricateBlockData>","FabricateBlockDatas","0x18","38692"
"Table_BlockFabricate","[ExcelAsset(LogOnImport = True)]","List<FabricateRecipeData>","FabricateRecipeDatas","0x20","38693"
"Table_BlockFabricate","[ExcelAsset(LogOnImport = True)]","List<FabricateRecipeData>","FabricateRecipeDatas_EA","0x28","38694"
"Table_Board","[ExcelAsset(LogOnImport = True)]","List<MapTableData>","MapTableData","0x18","38785"
"Table_Board","[ExcelAsset(LogOnImport = True)]","List<EchoArchiveMapTableData>","EchoArchiveMapTableData","0x20","38786"
"Table_Board","[ExcelAsset(LogOnImport = True)]","List<EchoArchiveMapTableData>","EventSchoolUniformMapTableData","0x28","38787"
"Table_Collectible","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Collectible"")]","List<CollectibleItem>","CollectibleItemDatas","0x18","38838"
"Table_Collectible","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Collectible"")]","List<GlobalCollectibleSetting>","GlobalCollectibleSettings","0x20","38839"
"Table_CustomerEpisode","[ExcelAsset(LogOnImport = True)]","List<CouponCardData>","CouponCardData","0x18","39000"
"Table_CustomerEpisode","[ExcelAsset(LogOnImport = True)]","List<CustomerEpisodeData>","CustomerEpisodeData","0x20","39001"
"Table_CustomerEpisode","[ExcelAsset(LogOnImport = True)]","List<CustomerEpisodeRewardData>","CustomerEpisodeRewardData","0x28","39002"
"Table_CustomerEpisode","[ExcelAsset(LogOnImport = True)]","List<CustomerStoryStepData>","CustomerStoryStepData","0x30","39003"
"Table_CustomerEpisode","[ExcelAsset(LogOnImport = True)]","List<CustomerStoryDialogData>","CustomerStoryDialogData","0x38","39004"
"Table_DailyMission","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_DailyMission"")]","List<DailyMissionTableData>","DailyMissionData","0x18","39076"
"Table_DailyMission","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_DailyMission"")]","List<DailyEventMissionTableData>","DailyEventMissionData","0x20","39077"
"Table_DailyMission","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_DailyMission"")]","List<DailyAdsMissionTableData>","DailyAdsMissionData","0x28","39078"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<EchoArchiveTableData>","EchoArchiveTableDatas","0x18","39250"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<EchoArchiveStepTableData>","EchoArchiveStepTableDatas","0x20","39251"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<EAFabricateBlockTableData>","EAFabricateBlockTableDatas","0x28","39252"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<EAGageUpTableData>","EAGageUpTableDatas","0x30","39253"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<EACollectBlockTableData>","EACollectBlockTableDatas","0x38","39254"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<EARequestTableData>","EARequestTableDatas","0x40","39255"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<RequestRandomBlockTableData>","EARequestRandomBlockTableData","0x48","39256"
"Table_EchoArchive","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_EchoArchive"")]","List<EACollectionTableData>","EACollectionTableDatas","0x50","39257"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventData>","EventDatas","0x18","39470"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<FlowingEventStepData>","FlowingEventStepDatas","0x20","39471"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<OverLapCheckEventData>","OverLapCheckEventDatas","0x28","39472"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventScheduleData>","EventScheduleDatas","0x30","39473"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<SeasonPassScheduleData>","SeasonPassScheduleDatas","0x38","39474"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventDropBlockData>","EventDropBlockDatas","0x40","39475"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventDetailData>","EventDetailDatas","0x48","39476"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventBlockDatas>","EventBlockDatas","0x50","39477"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventIngameResourceData>","EventIngameResourceDatas","0x58","39478"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventStartingData>","EventStartingBlockDatas","0x60","39479"
"Table_Event","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event"")]","List<EventPointGetData>","EventPointGetDatas","0x68","39480"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeMiniGameData>","ArcadeMiniGameDatas","0x18","39560"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeMiniGameRewardData>","BloodwormMiniGameRewardDatas","0x20","39561"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeRankingRewardData>","BloodwormRankingRewardDatas","0x28","39562"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeMiniGameRewardData>","VendingMachineMiniGameRewardDatas","0x30","39563"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeRankingRewardData>","VendingMachineRankingRewardDatas","0x38","39564"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeMiniGameRewardData>","PuddingJumpMiniGameRewardDatas","0x40","39565"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeRankingRewardData>","PuddingJumpRankingRewardDatas","0x48","39566"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeMiniGameRewardData>","MatchCardMiniGameRewardDatas","0x50","39567"
"Table_Event_Arcade","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Arcade"")]","List<ArcadeRankingRewardData>","MatchCardRankingRewardDatas","0x58","39568"
"Table_Event_Band","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Band"")]","List<BandTableData>","BandTableDatas","0x18","39646"
"Table_Event_Band","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Band"")]","List<BandPackageTableData>","BandPackageTableDatas","0x20","39647"
"Table_Event_Bingo","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Bingo"")]","List<EventBingoBoardData>","EventBingoBoardDatas","0x18","39742"
"Table_Event_Bingo","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Bingo"")]","List<EventBingoBlockData>","EventBingoBlockDatas","0x20","39743"
"Table_Event_Bingo","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Bingo"")]","List<EventBingoMaxLevelData>","EventBingoMaxLevelDatas","0x28","39744"
"Table_Event_Bingo","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_Bingo"")]","List<EventBingoRefData>","EventBingoRefDatas","0x30","39745"
"Table_Event_BloodWorm","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_BloodWorm"")]","List<Event_BloodWarmData>","Event_BloodWormDatas","0x18","39847"
"Table_Event_BloodWorm","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_BloodWorm"")]","List<Event_BloodWormRewardData>","Event_BloodWormRewardDatas","0x20","39848"
"Table_Event_BloodWorm","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_BloodWorm"")]","List<Event_BloodWorm_RewardList>","Event_BloodWorm_RewardList","0x28","39849"
"Table_Event_BloodWorm","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_BloodWorm"")]","List<Event_BloodWorm_SpawnList>","Event_BloodWorm_SpawnList","0x30","39850"
"Table_Event_CardPack","[ExcelAsset(LogOnImport = True)]","List<EventCardPackTableData>","CardPackTableDatas","0x18","40019"
"Table_Event_CardPack","[ExcelAsset(LogOnImport = True)]","List<EventCardPack_GroupListTableData>","CardPack_GroupListDatas","0x20","40020"
"Table_Event_CardPack","[ExcelAsset(LogOnImport = True)]","List<EventCardPack_CardTableData>","CardPack_CardTableDatas","0x28","40021"
"Table_Event_CardPack","[ExcelAsset(LogOnImport = True)]","List<EventCardPack_CardTierTableData>","CardPack_CardTierTableDatas","0x30","40022"
"Table_Event_CardPack","[ExcelAsset(LogOnImport = True)]","List<EventCardPack_PackTableData>","CardPack_PackTableDatas","0x38","40023"
"Table_Event_CardPack","[ExcelAsset(LogOnImport = True)]","List<EventCardPack_PackRateTableData>","CardPack_PackRateTableDatas","0x40","40024"
"Table_Event_CardPack","[ExcelAsset(LogOnImport = True)]","List<EventCardPack_ShopTableData>","CardPack_ShopTableDatas","0x48","40025"
"Table_Event_Cartoon","[ExcelAsset(LogOnImport = True)]","List<CartoonStepData>","CartoonStepDatas","0x18","40102"
"Table_Event_Cartoon","[ExcelAsset(LogOnImport = True)]","List<CartoonStepData>","CartoonStepDatas_Old","0x20","40103"
"Table_Event_Cartoon","[ExcelAsset(LogOnImport = True)]","List<CartoonPackageData>","CartoonPackageDatas","0x28","40104"
"Table_Event_Cartoon","[ExcelAsset(LogOnImport = True)]","List<CartoonRewardIdData>","CartoonRewardIdDatas","0x30","40105"
"Table_Event_CumulativeQuest","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_CumulativeQuest"")]","List<EventCumulativeQuestTableData>","EventCumulativeQuest","0x18","40156"
"Table_Event_CumulativeQuest","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_CumulativeQuest"")]","List<CumulativeQuestItemTableData>","CumulativeQuestItemInfo","0x20","40157"
"Table_Event_Fishing","[ExcelAsset(LogOnImport = True)]","List<Event_FishingStepData>","Event_FishingStepDatas","0x18","40238"
"Table_Event_Fishing","[ExcelAsset(LogOnImport = True)]","List<Event_FishingRewardData>","Event_FishingRewardData","0x20","40239"
"Table_Event_Fishing","[ExcelAsset(LogOnImport = True)]","List<Event_FishingBlockData>","Event_FishingBlockData","0x28","40240"
"Table_Event_MatchCard","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_MatchCard"")]","List<MatchCardData>","MatchCardData","0x18","40327"
"Table_Event_MatchCard","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_MatchCard"")]","List<MatchCardInfo>","MatchCardInfo","0x20","40328"
"Table_Event_MatchCard","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_MatchCard"")]","List<MatchCardProductData>","MatchCardProductData","0x28","40329"
"Table_Event_MatchCard","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_MatchCard"")]","List<MatchItemReward>","MatchItemReward","0x30","40330"
"Table_Event_MateRace","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_MateRace"")]","List<EventMateRaceData>","EventMateRaceDatas","0x18","40405"
"Table_Event_MateRace","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_MateRace"")]","List<MateRaceRewardData>","MateRaceRewardDatas","0x20","40406"
"Table_Event_MateRace","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_MateRace"")]","List<MateRaceNameData>","MateRaceNameDatas","0x28","40407"
"Table_Event_PointCollect","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_PointCollect"")]","List<EventPointCollectStepData>","EventPointCollectStepData","0x18","40455"
"Table_Event_PointCollect","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_PointCollect"")]","List<EventPointCollectInfoData>","EventPointCollectInfoData","0x20","40456"
"Table_Event_PuddingJump","[ExcelAsset(LogOnImport = True)]","List<Event_PuddingJumpStepData>","Event_PuddingJumpStepData","0x18","40539"
"Table_Event_PuddingJump","[ExcelAsset(LogOnImport = True)]","List<Event_PuddingJumpRewardData>","Event_PuddingJumpRewardData","0x20","40540"
"Table_Event_PuddingJump","[ExcelAsset(LogOnImport = True)]","List<Event_PuddingJumpSpawnList>","Event_PuddingJumpSpawnList","0x28","40541"
"Table_Event_SchoolUniform","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SchoolUniform"")]","List<EventSchoolUniformTableData>","UniformTableDatas","0x18","40639"
"Table_Event_SchoolUniform","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SchoolUniform"")]","List<EventSchoolUniformStepTableData>","UniformStepTableDatas","0x20","40640"
"Table_Event_SchoolUniform","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SchoolUniform"")]","List<EventUniformCollectBlockTableData>","CollectBlockTableDatas","0x28","40641"
"Table_Event_SchoolUniform","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SchoolUniform"")]","List<EventUniformCollectionTableData>","CollectionTableDatas","0x30","40642"
"Table_Event_SchoolUniform","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SchoolUniform"")]","List<EventUniformKeepOnBlockTableData>","BlockKeepOnBlockTables","0x38","40643"
"Table_Event_SeasonPass","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SeasonPass"")]","List<SeasonPassStepData>","SeasonPassStepData","0x18","40757"
"Table_Event_SeasonPass","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SeasonPass"")]","List<SeasonPassIdData>","SeasonPassIdData","0x20","40758"
"Table_Event_SeasonPass","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SeasonPass"")]","List<SeasonPassPackageData>","SeasonPassPackageData","0x28","40759"
"Table_Event_SeasonPass","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SeasonPass"")]","List<SeasonPassMergePointRateData>","SeasonPassMergePointRateData","0x30","40760"
"Table_Event_SeasonPass","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SeasonPass"")]","List<SeasonPassRewardIdData>","SeasonPassRewardIdData","0x38","40761"
"Table_Event_SummerFestival","[ExcelAsset(LogOnImport = True)]","List<EventSummerFestivalInfo>","EventSummerFestivals","0x18","40841"
"Table_Event_SummerFestival","[ExcelAsset(LogOnImport = True)]","List<EventSummerFestivalReward>","EventSummerFestivalRewards","0x20","40842"
"Table_Event_SummerFestival","[ExcelAsset(LogOnImport = True)]","List<EventSummerFestivalNpc>","EventSummerFestivalNpcs","0x28","40843"
"Table_Event_SurpriseBox","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Event_SurpriseBox"")]","List<SurpriseBoxTableData>","SurpriseBoxTableDatas","0x18","40881"
"Table_Event_TreasureSand","[ExcelAsset(LogOnImport = True)]","List<TreasureSandStepTableData>","TreasureSandStepDatas","0x18","40982"
"Table_Event_TreasureSand","[ExcelAsset(LogOnImport = True)]","List<TreasureSandBlockTableData>","TreasureSandBlockDatas","0x20","40983"
"Table_Event_TreasureSand","[ExcelAsset(LogOnImport = True)]","List<TreasureSandBlockGroupTableData>","TreasureSandBlockGroupDatas","0x28","40984"
"Table_Event_TreasureSand","[ExcelAsset(LogOnImport = True)]","List<TreasureSandCellTableData>","TreasureSandCellTableDatas","0x30","40985"
"Table_Event_VendingMachine","[ExcelAsset(LogOnImport = True)]","List<Event_VendingMachineStepData>","Event_VendingMachineStep","0x18","41034"
"Table_Event_VendingMachine","[ExcelAsset(LogOnImport = True)]","List<Event_VendingMachineRewardData>","Event_VendingMachineRewardDatas","0x20","41035"
"Table_Event_WhiteDay","[ExcelAsset(LogOnImport = True)]","List<WhiteDayStepData>","WhiteDayStepDatas","0x18","41133"
"Table_Event_WhiteDay","[ExcelAsset(LogOnImport = True)]","List<WhiteDayRewardIdData>","WhiteDayRewardIdDatas","0x20","41134"
"Table_Event_WhiteDay","[ExcelAsset(LogOnImport = True)]","List<WhiteDayPackageData>","WhiteDayPackageDatas","0x28","41135"
"Table_FindEvidence","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_FindEvidence"")]","List<FindEvidenceIdData>","FindEvidenceIdData","0x18","41167"
"Table_FriendInvite","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_FriendInvite"")]","List<FriendInviteReward>","Reward","0x18","41219"
"Table_HighKuji","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_HighKuji"")]","List<HighKujiTableData>","HighKujiTableDatas","0x18","41334"
"Table_HighKuji","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_HighKuji"")]","List<HighKujiTicketUIDTableData>","HighKujiTicketUIDTableDatas","0x20","41335"
"Table_HighKuji","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_HighKuji"")]","List<HighKujiRewardTableData>","HighKujiRewardTableDatas","0x28","41336"
"Table_HighKuji","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_HighKuji"")]","List<HighKujiRateGroupTableData>","HighKujiRateGroupTableDatas","0x30","41337"
"Table_HighKuji","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_HighKuji"")]","List<HighKujiRateInfoTableData>","HighKujiRateInfoTableDatas","0x38","41338"
"Table_Inventory","[ExcelAsset(LogOnImport = True)]","List<BlockSlotTableData>","BlockSlotTableData","0x18","41398"
"Table_Inventory","[ExcelAsset(LogOnImport = True)]","List<BlockSlotTableData>","ProduceBlockSlotTableData","0x20","41399"
"Table_Item","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Item"")]","List<ItemData>","ItemDatas","0x18","41553"
"Table_Item","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Item"")]","List<NeedleData>","ItemNeedleDatas","0x20","41554"
"Table_Item","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Item"")]","List<RewardBoxData>","RewardBoxDatas","0x28","41555"
"Table_Item","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Item"")]","List<MemoryCardTicketData>","MemoryCardTicketData","0x30","41556"
"Table_Item","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Item"")]","List<HighKujiTicketData>","KujiTicketDatas","0x38","41557"
"Table_Item","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Item"")]","List<UserProfileTableData>","UserProfileTableDatas","0x40","41558"
"Table_Item","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Item"")]","List<InGameResTableData>","inGameResTableDatas","0x48","41559"
"Table_LevelPass","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_LevelPass"")]","List<LevelPassTableData>","LevelPassTableDatas","0x18","41619"
"Table_LevelPass","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_LevelPass"")]","List<LevelPassRewardTableData>","LevelPassRewardTableDatas","0x20","41620"
"Table_MaidAIChat","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_MaidAIChat"")]","List<MaidAIChatSituationData>","MaidAIChatSituationDatas","0x18","41678"
"Table_MaidAIChat","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_MaidAIChat"")]","List<MaidAIChatModerationData>","MaidAIChatModerationDatas","0x20","41679"
"Table_MaidAIChat","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_MaidAIChat"")]","List<MaidAIChatInvalidStringData>","MaidAIChatInvalidStringDatas","0x28","41680"
"Table_MaidChat","[ExcelAsset(LogOnImport = True)]","List<ChatUnlockData>","ChatUnlockDatas","0x18","41798"
"Table_MaidChat","[ExcelAsset(LogOnImport = True)]","List<ChatStepData>","MainChatStepDatas","0x20","41799"
"Table_MaidChat","[ExcelAsset(LogOnImport = True)]","List<ChatDialogData>","MainChatDialogDatas","0x28","41800"
"Table_MaidChat","[ExcelAsset(LogOnImport = True)]","List<ChatStepData>","ChatStepDatas","0x30","41801"
"Table_MaidChat","[ExcelAsset(LogOnImport = True)]","List<ChatDialogData>","ChatDialogDatas","0x38","41802"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryCardData>","MemoryCardData","0x18","41968"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryCardSkillData>","MemoryCardSkillData","0x20","41969"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryGachaPoolData>","MemoryGachaPoolData","0x28","41970"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryGachaPoolCardData>","MemoryGachaPoolCardData","0x30","41971"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryTicketGemRateData>","MemoryTicketGemRateData","0x38","41972"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryCardSlotData>","MemoryCardSlotData","0x40","41973"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryTicketExchangeShopData>","MemoryTicketExchangeShopData","0x48","41974"
"Table_MemoryCard","[ExcelAsset(LogOnImport = True)]","List<MemoryGachaScheduleData>","MemoryGachaScheduleData","0x50","41975"
"Table_MissionPass","[ExcelAsset(LogOnImport = True)]","List<MissionPassTableData>","MissionPassTableData","0x18","42122"
"Table_MissionPass","[ExcelAsset(LogOnImport = True)]","List<MissionPassResTableData>","MissionPassResTableData","0x20","42123"
"Table_MissionPass","[ExcelAsset(LogOnImport = True)]","List<MissionPassLevelTableData>","MissionPassLevelTableData","0x28","42124"
"Table_MissionPass","[ExcelAsset(LogOnImport = True)]","List<MissionPassQuestTableData>","MissionPassQuestTableData","0x30","42125"
