"Class","Kind","LineNumber","Signature"
"InGame_ItemCell","field","8520","private Vector2Int cellPos; // 0x70"
"InGame_ItemCell","field","8522","private Vector2 cellMapPos; // 0x78"
"InGame_ItemCell","field","8524","private InGame_ItemCell up_cellItem; // 0x80"
"InGame_ItemCell","field","8526","private InGame_ItemCell down_cellItem; // 0x88"
"InGame_ItemCell","field","8528","private InGame_ItemCell left_cellItem; // 0x90"
"InGame_ItemCell","field","8530","private InGame_ItemCell right_cellItem; // 0x98"
"InGame_ItemCell","field","8532","private InGame_ItemCell leftUp_cellItem; // 0xA0"
"InGame_ItemCell","field","8534","private InGame_ItemCell rightUp_cellItem; // 0xA8"
"InGame_ItemCell","field","8536","private InGame_ItemCell leftDown_cellItem; // 0xB0"
"InGame_ItemCell","field","8538","private InGame_ItemCell rightDown_cellItem; // 0xB8"
"InGame_ItemCell","field","8540","private int cellValue; // 0xC0"
"InGame_ItemCell","field","8542","private Vector2Int sizeUpVale; // 0xC4"
"InGame_ItemCell","field","8544","private InGame_ItemBlock origin_ItemBlock; // 0xD0"
"InGame_ItemCell","field","8546","private MapCellType <MapCellType>k__BackingField; // 0xD8"
"InGame_ItemCell","field","8548","private MapCellLockType <MapCellLockType>k__BackingField; // 0xDC"
"InGame_ItemCell","field","8550","private int <LockValue>k__BackingField; // 0xE0"
"InGame_ItemCell","field","8552","private bool <IsDirectOpenLock>k__BackingField; // 0xE4"
"InGame_ItemCell","field","8553","private Dictionary<Direction, InGame_ItemCell> m_connectedCellDictionary01; // 0xE8"
"InGame_ItemCell","field","8554","private Dictionary<InGame_ItemCell, Direction> m_connectedCellDictionary02; // 0xF0"
"InGame_ItemCell","method","8572","public Transform get_CellTop() { }"
"InGame_ItemCell","method","8575","public Transform get_CellBottom() { }"
"InGame_ItemCell","method","8578","public Vector2Int get_CellPos() { }"
"InGame_ItemCell","method","8581","public void set_CellPos(Vector2Int value) { }"
"InGame_ItemCell","method","8584","public Vector2 get_CellMapPos() { }"
"InGame_ItemCell","method","8587","public void set_CellMapPos(Vector2 value) { }"
"InGame_ItemCell","method","8591","public MapCellType get_MapCellType() { }"
"InGame_ItemCell","method","8595","private void set_MapCellType(MapCellType value) { }"
"InGame_ItemCell","method","8599","public MapCellLockType get_MapCellLockType() { }"
"InGame_ItemCell","method","8603","private void set_MapCellLockType(MapCellLockType value) { }"
"InGame_ItemCell","method","8607","public int get_LockValue() { }"
"InGame_ItemCell","method","8611","private void set_LockValue(int value) { }"
"InGame_ItemCell","method","8615","public bool get_IsDirectOpenLock() { }"
"InGame_ItemCell","method","8619","private void set_IsDirectOpenLock(bool value) { }"
"InGame_ItemCell","method","8622","public int get_CellValue() { }"
"InGame_ItemCell","method","8625","public Vector2Int get_SizeUpValue() { }"
"InGame_ItemCell","method","8628","public InGame_ItemBlock get_ItemBlock() { }"
"InGame_ItemCell","method","8631","public virtual void Initialize(Vector2Int _cellPos, Vector2 _cellMapPos, MapCellType _type, int _value, Vector2Int _sizeUpVale, MapCellLockType _lockType, int _lockValue, bool _isOpneLock) { }"
"InGame_ItemCell","method","8634","private void SetType() { }"
"InGame_ItemCell","method","8637","public void ResetConnectedCell() { }"
"InGame_ItemCell","method","8640","public void AddConnectedCell(Direction _direction, InGame_ItemCell _cell) { }"
"InGame_ItemCell","method","8643","public void SetExpendAlterBlock(int _blockId, bool _isBag = False) { }"
"InGame_ItemCell","method","8646","public void SetBlock(InGame_ItemBlock _block) { }"
"InGame_ItemCell","method","8649","public void SelectCell(bool _isOn) { }"
"InGame_ItemCell","method","8652","public void OnNearCellOpen() { }"
"InGame_ItemCell","method","8655","public void CellOpen() { }"
"InGame_ItemCell","method","8658","public void CellUnLock_AddLine() { }"
"InGame_ItemCell","method","8661","public void SetCellUnlockAndInitInfo() { }"
"InGame_ItemCell","method","8664","public InGame_ItemCell GetNearItemCell() { }"
"InGame_ItemCell","method","8667","public void OnBlockReset() { }"
"InGame_ItemCell","method","8670","public void SetEffectText() { }"
"InGame_ItemCell","method","8673","public void .ctor() { }"
"InGame_DragManager","field","9422","public static readonly InGame_DragManager.<>c <>9; // 0x0"
"InGame_DragManager","field","9423","public static Action <>9__41_0; // 0x8"
"InGame_DragManager","field","9424","public static Func<bool> <>9__44_2; // 0x10"
"InGame_DragManager","field","9425","public static Func<bool> <>9__44_3; // 0x18"
"InGame_DragManager","field","9426","public static Func<bool> <>9__44_4; // 0x20"
"InGame_DragManager","method","9431","private static void .cctor() { }"
"InGame_DragManager","method","9434","public void .ctor() { }"
"InGame_DragManager","method","9437","internal void <OnTouchUp>b__41_0() { }"
"InGame_DragManager","method","9440","internal bool <OnUseItemBlock>b__44_2() { }"
"InGame_DragManager","method","9443","internal bool <OnUseItemBlock>b__44_3() { }"
"InGame_DragManager","method","9446","internal bool <OnUseItemBlock>b__44_4() { }"
"InGame_MapManager","field","9778","public static readonly InGame_MapManager.<>c <>9; // 0x0"
"InGame_MapManager","field","9779","public static Action <>9__66_1; // 0x8"
"InGame_MapManager","method","9784","private static void .cctor() { }"
"InGame_MapManager","method","9787","public void .ctor() { }"
"InGame_MapManager","method","9790","internal void <NewProduceBlock>b__66_1() { }"
"InGame_RequestManager","field","10271","public static readonly InGame_RequestManager.<>c <>9; // 0x0"
"InGame_RequestManager","field","10272","public static Action <>9__78_2; // 0x8"
"InGame_RequestManager","field","10273","public static Predicate<RequestMainRoomTableData> <>9__79_0; // 0x10"
"InGame_RequestManager","field","10274","public static Func<int, bool> <>9__79_1; // 0x18"
"InGame_RequestManager","field","10275","public static Func<RequestData, bool> <>9__80_0; // 0x20"
"InGame_RequestManager","field","10276","public static Func<RequestData, bool> <>9__81_0; // 0x28"
"InGame_RequestManager","field","10277","public static Predicate<RequestMainRoomTableData> <>9__82_0; // 0x30"
"InGame_RequestManager","method","10282","private static void .cctor() { }"
"InGame_RequestManager","method","10285","public void .ctor() { }"
"InGame_RequestManager","method","10288","internal void <CheckRandomRequestRemove>b__78_2() { }"
"InGame_RequestManager","method","10291","internal bool <NewRequest_RenewalAllQuest>b__79_0(RequestMainRoomTableData x) { }"
"InGame_RequestManager","method","10294","internal bool <NewRequest_RenewalAllQuest>b__79_1(int id) { }"
"InGame_RequestManager","method","10297","internal bool <NewRequest_DesignedConstruct_Renewal>b__80_0(RequestData x) { }"
"InGame_RequestManager","method","10300","internal bool <NewRequest_DesignedSingle_Renewal>b__81_0(RequestData x) { }"
"InGame_RequestManager","method","10303","internal bool <NewRequest_Designed_Renewal>b__82_0(RequestMainRoomTableData x) { }"
"MapDataManager","field","14528","public static readonly MapDataManager.<>c <>9; // 0x0"
"MapDataManager","field","14529","public static Predicate<string> <>9__24_0; // 0x8"
"MapDataManager","field","14530","public static Func<FabricateInitBlockData, int> <>9__83_0; // 0x10"
"MapDataManager","method","14535","private static void .cctor() { }"
"MapDataManager","method","14538","public void .ctor() { }"
"MapDataManager","method","14541","internal bool <CheckRemovePossibleGroupNames>b__24_0(string x) { }"
"MapDataManager","method","14544","internal int <IsFabricateInitBlock>b__83_0(FabricateInitBlockData x) { }"
"RequestDataManager","field","16375","public static readonly RequestDataManager.<>c <>9; // 0x0"
"RequestDataManager","field","16376","public static Comparison<BlockTableData> <>9__34_0; // 0x8"
"RequestDataManager","field","16377","public static Comparison<BlockTableData> <>9__35_0; // 0x10"
"RequestDataManager","field","16378","public static Comparison<BlockTableData> <>9__36_0; // 0x18"
"RequestDataManager","field","16379","public static Comparison<RequestItemData> <>9__40_0; // 0x20"
"RequestDataManager","field","16380","public static Predicate<BlockTableData> <>9__56_1; // 0x28"
"RequestDataManager","field","16381","public static Predicate<MapBlockData> <>9__56_3; // 0x30"
"RequestDataManager","field","16382","public static Predicate<RequestMainRoomTableData> <>9__81_0; // 0x38"
"RequestDataManager","field","16383","public static Predicate<RequestMainRoomTableData> <>9__82_0; // 0x40"
"RequestDataManager","field","16384","public static Predicate<RequestMainRoomTableData> <>9__83_0; // 0x48"
"RequestDataManager","field","16385","public static Comparison<BlockTableData> <>9__97_0; // 0x50"
"RequestDataManager","field","16386","public static Comparison<BlockTableData> <>9__97_1; // 0x58"
"RequestDataManager","field","16387","public static Comparison<BlockTableData> <>9__97_2; // 0x60"
"RequestDataManager","field","16388","public static Comparison<BlockTableData> <>9__97_3; // 0x68"
"RequestDataManager","field","16389","public static Predicate<int> <>9__100_0; // 0x70"
"RequestDataManager","field","16390","public static Func<RequestItemData, int> <>9__110_0; // 0x78"
"RequestDataManager","field","16391","public static Func<BlockTableData, int> <>9__110_1; // 0x80"
"RequestDataManager","field","16392","public static Func<RequestItemData, int> <>9__110_2; // 0x88"
"RequestDataManager","field","16393","public static Func<BlockTableData, int> <>9__110_3; // 0x90"
"RequestDataManager","field","16394","public static Func<RequestItemData, int> <>9__110_4; // 0x98"
"RequestDataManager","field","16395","public static Func<BlockTableData, int> <>9__110_5; // 0xA0"
"RequestDataManager","field","16396","public static Func<RequestItemData, int> <>9__110_6; // 0xA8"
"RequestDataManager","field","16397","public static Func<BlockTableData, int> <>9__110_7; // 0xB0"
"RequestDataManager","method","16402","private static void .cctor() { }"
"RequestDataManager","method","16405","public void .ctor() { }"
"RequestDataManager","method","16408","internal int <NewRequestMainRoom>b__34_0(BlockTableData a, BlockTableData b) { }"
"RequestDataManager","method","16411","internal int <NewRequestMainRoom_Old>b__35_0(BlockTableData a, BlockTableData b) { }"
"RequestDataManager","method","16414","internal int <NewRequestRandom>b__36_0(BlockTableData a, BlockTableData b) { }"
"RequestDataManager","method","16417","internal int <NewRequestEvent>b__40_0(RequestItemData a, RequestItemData b) { }"
"RequestDataManager","method","16420","internal bool <GetRequestRandomBlock>b__56_1(BlockTableData x) { }"
"RequestDataManager","method","16423","internal bool <GetRequestRandomBlock>b__56_3(MapBlockData data) { }"
"RequestDataManager","method","16426","internal bool <IsAllCompleteMainRoom>b__81_0(RequestMainRoomTableData x) { }"
"RequestDataManager","method","16429","internal bool <IsAllCompleteMainRoom_Construct>b__82_0(RequestMainRoomTableData x) { }"
"RequestDataManager","method","16432","internal bool <IsAllCompleteMainRoom_Single>b__83_0(RequestMainRoomTableData x) { }"
"RequestDataManager","method","16435","internal int <GetRandomBlockTableData_Sort>b__97_0(BlockTableData a, BlockTableData b) { }"
"RequestDataManager","method","16438","internal int <GetRandomBlockTableData_Sort>b__97_1(BlockTableData a, BlockTableData b) { }"
"RequestDataManager","method","16441","internal int <GetRandomBlockTableData_Sort>b__97_2(BlockTableData a, BlockTableData b) { }"
"RequestDataManager","method","16444","internal int <GetRandomBlockTableData_Sort>b__97_3(BlockTableData a, BlockTableData b) { }"
"RequestDataManager","method","16447","internal bool <GetRandomMaidID>b__100_0(int x) { }"
"RequestDataManager","method","16450","internal int <IsMatchRequestBlockList>b__110_0(RequestItemData r) { }"
"RequestDataManager","method","16453","internal int <IsMatchRequestBlockList>b__110_1(BlockTableData b) { }"
"RequestDataManager","method","16456","internal int <IsMatchRequestBlockList>b__110_2(RequestItemData r) { }"
"RequestDataManager","method","16459","internal int <IsMatchRequestBlockList>b__110_3(BlockTableData b) { }"
"RequestDataManager","method","16462","internal int <IsMatchRequestBlockList>b__110_4(RequestItemData r) { }"
"RequestDataManager","method","16465","internal int <IsMatchRequestBlockList>b__110_5(BlockTableData b) { }"
"RequestDataManager","method","16468","internal int <IsMatchRequestBlockList>b__110_6(RequestItemData r) { }"
"RequestDataManager","method","16471","internal int <IsMatchRequestBlockList>b__110_7(BlockTableData b) { }"
"RewardDataManager","field","17460","public static readonly RewardDataManager.<>c <>9; // 0x0"
"RewardDataManager","field","17461","public static Action<int, int> <>9__27_1; // 0x8"
"RewardDataManager","field","17462","public static Action<int, int> <>9__27_2; // 0x10"
"RewardDataManager","field","17463","public static Action<int, int> <>9__27_3; // 0x18"
"RewardDataManager","field","17464","public static Action<int, int> <>9__27_4; // 0x20"
"RewardDataManager","field","17465","public static Action<int, int> <>9__27_5; // 0x28"
"RewardDataManager","field","17466","public static Action<int, int> <>9__27_6; // 0x30"
"RewardDataManager","field","17467","public static Action<int, int> <>9__27_7; // 0x38"
"RewardDataManager","field","17468","public static Action<int, int> <>9__27_8; // 0x40"
"RewardDataManager","field","17469","public static Action<int, int> <>9__27_10; // 0x48"
"RewardDataManager","field","17470","public static Action<int, int> <>9__27_11; // 0x50"
"RewardDataManager","field","17471","public static Action<int, int> <>9__27_12; // 0x58"
"RewardDataManager","field","17472","public static Action<int, int> <>9__27_9; // 0x60"
"RewardDataManager","field","17473","public static Action<int, int> <>9__27_14; // 0x68"
"RewardDataManager","field","17474","public static Action<int, int> <>9__27_13; // 0x70"
"RewardDataManager","field","17475","public static Action<int, int> <>9__27_15; // 0x78"
"RewardDataManager","field","17476","public static Action<int, int> <>9__27_16; // 0x80"
"RewardDataManager","field","17477","public static Action<int, int> <>9__27_17; // 0x88"
"RewardDataManager","field","17478","public static Action<int> <>9__27_0; // 0x90"
"RewardDataManager","method","17483","private static void .cctor() { }"
"RewardDataManager","method","17486","public void .ctor() { }"
"RewardDataManager","method","17489","internal void <RemoveItemsFromServer>b__27_1(int result, int result2) { }"
"RewardDataManager","method","17492","internal void <RemoveItemsFromServer>b__27_2(int result, int result2) { }"
"RewardDataManager","method","17495","internal void <RemoveItemsFromServer>b__27_3(int result, int result2) { }"
"RewardDataManager","method","17498","internal void <RemoveItemsFromServer>b__27_4(int result, int result2) { }"
"RewardDataManager","method","17501","internal void <RemoveItemsFromServer>b__27_5(int result, int result2) { }"
"RewardDataManager","method","17504","internal void <RemoveItemsFromServer>b__27_6(int result, int result2) { }"
"RewardDataManager","method","17507","internal void <RemoveItemsFromServer>b__27_7(int result, int result2) { }"
"RewardDataManager","method","17510","internal void <RemoveItemsFromServer>b__27_8(int result, int result2) { }"
"RewardDataManager","method","17513","internal void <RemoveItemsFromServer>b__27_10(int result, int result2) { }"
"RewardDataManager","method","17516","internal void <RemoveItemsFromServer>b__27_11(int result, int result2) { }"
"RewardDataManager","method","17519","internal void <RemoveItemsFromServer>b__27_12(int result, int result2) { }"
"RewardDataManager","method","17522","internal void <RemoveItemsFromServer>b__27_9(int result, int result2) { }"
"RewardDataManager","method","17525","internal void <RemoveItemsFromServer>b__27_14(int result, int result2) { }"
"RewardDataManager","method","17528","internal void <RemoveItemsFromServer>b__27_13(int result, int result2) { }"
"RewardDataManager","method","17531","internal void <RemoveItemsFromServer>b__27_15(int result, int result2) { }"
"RewardDataManager","method","17534","internal void <RemoveItemsFromServer>b__27_16(int result, int result2) { }"
"RewardDataManager","method","17537","internal void <RemoveItemsFromServer>b__27_17(int result, int result2) { }"
"RewardDataManager","method","17540","internal void <RemoveItemsFromServer>b__27_0(int result) { }"
"ShopDataManager","method","18337","public void .ctor(object object, IntPtr method) { }"
"ShopDataManager","method","18340","public virtual void Invoke() { }"
"ShopDataManager","method","18343","public virtual IAsyncResult BeginInvoke(AsyncCallback callback, object object) { }"
"ShopDataManager","method","18346","public virtual void EndInvoke(IAsyncResult result) { }"
"UserDataManager","method","22714","public void .ctor(object object, IntPtr method) { }"
"UserDataManager","method","22717","public virtual void Invoke(int value) { }"
"UserDataManager","method","22720","public virtual IAsyncResult BeginInvoke(int value, AsyncCallback callback, object object) { }"
"UserDataManager","method","22723","public virtual void EndInvoke(IAsyncResult result) { }"
"TableDataManager","field","18971","public int ChatID; // 0x0"
"TableDataManager","field","18972","public int SelectDerivativeID; // 0x4"
"TableDataManager","field","18973","public int SelectKey; // 0x8"
"TableDataManager","field","18974","public int ButtonDialogID; // 0xC"
"TableDataManager","field","18975","public ChatStepData selectBtnStepData; // 0x10"
"TableDataManager","field","18976","public List<ChatStepData> stepDatas; // 0x18"
"InGameConfigManager","field","11874","private int[] m_CoolTimeResetJewelValue; // 0x38"
"InGameConfigManager","field","11878","private int[] m_CoolTimeResetPerSecondValue; // 0x40"
"InGameConfigManager","field","11882","private int[] m_CoolTimeResetPerSecondJewelValue; // 0x48"
"InGameConfigManager","field","11886","private int[] m_OpenCoolTimeResetJewelValue; // 0x50"
"InGameConfigManager","field","11890","private int[] m_OpenCoolTimeResetPerSecondValue; // 0x58"
"InGameConfigManager","field","11894","private int[] m_OpenCoolTimeResetPerSecondJewelValue; // 0x60"
"InGameConfigManager","field","11900","private float[] m_MatchMergeBlockCheckTime; // 0x68"
"InGameConfigManager","field","11904","private float[] m_MatchMergeBlockMoveSpeed; // 0x70"
"InGameConfigManager","field","11908","private float[] m_ProduceBlockCheckTime; // 0x78"
"InGameConfigManager","field","11912","private float[] m_RewardGetCheckTime; // 0x80"
"InGameConfigManager","field","11916","private float[] m_EAFabricateInitItmeCheckTime; // 0x88"
"InGameConfigManager","field","11920","private int[] m_DefaultMaidGiftID; // 0x90"
"InGameConfigManager","field","11924","private int[] m_DefaultMaidGiftCount; // 0x98"
"InGameConfigManager","field","11928","private int[] m_BubbleKeepTimeValue; // 0xA0"
"InGameConfigManager","field","11934","private bool[] m_RenewalRandomQuestCheck; // 0xA8"
"InGameConfigManager","field","11938","private float[] m_RequestNpcRandomDialogInterval; // 0xB0"
"InGameConfigManager","field","11942","private float[] m_RequestAllCompleteCheckInterval; // 0xB8"
"InGameConfigManager","field","11946","private int[] m_RequestUrgentNpcID; // 0xC0"
"InGameConfigManager","field","11950","private float[] m_RequestRewardGoldMinRandom; // 0xC8"
"InGameConfigManager","field","11954","private float[] m_RequestRewardGoldMaxRandom; // 0xD0"
"InGameConfigManager","field","11958","private float[] m_RequestRewardApMinRandom; // 0xD8"
"InGameConfigManager","field","11962","private float[] m_RequestRewardApMaxRandom; // 0xE0"
"InGameConfigManager","field","11966","private int[] m_RequestMultipleMaxCount; // 0xE8"
"InGameConfigManager","field","11970","private int[] m_RequestMultipleWaveCount; // 0xF0"
"InGameConfigManager","field","11974","private int[] m_RequestRandomMinCount; // 0xF8"
"InGameConfigManager","field","11978","private int[] m_RequestRandomMaxCount; // 0x100"
"InGameConfigManager","field","11982","private int[] m_RequestUrgentMaxCount; // 0x108"
"InGameConfigManager","field","11986","private int[] m_RequestUrgentDurationTime; // 0x110"
"InGameConfigManager","field","11990","private int[] m_RequestUrgentIntervalTime; // 0x118"
"InGameConfigManager","field","11994","private int[] m_RequestCustomerMax; // 0x120"
"InGameConfigManager","field","11998","private float[] m_RequestDialogTime; // 0x128"
"InGameConfigManager","field","12002","private int[] m_RequestRandomRemoveAPValue; // 0x130"
"InGameConfigManager","method","12041","public int get_CoolTimeResetJewelValue() { }"
"InGameConfigManager","method","12044","public int get_CoolTimeResetPerSecondValue() { }"
"InGameConfigManager","method","12047","public int get_CoolTimeResetPerSecondJewelValue() { }"
"InGameConfigManager","method","12050","public int get_OpenCoolTimeResetJewelValue() { }"
"InGameConfigManager","method","12053","public int get_OpenCoolTimeResetPerSecondValue() { }"
"InGameConfigManager","method","12056","public int get_OpenCoolTimeResetPerSecondJewelValue() { }"
"InGameConfigManager","method","12059","public float get_MatchMergeBlockCheckTime() { }"
"InGameConfigManager","method","12062","public float get_MatchMergeBlockMoveSpeed() { }"
"InGameConfigManager","method","12065","public float get_ProduceBlockCheckTime() { }"
"InGameConfigManager","method","12068","public float get_RewardGetCheckTime() { }"
"InGameConfigManager","method","12071","public float get_EAFabricateInitItemCheckTime() { }"
"InGameConfigManager","method","12074","public int get_DefaultMaidGiftID() { }"
"InGameConfigManager","method","12077","public int get_DefaultMaidGiftCount() { }"
"InGameConfigManager","method","12080","public int get_BubbleKeepTimeValue() { }"
"InGameConfigManager","method","12083","public bool get_RenewalRandomQuestCheck() { }"
"InGameConfigManager","method","12086","public float get_RequestNpcRandomDialogInterval() { }"
"InGameConfigManager","method","12089","public float get_RequestAllCompleteCheckInterval() { }"
"InGameConfigManager","method","12092","public int get_RequestUrgentNpcID() { }"
"InGameConfigManager","method","12095","public float get_RequestRewardGoldMinRandom() { }"
"InGameConfigManager","method","12098","public float get_RequestRewardGoldMaxRandom() { }"
"InGameConfigManager","method","12101","public float get_RequestRewardApMinRandom() { }"
"InGameConfigManager","method","12104","public float get_RequestRewardApMaxRandom() { }"
"InGameConfigManager","method","12107","public int get_RequestMultipleMaxCount() { }"
"InGameConfigManager","method","12110","public int get_RequestMultipleWaveCount() { }"
"InGameConfigManager","method","12113","public int get_RequestRandomMinCount() { }"
"InGameConfigManager","method","12116","public int get_RequestRandomMaxCount() { }"
"InGameConfigManager","method","12119","public int get_RequestUrgentMaxCount() { }"
"InGameConfigManager","method","12122","public int get_RequestUrgentDurationTime() { }"
"InGameConfigManager","method","12125","public int get_RequestUrgentIntervalTime() { }"
"InGameConfigManager","method","12128","public int get_RequestCustomerMax() { }"
"InGameConfigManager","method","12131","public float get_RequestDialogTime() { }"
"InGameConfigManager","method","12134","public int get_RequestRandomRemoveAPValue() { }"
"InGameConfigManager","method","12137","public void .ctor() { }"
"UserSaveData","field","3837","public string Version; // 0x10"
"UserSaveData","method","3842","public virtual void Initialize() { }"
"UserSaveData","method","3845","public virtual void CheckData() { }"
"UserSaveData","method","3848","protected void .ctor() { }"
"MapSaveData","field","14151","public bool IsInitBlock; // 0x18"
"MapSaveData","field","14152","public Dictionary<int, List<MapCellData>> MapCellDatas; // 0x20"
"MapSaveData","field","14153","public List<MapCellTypeData> MapCellTypeDatas; // 0x28"
"MapSaveData","field","14154","public int CrashCount; // 0x30"
"MapSaveData","method","14159","public override void Initialize() { }"
"MapSaveData","method","14162","public void .ctor() { }"
"BlockSaveData","field","14211","public int UniqueID; // 0x18"
"BlockSaveData","field","14212","public int SubUniqueID; // 0x1C"
"BlockSaveData","field","14213","public List<string> ProduceBlockUnLockDatas; // 0x20"
"BlockSaveData","field","14214","public List<int> FabricateBlockUnlockIds; // 0x28"
"BlockSaveData","field","14215","public Dictionary<MapType, List<MapBlockData>> MapBlockDatas; // 0x30"
"BlockSaveData","field","14216","public Dictionary<MapType, List<MapBlockTypeData>> MapBlockTypeDatas; // 0x38"
"BlockSaveData","method","14221","public void .ctor() { }"
"ProduceBlockSaveData","field","14266","public Dictionary<MapType, List<ProduceBlockData>> ProduceBlockDatas; // 0x18"
"ProduceBlockSaveData","field","14267","public Dictionary<MapType, List<GrowProduceBlockMapData>> GrowProduceBlockDatas; // 0x20"
"ProduceBlockSaveData","field","14268","public Dictionary<MapType, List<FabricateBlockMapData>> FabricateBlockDatas; // 0x28"
"ProduceBlockSaveData","field","14269","public List<string> ProduceSellPossibleList; // 0x30"
"ProduceBlockSaveData","field","14270","public List<string> ProducePossibleGroupName; // 0x38"
"ProduceBlockSaveData","method","14275","public void .ctor() { }"
"RequestSaveData","field","16191","public int RequestIdSeq; // 0x18"
"RequestSaveData","field","16192","public int LastSpawnNpcId; // 0x1C"
"RequestSaveData","field","16193","public int LastClearNpcId; // 0x20"
"RequestSaveData","field","16194","public List<RequestNpcData> CurrentShowNpcDatas; // 0x28"
"RequestSaveData","field","16195","public List<RequestData> MainRoomRequestDatas; // 0x30"
"RequestSaveData","field","16196","public List<RequestData> MainRoomSingleRequestDatas; // 0x38"
"RequestSaveData","field","16197","public List<RequestData> MainRoomConstructRequestDatas; // 0x40"
"RequestSaveData","field","16198","public List<RequestGroupData> RequestGroupDatas; // 0x48"
"RequestSaveData","field","16199","public List<RequestData> RequestRandomDatas; // 0x50"
"RequestSaveData","field","16200","public List<RequestData> RequestUrgentDatas; // 0x58"
"RequestSaveData","field","16201","public List<RequestData> RequestEventDatas; // 0x60"
"RequestSaveData","field","16202","public List<RequestMainPointData> RequestMainPointDatas; // 0x68"
"RequestSaveData","field","16203","public RequestDormitoryData RequestDormitoryData; // 0x70"
"RequestSaveData","field","16204","public List<string> RequestRandomPossibleGroupName; // 0x78"
"RequestSaveData","field","16205","public Dictionary<string, int> RequestRandomWeightDic_GroupName; // 0x80"
"RequestSaveData","field","16206","public List<RequestTotalData> RequestTotalDatas; // 0x88"
"RequestSaveData","field","16207","public bool isRenewalStart; // 0x90"
"RequestSaveData","method","16212","public void .ctor() { }"
"MaidSaveData","field","15526","public List<MaidInfo> MaidInfos; // 0x18"
"MaidSaveData","field","15527","public List<int> ActiveMaidIds; // 0x20"
"MaidSaveData","field","15528","public List<MaidGiftInfo> GiftInfos; // 0x28"
"MaidSaveData","method","15533","public override void Initialize() { }"
"MaidSaveData","method","15536","public void .ctor() { }"
