"Class","Type","Field","Offset","Line"
"BlockTableData","int","ProduceEnergy","0x5C","38264"
"BlockTableData","int","CoolTime","0x60","38265"
"BlockTableData","int","MaxSubtractCoolTimePer","0x64","38266"
"BlockTableData","int","OnGoingAddedCoolTimeper","0x68","38267"
"BlockTableData","RewardType","ProduceRewardType","0x6C","38268"
"BlockTableData","int","ProduceRewardID","0x70","38269"
"BlockTableData","int","ProduceRewardValue","0x74","38270"
"BlockTableData","bool","Expendability","0x78","38271"
"BlockTableData","int","ExpendAlterBlockID","0x7C","38272"
"BlockTableData","int","OpenCoolTime","0x80","38273"
"BlockTableData","OpenType","OpenType","0x84","38274"
"BlockTableData","int","AddedDropRate","0x88","38275"
"BlockTableData","int","AddedDropBlockID","0x8C","38276"
"BlockTableData","int","BubbleBlockRate","0x90","38277"
"BlockTableData","CurrencyType","BubblePopCurrencyType","0x94","38278"
"BlockTableData","float","JewelBubblePopCoef","0x98","38279"
"BlockTableData","RewardType","ObtainRewardType","0x9C","38280"
"BlockTableData","int","ObtainRewardId","0xA0","38281"
"BlockTableData","int","ObtainRewardValue","0xA4","38282"
"BlockTableData","bool","SellAvailable","0xA8","38283"
"BlockTableData","float","SellGoldCoef","0xAC","38284"
"BlockTableData","float","GoldShopCoef","0xB0","38285"
"BlockTableData","float","JewelShopCoef","0xB4","38286"
"BlockTableData","CurrencyType","ShopBlockCurrencyType","0xB8","38287"
"BlockTableData","int","ShopBlockCurrencyValue","0xBC","38288"
"BlockTableData","bool","DisplayInCollection","0xC0","38289"
"BlockTableData","bool","IsActiveMerge","0xC1","38290"
"BubbleRewardTableData","PopType","PopType","0x10","38441"
"BubbleRewardTableData","int","MinProdutionDiff","0x14","38442"
"BubbleRewardTableData","int","MaxProdutionDiff","0x18","38443"
"BubbleRewardTableData","int","RewardBlockID","0x1C","38444"
"BubbleRewardTableData","int","RewardRate","0x20","38445"
"ConstructQuestRewardData","int","MinBlockDiffRange","0x10","43430"
"ConstructQuestRewardData","int","MaxBlockDiffRange","0x14","43431"
"ConstructQuestRewardData","RewardType","RewardType","0x18","43432"
"ConstructQuestRewardData","int","RewardID","0x1C","43433"
"ConstructQuestRewardData","int","RewardAmount","0x20","43434"
"ConstructQuestRewardData","float","Rate","0x24","43435"
"EchoArchiveMapTableData","int","MapGroupID","0x10","38764"
"EchoArchiveMapTableData","int","Pos_X","0x14","38765"
"EchoArchiveMapTableData","int","Pos_Y","0x18","38766"
"EchoArchiveMapTableData","MapCellType","MapCellType","0x1C","38767"
"EchoArchiveMapTableData","MapCellLockType","LockType","0x20","38768"
"EchoArchiveMapTableData","int","LockValue","0x24","38769"
"EchoArchiveMapTableData","int","BlockID","0x28","38770"
"EchoArchiveMapTableData","int","GroupBlockID","0x2C","38771"
"EchoArchiveMapTableData","bool","IsFiexd","0x30","38772"
"HighKujiTicketData","int","ItemID","0x10","41495"
"HighKujiTicketData","string","KujiIcon","0x18","41496"
"InGameResTableData","int","ID","0x10","41530"
"InGameResTableData","InGameResType","InGameResType","0x14","41531"
"InGameResTableData","string","IconName","0x18","41532"
"InGameResTableData","string","PathName_01","0x20","41533"
"InGameResTableData","string","PathName_02","0x28","41534"
"InGameResTableData","ItemUnlockType","UnlockType","0x30","41535"
"InGameResTableData","int","RewardUnlockGroupId","0x34","41536"
"InGameResTableData","int","RewardUnlockValue","0x38","41537"
"InGameResTableData","CurrencyType","BuyCurrencyType","0x3C","41538"
"InGameResTableData","int","BuyCurrencyValue","0x40","41539"
"InGameResTableData","string","UnlockDesc","0x48","41540"
"ItemData","int","ItemID","0x10","41415"
"ItemData","ItemType","ItemType","0x14","41416"
"MapTableData","MapCellType","MapCellType","0x10","38724"
"MapTableData","int","Lock_1","0x14","38725"
"MapTableData","int","Lock_2","0x18","38726"
"MapTableData","int","Lock_3","0x1C","38727"
"MapTableData","int","Lock_4","0x20","38728"
"MapTableData","int","Lock_5","0x24","38729"
"MapTableData","int","Lock_6","0x28","38730"
"MapTableData","int","Lock_7","0x2C","38731"
"MapTableData","int","Lock_8","0x30","38732"
"MapTableData","List<int>","LockList","0x38","38733"
"MapTableData","int","Need_1","0x40","38734"
"MapTableData","int","Need_2","0x44","38735"
"MapTableData","int","Need_3","0x48","38736"
"MapTableData","int","Need_4","0x4C","38737"
"MapTableData","int","Need_5","0x50","38738"
"MapTableData","int","Need_6","0x54","38739"
"MapTableData","int","Need_7","0x58","38740"
"MapTableData","int","Need_8","0x5C","38741"
"MapTableData","List<int>","NeedList","0x60","38742"
"MapTableData","int","Init_1","0x68","38743"
"MapTableData","int","Init_2","0x6C","38744"
"MapTableData","int","Init_3","0x70","38745"
"MapTableData","int","Init_4","0x74","38746"
"MapTableData","int","Init_5","0x78","38747"
"MapTableData","int","Init_6","0x7C","38748"
"MapTableData","int","Init_7","0x80","38749"
"MapTableData","int","Init_8","0x84","38750"
"MapTableData","List<int>","InitList","0x88","38751"
"MemoryCardTicketData","int","ID","0x10","41479"
"MemoryCardTicketData","MemoryCardTicketType","TicketType","0x14","41480"
"MemoryCardTicketData","string","Icon","0x18","41481"
"MemoryCardTicketData","string","Name","0x20","41482"
"NeedleData","int","ID","0x10","41429"
"NeedleData","NeedleType","NeedleType","0x14","41430"
"NeedleData","string","Icon","0x18","41431"
"NeedleData","string","Name","0x20","41432"
"RandomBlockGroupTableData","string","Block_GroupName","0x10","43415"
"RandomBlockGroupTableData","int","GroupWeight","0x18","43416"
"RandomBlockGroupTableData","int","UninhabitedIsland","0x1C","43417"
"RequestDormitoryTableData","int","RequestGroupID","0x10","43315"
"RequestDormitoryTableData","int","MaxPointCount","0x14","43316"
"RequestDormitoryTableData","float","DormitoryBlockRate","0x18","43317"
"RequestEventItemRewardData","int","RewardItemGroupID","0x10","43381"
"RequestEventItemRewardData","int","MinDiff","0x14","43382"
"RequestEventItemRewardData","int","MaxDiff","0x18","43383"
"RequestEventItemRewardData","RewardType","RewardType","0x1C","43384"
"RequestEventItemRewardData","int","RewardID","0x20","43385"
"RequestEventItemRewardData","int","RewardAmount","0x24","43386"
"RequestEventTableData","int","RequestID","0x10","43330"
"RequestEventTableData","RequestGroupType","RequestType","0x14","43331"
"RequestEventTableData","int","RequestBlockGroupID_01","0x18","43332"
"RequestEventTableData","int","RequestBlockGroupID_02","0x1C","43333"
"RequestEventTableData","int","RequestBlockGroupID_03","0x20","43334"
"RequestEventTableData","int","RequestBlockID_01","0x24","43335"
"RequestEventTableData","int","RequestBlockID_02","0x28","43336"
"RequestEventTableData","int","RequestBlockID_03","0x2C","43337"
"RequestEventTableData","RewardType","RewardType_01","0x30","43338"
"RequestEventTableData","int","RewardItemID_01","0x34","43339"
"RequestEventTableData","int","RewardItemAmount_01","0x38","43340"
"RequestEventTableData","RewardType","RewardType_02","0x3C","43341"
"RequestEventTableData","int","RewardItemID_02","0x40","43342"
"RequestEventTableData","int","RewardItemAmount_02","0x44","43343"
"RequestEventTableData","RewardType","RewardType_03","0x48","43344"
"RequestEventTableData","int","RewardItemID_03","0x4C","43345"
"RequestEventTableData","int","RewardItemAmount_03","0x50","43346"
"RequestEventTableData","List<int>","RequestBlockGroupDatas","0x58","43347"
"RequestEventTableData","List<RequestItemData>","RequestBlockDatas","0x60","43348"
"RequestEventTableData","List<RequestItemData>","RewardItemDatas","0x68","43349"
"RequestMainDeginedChangeData","int","TargetRequestID","0x10","43465"
"RequestMainPointTableData","int","RequestGroupID","0x10","43448"
"RequestMainPointTableData","MainPointGetType","PointGetType","0x14","43449"
"RequestMainPointTableData","float","GetRate","0x18","43450"
"RequestMainPointTableData","int","ResID","0x1C","43451"
"RequestMainPointTableData","int","NeedPoint","0x20","43452"
"RequestMainRoomTableData","int","RequestGroupID","0x10","43241"
"RequestMainRoomTableData","int","RequestID","0x14","43242"
"RequestMainRoomTableData","RequestGroupType","RequestType","0x18","43243"
"RequestMainRoomTableData","int","RequestBlockGroupID_01","0x1C","43244"
"RequestMainRoomTableData","int","RequestBlockGroupID_02","0x20","43245"
"RequestMainRoomTableData","int","RequestBlockGroupID_03","0x24","43246"
"RequestMainRoomTableData","int","RequestBlockID_01","0x28","43247"
"RequestMainRoomTableData","int","RequestBlockID_02","0x2C","43248"
"RequestMainRoomTableData","int","RequestBlockID_03","0x30","43249"
"RequestMainRoomTableData","RewardType","RewardType_01","0x34","43250"
"RequestMainRoomTableData","int","RewardItemID_01","0x38","43251"
"RequestMainRoomTableData","int","RewardItemAmount_01","0x3C","43252"
"RequestMainRoomTableData","RewardType","RewardType_02","0x40","43253"
"RequestMainRoomTableData","int","RewardItemID_02","0x44","43254"
"RequestMainRoomTableData","int","RewardItemAmount_02","0x48","43255"
"RequestMainRoomTableData","RewardType","RewardType_03","0x4C","43256"
"RequestMainRoomTableData","int","RewardItemID_03","0x50","43257"
"RequestMainRoomTableData","int","RewardItemAmount_03","0x54","43258"
"RequestMainRoomTableData","List<int>","RequestBlockGroupDatas","0x58","43259"
"RequestMainRoomTableData","List<RequestItemData>","RequestBlockDatas","0x60","43260"
"RequestMainRoomTableData","List<RequestItemData>","RewardItemDatas","0x68","43261"
"RequestRandomBlockTableData","int","GroupIdx","0x10","43399"
"RequestRandomBlockTableData","string","Block_GroupName","0x18","43400"
"RequestRandomBlockTableData","int","MinBlockLevelRange","0x20","43401"
"RequestRandomBlockTableData","int","MaxBlockLevelRange","0x24","43402"
"RequestRandomTableData","int","RequestID","0x10","43274"
"RequestRandomTableData","int","MinLevel","0x14","43275"
"RequestRandomTableData","int","MaxLevel","0x18","43276"
"RequestRandomTableData","int","RequestBlockGroupID_01","0x1C","43277"
"RequestRandomTableData","int","RequestBlockGroupID_02","0x20","43278"
"RequestRandomTableData","int","RequestBlockGroupID_03","0x24","43279"
"RequestRandomTableData","int","RequestBlockID_01","0x28","43280"
"RequestRandomTableData","int","RequestBlockID_02","0x2C","43281"
"RequestRandomTableData","int","RequestBlockID_03","0x30","43282"
"RequestRandomTableData","List<int>","RequestBlockGroupDatas","0x38","43283"
"RequestRandomTableData","List<RequestItemData>","RequestBlockDatas","0x40","43284"
"RequestRewardPointData","int","GroupID","0x10","43362"
"RequestRewardPointData","float","MinDiff","0x14","43363"
"RequestRewardPointData","float","MaxDiff","0x18","43364"
"RequestRewardPointData","int","MainRewardPointValue","0x1C","43365"
"RequestRewardPointData","int","RewardPointValue","0x20","43366"
"RequestRewardPointData","float","MainRewardPointScale","0x24","43367"
"RequestRewardPointData","float","RewardPointScale","0x28","43368"
"RequestUrgentTableData","int","LevelMin","0x10","43297"
"RequestUrgentTableData","int","LevelMax","0x14","43298"
"RequestUrgentTableData","int","BlockPercent","0x18","43299"
"RequestUrgentTableData","int","MaxLvBlockCount","0x1C","43300"
"RequestUrgentTableData","int","GenBlockLvRange","0x20","43301"
"RequestUrgentTableData","int","Count","0x24","43302"
"RewardBoxData","int","ID","0x10","41445"
"RewardBoxData","RewardBoxType","RewardBoxType","0x14","41446"
"RewardBoxData","string","Icon","0x18","41447"
"RewardBoxData","string","Name","0x20","41448"
"RewardBoxData","RewardType","RewardType_01","0x28","41449"
"RewardBoxData","int","RewardID_01","0x2C","41450"
"RewardBoxData","int","RewardAmount_01","0x30","41451"
"RewardBoxData","RewardType","RewardType_02","0x34","41452"
"RewardBoxData","int","RewardID_02","0x38","41453"
"RewardBoxData","int","RewardAmount_02","0x3C","41454"
"RewardBoxData","RewardType","RewardType_03","0x40","41455"
"RewardBoxData","int","RewardID_03","0x44","41456"
"RewardBoxData","int","RewardAmount_03","0x48","41457"
"RewardBoxData","RewardType","RewardType_04","0x4C","41458"
"RewardBoxData","int","RewardID_04","0x50","41459"
"RewardBoxData","int","RewardAmount_04","0x54","41460"
"RewardBoxData","RewardType","RewardType_05","0x58","41461"
"RewardBoxData","int","RewardID_05","0x5C","41462"
"RewardBoxData","int","RewardAmount_05","0x60","41463"
"SRMergeConfigTableData","int","RefreshJewelAmount","0x10","43721"
"SRMergeConfigTableData","int","RVMaxCount","0x14","43722"
"SRMergeConfigTableData","int","RVAddTime","0x18","43723"
"SRMergeSkillGroupTableData","int","GroupID","0x10","43685"
"SRMergeSkillGroupTableData","int","SkillID","0x14","43686"
"SRMergeSkillGroupTableData","int","Rate","0x18","43687"
"SRMergeSkillTableData","int","SkillID","0x10","43700"
"SRMergeSkillTableData","MaidSkillType","SkillType","0x14","43701"
"SRMergeSkillTableData","int","UserLvMin","0x18","43702"
"SRMergeSkillTableData","int","UserLvMax","0x1C","43703"
"SRMergeSkillTableData","float","LevelValue_01","0x20","43704"
"SRMergeSkillTableData","float","LevelValue_02","0x24","43705"
"SRMergeSkillTableData","float","LevelValue_03","0x28","43706"
"SRMergeSkillTableData","string","Tartget","0x30","43707"
"SRMergeSkillTableData","int","MaidID","0x38","43708"
"SRMergeStepTableData","int","Level","0x10","43669"
"SRMergeStepTableData","int","LevelSkillGroupID","0x14","43670"
"SRMergeStepTableData","int","AddTimeValue","0x18","43671"
"SRMergeStepTableData","int","NeedClearCount","0x1C","43672"
"UserProfileTableData","int","ID","0x10","41509"
"UserProfileTableData","string","PathName","0x18","41510"
"UserProfileTableData","UserProfileType","UserProfileType","0x20","41511"
"UserProfileTableData","ItemUnlockType","UnlockType","0x24","41512"
"UserProfileTableData","int","RewardUnlockGroupId","0x28","41513"
"UserProfileTableData","int","RewardUnlockValue","0x2C","41514"
"UserProfileTableData","CurrencyType","BuyCurrencyType","0x30","41515"
"UserProfileTableData","int","BuyCurrencyValue","0x34","41516"
"UserProfileTableData","string","UnlockDesc","0x38","41517"
