_index,id,_default,order,hero,cost,effect,specialShow,showItem,unlockSkin,skinName,skinDes,skinIcon,skinSize,careType,block,shop,price,shopSkin,x1,y1,x2,y2,x3,y3,x4,y4
65,24008100,1,10,240081,0,,0,,,hero_skin_df,skin_d_df,phero_014,1,0,,0,0,,-25,-120,25,-120,-40,-120,-40,-70
66,24008101,0,20,240081,2900043;1,110000550;500|110000050;0.01,1,2900043,,hero_24008101,skin_d_24008101,phero_014_s01,1,0,,0,0,,-10,-20,10,-20,0,-30,0,20
67,24008200,1,10,240082,0,,0,,,hero_skin_df,skin_d_df,phero_023,1,0,,0,0,,-15,-130,15,-130,-20,-120,-20,-70
68,24008300,1,10,240083,0,,0,,,hero_skin_df,skin_d_df,phero_064,1,0,,0,0,,-10,-120,10,-120,0,-120,0,-70
69,24008301,0,20,240083,2900032;1,110000550;500|110000050;0.01,1,2900032,,hero_24008301,skin_d_24008301,phero_064_s01,1,0,,0,0,,-120,-40,125,-40,-120,-20,-120,30
70,24008400,1,10,240084,0,,0,,,hero_skin_df,skin_d_df,phero_036,1,0,,0,0,,-35,-100,35,-100,-35,-100,-35,-50
71,24008500,1,10,240085,0,,0,,,hero_skin_df,skin_d_df,phero_054,1,0,,0,0,,25,-90,-25,-90,35,-90,35,-35
72,24008501,0,20,240085,2900042;1,110000550;500|110000050;0.01,1,2900042,,hero_24008501,skin_d_24008501,phero_054_s01,1,0,,0,0,,-110,-140,110,-140,-100,-130,-100,-80
73,24008600,1,10,240086,0,,0,,,hero_skin_df,skin_d_df,phero_062,1,0,,0,0,,-25,-120,25,-120,-20,-140,-20,-90
74,24008601,0,10,240086,2900059;1,110000560;7000|110000060;0.01,1,2900059,,hero_24008601,skin_d_24008601,phero_062_s01,1,0,,0,0,,-60,-40,60,-40,-50,-35,-50,0
75,24008700,1,10,240087,0,,0,,,hero_skin_df,skin_d_df,phero_060,1,0,,0,0,,-35,-110,35,-110,-20,-120,-20,-70
76,24008800,1,10,240088,0,,0,,,hero_skin_df,skin_d_df,phero_045,1,0,,0,0,,-40,-120,40,-120,-30,-120,-30,0
77,24008900,1,10,240089,0,,0,,,hero_skin_df,skin_d_df,phero_011,1,0,,0,0,,-20,-80,20,-80,-20,-80,-20,-30
78,24009000,1,10,240090,0,,0,,,hero_skin_df,skin_d_df,phero_015,1,0,,0,0,,-25,-100,25,-100,-10,-80,-10,-30
79,24009100,1,10,240091,0,,0,,,hero_skin_df,skin_d_df,phero_019,1,0,,0,0,,-55,-120,55,-120,-40,-120,-40,-70
80,24009200,1,10,240092,0,,0,,,hero_skin_df,skin_d_df,phero_010,1,0,,0,0,,-45,-70,45,-70,-40,-50,-40,-30
81,24009201,0,20,240092,2900058;1,110000560;7000|110000060;0.01,1,2900058,,hero_24009201,skin_d_24009201,phero_010_s01,1,0,,0,0,,0,-135,0,-135,0,-120,0,-70
82,24009300,1,10,240093,0,,0,,,hero_skin_df,skin_d_df,phero_052,1,0,,0,0,,-40,-60,40,-60,-40,-40,-40,0
83,24009301,0,30,240093,2900060;1,110000550;500|110000050;0.01,1,2900060,,hero_24009301,skin_d_24009301,phero_052_s01,1,0,,0,0,,0,0,0,0,0,0,0,50
84,24009302,0,20,240093,2900075;1,110000560;10000|110000050;0.015,1,2900075,,hero_24009302,skin_d_24009302,phero_052_s02,1,0,,0,0,,60,-40,-60,-40,80,-20,80,30
85,24009400,1,10,240094,0,,0,,,hero_skin_df,skin_d_df,phero_051,1,0,,0,0,,0,0,0,0,20,20,20,70
86,24009401,0,30,240094,2900061;1,110000550;500|110000050;0.01,1,2900061,,hero_24009401,skin_d_24009401,phero_051_s01,1,0,,0,0,,0,-120,0,-120,0,-120,0,-70
87,24009402,0,20,240094,2900074;1,110000560;10000|110000050;0.015,1,2900074,,hero_24009402,skin_d_24009402,phero_051_s02,1,0,,0,0,,0,40,0,40,-50,50,-50,100
88,24009500,1,10,240095,0,,0,,,hero_skin_df,skin_d_df,phero_012,1,0,,0,0,,-20,-140,20,-140,-20,-140,-20,-90
89,24009501,0,20,240095,2900062;1,110000550;500|110000050;0.01,1,2900062,,hero_24009501,skin_d_24009501,phero_012_s01,1,0,,0,0,,-85,90,85,90,-90,100,-90,150
90,24009600,1,10,240096,0,,0,,,hero_skin_df,skin_d_df,phero_050,1,0,,0,0,,-25,-110,25,-110,-20,-100,-20,-50
91,24009601,0,30,240096,2900063;1,110000550;500|110000050;0.01,1,2900063,,hero_24009601,skin_d_24009601,phero_050_s01,1,0,,0,0,,-160,-120,160,-120,-140,-80,-160,-30
92,24009602,0,20,240096,2900073;1,110000560;10000|110000050;0.015,1,2900073,,hero_24009602,skin_d_24009602,phero_050_s02,1,0,,0,0,,-80,20,80,20,-80,0,-80,50
93,24009700,1,10,240097,0,,0,,,hero_skin_df,skin_d_df,phero_065,1,0,,0,0,,-20,-70,20,-70,0,-50,0,0
94,24009701,0,20,240097,2900064;1,110000560;7000|110000060;0.01,1,2900064,,hero_24009701,skin_d_24009701,phero_065_s01,1,0,,0,0,,-80,-130,80,-130,-60,-120,-60,-70
95,24009800,1,10,240098,0,,0,,,hero_skin_df,skin_d_df,phero_009,1,0,,0,0,,-25,-140,25,-140,-10,-140,-10,-90
96,24009801,0,20,240098,2900065;1,110000560;7000|110000060;0.01,1,2900065,,hero_24009801,skin_d_24009801,phero_009_s01,1,0,,0,0,,-80,-120,80,-120,-60,-120,-60,-70
97,24009900,1,10,240099,0,,0,,,hero_skin_df,skin_d_df,phero_061,1,0,,0,0,,-20,-120,20,-120,-10,-100,-10,-50
98,24009901,0,20,240099,2900066;1,110000560;7000|110000060;0.01,1,2900066,,hero_24009901,skin_d_24009901,phero_061_s01,1,0,,0,0,,-110,-120,110,-120,-100,-110,-100,-60
99,24010000,1,10,240100,0,,0,,,hero_skin_df,skin_d_df,phero_013,1,0,,0,0,,-40,0,40,0,-40,0,-40,50
100,24010001,0,20,240100,2900067;1,110000560;7000|110000060;0.01,1,2900067,,hero_24010001,skin_d_24010001,phero_013_s01,1,0,,0,0,,-30,-45,30,-45,-20,-20,-20,30
101,24010100,1,10,240101,0,,0,,,hero_skin_df,skin_d_df,phero_053,0.6,0,,0,0,,-80,-50,80,-50,-80,0,-80,50
102,24010101,0,30,240101,2900069;1,110000550;500|110000050;0.01,1,2900069,,hero_24010101,skin_d_24010101,phero_053_s01,0.6,0,,0,0,,-60,-100,60,-100,-70,-90,-70,-40
103,24010102,0,20,240101,2900076;1,,1,2900076,,hero_24010102,skin_d_24010102,phero_053_s02,0.6,0,,0,0,,40,-60,-40,-60,40,-30,40,20
104,24010200,1,10,240102,0,,0,,,hero_skin_df,skin_d_df,phero_046,1,0,,0,0,,-60,30,60,30,-60,50,-60,100
105,24010201,0,20,240102,2900070;1,110000550;500|110000050;0.01,0,2900070,,hero_24010201,skin_d_24010201,phero_046_s01,1,0,,0,0,,70,200,-70,200,80,240,80,290
106,24010300,1,10,240103,0,,0,,,hero_skin_df,skin_d_df,phero_027,1,0,,0,0,,-20,-110,20,-110,-10,-120,-10,-70
107,24010301,0,20,240103,2900071;1,110000560;7000|110000060;0.01,1,2900071,,hero_24010301,skin_d_24010301,phero_027_s01,1,0,,0,0,,90,0,-90,0,100,50,90,100
