_index,id,name,_default,hero,skin,heroSounds,harmonious,spine,spineFg,spineBg,showSize,spineDf,fgDf,bgDf,showName,posX,posY,careType,block,popSize,popX,popY,model,size,recruitImg,modelIcon,halfIcon,half2Icon,dateIcon,roundIcon,ovalIcon,half3Icon
10,24004100,yhero_049,1,240041,24004100,240041,1,hero_049,1,1,0.6,wait,wait,wait,wait1,20,-390,0,0,1,-6,-613,hero_049q,1,zhero_049,mhero_049,bhero_049,phero_049,thero_049,yhero_049,fhero_049,shero_049
11,24004200,yhero_039,1,240042,24004200,240042,0,hero_039,0,1,0.55,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_039q,1,zhero_039,mhero_039,bhero_039,phero_039,thero_039,yhero_039,fhero_039,shero_039
12,24004300,yhero_021,1,240043,24004300,240043,1,hero_021,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_021q,1,zhero_021,mhero_021,bhero_021,phero_021,thero_021,yhero_021,fhero_021,shero_021
13,24004301,yhero_021_s01,0,240043,24004301,240043,1,hero_021_s01,0,1,0.6,wait,wait,wait,,20,-380,0,0,1,-51,-544,hero_021q,1,zhero_021_s01,mhero_021_s01,bhero_021_s01,phero_021_s01,thero_021_s01,yhero_021_s01,fhero_021_s01,shero_021_s01
14,24004400,yhero_033,1,240044,24004400,240044,1,hero_033,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_033q,1,zhero_033,mhero_033,bhero_033,phero_033,thero_033,yhero_033,fhero_033,shero_033
15,24004500,yhero_005,1,240045,24004500,240045,1,hero_005,1,1,0.6,wait,wait,wait,wait1,0,-380,0,0,1,-51,-544,hero_005q,1,zhero_005,mhero_005,bhero_005,phero_005,thero_005,yhero_005,fhero_005,shero_005
16,24004600,yhero_007,1,240046,24004600,240046,1,hero_007,0,0,0.54,wait,wait,wait,wait1,60,-360,0,0,1,-51,-544,hero_007q,1,zhero_007,mhero_007,bhero_007,phero_007,thero_007,yhero_007,fhero_007,shero_007
17,24004601,yhero_007_s01,0,240046,24004601,240046,1,hero_007_s01,0,1,0.6,wait,wait,wait,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
18,24004602,yhero_007_s01,0,240046,24004602,240046,1,hero_007_s01,0,1,0.6,wait,wait_1,wait_1,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
19,24004603,yhero_007_s01,0,240046,24004603,240046,1,hero_007_s01,0,1,0.6,wait,wait_2,wait_2,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
20,24004604,yhero_007_s01,0,240046,24004604,240046,1,hero_007_s01,0,1,0.6,wait,wait_3,wait_3,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
21,24004605,yhero_007_s01,0,240046,24004605,240046,1,hero_007_s01,0,1,0.6,wait,wait_4,wait_4,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
22,24004606,yhero_007_s01,0,240046,24004606,240046,1,hero_007_s01,0,1,0.6,wait,wait_5,wait_5,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
23,24004607,yhero_007_s01,0,240046,24004607,240046,1,hero_007_s01,0,1,0.6,wait,wait_6,wait_6,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
24,24004608,yhero_007_s01,0,240046,24004608,240046,1,hero_007_s01,0,1,0.6,wait,wait_7,wait_7,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
25,24004609,yhero_007_s01,0,240046,24004609,240046,1,hero_007_s01,0,1,0.6,wait,wait_8,wait_8,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
26,24004610,yhero_007_s01,0,240046,24004610,240046,1,hero_007_s01,0,1,0.6,wait,wait_9,wait_9,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
27,24004611,yhero_007_s01,0,240046,24004611,240046,1,hero_007_s01,0,1,0.6,wait,wait_10,wait_10,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
28,24004612,yhero_007_s01,0,240046,24004612,240046,1,hero_007_s01,0,1,0.6,wait,wait_11,wait_11,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
29,24004613,yhero_007_s01,0,240046,24004613,240046,1,hero_007_s01,0,1,0.6,wait,wait_12,wait_12,wait1,60,-360,0,0,1,-51,-544,hero_007q_s01,1,zhero_007_s01,mhero_007_s01,bhero_007_s01,phero_007_s01,thero_007_s01,yhero_007_s01,fhero_007_s01,shero_007_s01
30,24004700,yhero_059,1,240047,24004700,240047,1,hero_059,1,1,0.55,wait,wait,wait,wait1,20,-360,0,0,1,-51,-544,hero_059q,1,zhero_059,mhero_059,bhero_059,phero_059,thero_059,yhero_059,fhero_059,shero_059
31,24004800,yhero_029,1,240048,24004800,240048,1,hero_029,0,1,0.54,wait,wait,wait,wait1,20,-330,0,0,1,-101,-627,hero_029q,1,zhero_029,mhero_029,bhero_029,phero_029,thero_029,yhero_029,fhero_029,shero_029
32,24004900,yhero_000,1,240049,24004900,240049,0,hero_001,0,0,0.23,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_001q,1,zhero_000,mhero_000,bhero_000,phero_000,thero_000,yhero_000,fhero_000,shero_000
33,24005000,yhero_040,1,240050,24005000,240050,0,hero_040,1,1,0.6,wait,wait,wait,wait1,20,-380,0,0,0.9,-6,-687,hero_040q,1,zhero_040,mhero_040,bhero_040,phero_040,thero_040,yhero_040,fhero_040,shero_040
34,24005100,yhero_000,1,240051,24005100,240051,0,hero_001,0,0,0.23,wait,wait,wait,wait1,20,-380,0,0,1,-6,-694,hero_001q,1,zhero_000,mhero_000,bhero_000,phero_000,thero_000,yhero_000,fhero_000,shero_000
35,24005200,yhero_025,1,240052,24005200,240052,0,hero_025,1,1,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_025q,1,zhero_025,mhero_025,bhero_025,phero_025,thero_025,yhero_025,fhero_025,shero_025
36,24005300,yhero_032,1,240053,24005300,240053,1,hero_032,0,1,0.52,wait,wait,wait,wait1,20,-380,0,0,0.9,-6,-732,hero_032q,1,zhero_032,mhero_032,bhero_032,phero_032,thero_032,yhero_032,fhero_032,shero_032
37,24005400,yhero_020,1,240054,24005400,240054,0,hero_020,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-67,-610,hero_020q,1,zhero_020,mhero_020,bhero_020,phero_020,thero_020,yhero_020,fhero_020,shero_020
38,24005500,yhero_016,1,240055,24005500,240055,1,hero_016,1,1,0.52,wait,wait,wait,wait1,20,-380,0,0,0.8,-51,-571,hero_016q,1,zhero_016,mhero_016,bhero_016,phero_016,thero_016,yhero_016,fhero_016,shero_016
39,24005501,yhero_016_s01,0,240055,24005501,240055,1,hero_016_s01,1,0,0.65,wait,wait,wait,wait1,20,-420,1,0;-80;0.8|80;20;0.8,0.8,-51,-571,hero_016q_s01,1,zhero_016_s01,mhero_016_s01,bhero_016_s01,phero_016_s01,thero_016_s01,yhero_016_s01,fhero_016_s01,shero_016_s01
40,24005700,yhero_002,1,240057,24005700,240057,0,hero_002,0,0,0.56,wait,wait,wait,wait1,40,-390,0,0,0.9,36,-659,hero_002q,1,zhero_002,mhero_002,bhero_002,phero_002,thero_002,yhero_002,fhero_002,shero_002
41,24005800,yhero_031,1,240058,24005800,240058,0,hero_031,0,0,0.5,wait,wait,wait,wait1,20,-340,0,0,1,-51,-544,hero_031q,1,zhero_031,mhero_031,bhero_031,phero_031,thero_031,yhero_031,fhero_031,shero_031
42,24006000,yhero_043,1,240060,24006000,240060,1,hero_043,1,1,0.5,wait,wait,wait,wait1,40,-380,0,0,0.74,-116,-522,hero_043q,1,zhero_043,mhero_043,bhero_043,phero_043,thero_043,yhero_043,fhero_043,shero_043
43,24006100,yhero_018,1,240061,24006100,240061,1,hero_018,1,1,0.52,wait,wait,wait,wait1,20,-380,0,0,0.74,-1,-536,hero_018q,1,zhero_018,mhero_018,bhero_018,phero_018,thero_018,yhero_018,fhero_018,shero_018
44,24006101,yhero_018_s01,0,240061,24006101,240061,1,hero_018_s01,1,1,0.65,wait,wait,wait,wait1,20,-380,0,0,0.74,-1,-536,hero_018q_s01,1,zhero_018_s01,mhero_018_s01,bhero_018_s01,phero_018_s01,thero_018_s01,yhero_018_s01,fhero_018_s01,shero_018_s01
45,24006200,yhero_024,1,240062,24006200,240062,1,hero_024,1,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,1,-539,hero_024q,1,zhero_024,mhero_024,bhero_024,phero_024,thero_024,yhero_024,fhero_024,shero_024
46,24006400,yhero_000,1,240064,24006400,240064,0,hero_001,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_001q,1,zhero_000,mhero_000,bhero_000,phero_000,thero_000,yhero_000,fhero_000,shero_000
47,24006500,yhero_003,1,240065,24006500,240065,1,hero_003,0,1,0.6,wait,wait,wait,wait1,20,-400,0,0,1,-51,-544,hero_003q,1,zhero_003,mhero_003,bhero_003,phero_003,thero_003,yhero_003,fhero_003,shero_003
48,24006501,yhero_003_s01,0,240065,24006501,240065,1,hero_003_s01,1,1,0.6,wait,wait,wait,wait1,20,-400,1,9;-27;1|9;-27;1|173;-42;0.6|173;-42;0.6,1,-51,-544,hero_003q_s01,1,zhero_003_s01,mhero_003_s01,bhero_003_s01,phero_003_s01,thero_003_s01,yhero_003_s01,fhero_003_s01,shero_003_s01
49,24006502,yhero_003_s02,0,240065,24006502,240065,0,hero_003_s02,0,0,0.65,wait,wait,wait,,20,-360,0,,1,-51,-544,hero_003q,1,zhero_003,mhero_003_s02,bhero_003_s02,phero_003_s02,thero_003_s02,yhero_003_s02,fhero_003_s02,shero_003_s02
50,24006600,yhero_034,1,240066,24006600,240066,1,hero_034,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_034q,1,zhero_034,mhero_034,bhero_034,phero_034,thero_034,yhero_034,fhero_034,shero_034
51,24006700,yhero_041,1,240067,24006700,240067,1,hero_041,1,0,0.58,wait,wait,wait,wait1,40,-370,0,0,1,-51,-544,hero_041q,1,zhero_041,mhero_041,bhero_041,phero_041,thero_041,yhero_041,fhero_041,shero_041
52,24006800,yhero_001,1,240068,24006800,240068,0,hero_001,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-33,-621,hero_001q,1,zhero_001,mhero_001,bhero_001,phero_001,thero_001,yhero_001,fhero_001,shero_001
53,24006900,yhero_017,1,240069,24006900,240069,1,hero_017,0,1,0.64,wait,wait,wait,wait1,20,-470,0,0,1,-6,-680,hero_017q,1,zhero_017,mhero_017,bhero_017,phero_017,thero_017,yhero_017,fhero_017,shero_017
54,24007000,yhero_057,1,240070,24007000,240070,0,hero_057,0,0,0.59,wait,wait,wait,wait1,20,-420,0,0,1,-24,-614,hero_057q,1,zhero_057,mhero_057,bhero_057,phero_057,thero_057,yhero_057,fhero_057,shero_057
55,24007100,yhero_000,1,240071,24007100,240071,0,hero_001,0,0,0.23,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_001q,1,zhero_000,mhero_000,bhero_000,phero_000,thero_000,yhero_000,fhero_000,shero_000
56,24007200,yhero_030,1,240072,24007200,240072,1,hero_030,0,0,0.57,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_030q,1,zhero_030,mhero_030,bhero_030,phero_030,thero_030,yhero_030,fhero_030,shero_030
57,24007300,yhero_008,1,240073,24007300,240073,1,hero_008,0,0,0.58,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_008q,1,zhero_008,mhero_008,bhero_008,phero_008,thero_008,yhero_008,fhero_008,shero_008
58,24007400,yhero_042,1,240074,24007400,240074,1,hero_042,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_042q,1,zhero_042,mhero_042,bhero_042,phero_042,thero_042,yhero_042,fhero_042,shero_042
59,24007500,yhero_000,1,240075,24007500,240075,0,hero_001,0,0,0.23,wait,wait,wait,wait1,20,-380,0,0,0.9,-6,-619,hero_001q,1,zhero_000,mhero_000,bhero_000,phero_000,thero_000,yhero_000,fhero_000,shero_000
60,24007600,yhero_056,1,240076,24007600,240076,1,hero_056,1,1,0.5,wait,wait,wait,wait1,20,-360,0,0,0.8,-51,-571,hero_056q,1,zhero_056,mhero_056,bhero_056,phero_056,thero_056,yhero_056,fhero_056,shero_056
61,24007601,yhero_056_s01,0,240076,24007601,240076,1,hero_056_s01,1,1,0.6,wait,wait,wait,wait1,20,-360,1,10;-95;0.8|120;-140;0.8,0.8,-51,-571,hero_056q_s01,1,zhero_056_s01,mhero_056_s01,bhero_056_s01,phero_056_s01,thero_056_s01,yhero_056_s01,fhero_056_s01,shero_056_s01
62,24007700,yhero_000,1,240077,24007700,240077,0,hero_001,0,0,0.23,wait,wait,wait,,20,-380,0,0,1,-51,-544,hero_001q,1,zhero_000,mhero_000,bhero_000,phero_000,thero_000,yhero_000,fhero_000,shero_000
63,24007900,yhero_058,1,240079,24007900,240079,0,hero_058,1,1,0.5,wait,wait,wait,wait1,20,-380,0,0,0.9,-6,-732,hero_058q,1,zhero_058,mhero_058,bhero_058,phero_058,thero_058,yhero_058,fhero_058,shero_058
64,24008000,yhero_035,1,240080,24008000,240080,1,hero_035,0,0,0.6,wait,wait,wait,wait1,40,-380,0,0,1,-51,-544,hero_035q,1,zhero_035,mhero_035,bhero_035,phero_035,thero_035,yhero_035,fhero_035,shero_035
65,24008100,yhero_014,1,240081,24008100,240081,1,hero_014,1,1,0.57,wait,wait,wait,wait1,20,-490,0,0,0.8,-51,-571,hero_014q,1,zhero_014,mhero_014,bhero_014,phero_014,thero_014,yhero_014,fhero_014,shero_014
66,24008101,yhero_014_s01,0,240081,24008101,240081,1,hero_014_s01,1,1,0.57,wait,wait,wait,wait1,20,-490,1,12;-148;0.8|12;-148;0.8,0.8,-51,-571,hero_014q_s01,1,zhero_014_s01,mhero_014_s01,bhero_014_s01,phero_014_s01,thero_014_s01,yhero_014_s01,fhero_014_s01,shero_014_s01
67,24008200,yhero_023,1,240082,24008200,240082,1,hero_023,1,1,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_023q,1,zhero_023,mhero_023,bhero_023,phero_023,thero_023,yhero_023,fhero_023,shero_023
68,24008300,yhero_064,1,240083,24008300,240083,1,hero_064,1,1,0.6,wait,wait,wait,wait1,20,-550,0,0,0.8,-51,-571,hero_064q,1,zhero_064,mhero_064,bhero_064,phero_064,thero_064,yhero_064,fhero_064,shero_064
69,24008301,yhero_064_s01,0,240083,24008301,240083,1,hero_064_s01,1,1,0.55,wait,wait,wait,wait1,20,-380,1,0;-80;0.8|80;20;0.8,0.8,-51,-571,hero_064q_s01,1,zhero_064_s01,mhero_064_s01,bhero_064_s01,phero_064_s01,thero_064_s01,yhero_064_s01,fhero_064_s01,shero_064_s01
70,24008400,yhero_036,1,240084,24008400,240084,0,hero_036,1,1,0.56,wait,wait,wait,wait1,40,-380,0,0,1,-60,-519,hero_036q,1,zhero_036,mhero_036,bhero_036,phero_036,thero_036,yhero_036,fhero_036,shero_036
71,24008500,yhero_054,1,240085,24008500,240085,0,hero_054,1,1,0.6,wait,wait,wait,wait1,20,-380,0,0,0.8,-51,-571,hero_054q,1,zhero_054,mhero_054,bhero_054,phero_054,thero_054,yhero_054,fhero_054,shero_054
72,24008501,yhero_054_s01,0,240085,24008501,240085,1,hero_054_s01,1,1,0.6,wait,wait,wait,wait1,20,-380,1,20;16;0.8|20;16;0.8,0.8,-51,-571,hero_054q_s01,1,zhero_054_s01,mhero_054_s01,bhero_054_s01,phero_054_s01,thero_054_s01,yhero_054_s01,fhero_054_s01,shero_054_s01
73,24008600,yhero_062,1,240086,24008600,240086,0,hero_062,0,1,0.75,wait,wait,wait,wait1,20,-400,0,0,0.8,-227,-575,hero_062q,1,zhero_062,mhero_062,bhero_062,phero_062,thero_062,yhero_062,fhero_062,shero_062
74,24008601,yhero_062_s01,0,240086,24008601,240086,1,hero_062_s01,0,1,0.7,wait,wait,wait,wait1,80,-300,1,0;-80;0.8|80;20;0.8,0.8,-227,-575,hero_062q_s01,1,zhero_062_s01,mhero_062_s01,bhero_062_s01,phero_062_s01,thero_062_s01,yhero_062_s01,fhero_062_s01,shero_062_s01
75,24008700,yhero_060,1,240087,24008700,240087,1,hero_060,0,1,0.55,wait,wait,wait,wait1,20,-360,0,0,0.7,-70,-543,hero_060q,1,zhero_060,mhero_060,bhero_060,phero_060,thero_060,yhero_060,fhero_060,shero_060
76,24008800,yhero_045,1,240088,24008800,240088,0,hero_045,1,1,0.55,wait,wait,wait,wait1,20,-350,0,0,1,-117,-743,hero_045q,1,zhero_045,mhero_045,bhero_045,phero_045,thero_045,yhero_045,fhero_045,shero_045
77,24008900,yhero_011,1,240089,24008900,240089,0,hero_011,0,0,0.52,wait,wait,wait,wait1,40,-400,0,0,0.8,-60,-519,hero_011q,1,zhero_011,mhero_011,bhero_011,phero_011,thero_011,yhero_011,fhero_011,shero_011
78,24009000,yhero_015,1,240090,24009000,240090,1,hero_015,1,1,0.52,wait,wait,wait,wait1,20,-380,0,0,0.8,-92,-620,hero_015q,1,zhero_015,mhero_015,bhero_015,phero_015,thero_015,yhero_015,fhero_015,shero_015
79,24009100,yhero_019,1,240091,24009100,240091,0,hero_019,0,0,0.6,wait,wait,wait,wait1,60,-420,0,0,1,-9,-613,hero_019q,1,zhero_019,mhero_019,bhero_019,phero_019,thero_019,yhero_019,fhero_019,shero_019
80,24009200,yhero_010,1,240092,24009200,240092,1,hero_010,0,0,0.64,wait,wait,wait,wait1,20,-470,0,0,0.8,-51,-571,hero_010q,1,zhero_010,mhero_010,bhero_010,phero_010,thero_010,yhero_010,fhero_010,shero_010
81,24009201,yhero_010_s01,0,240092,24009201,240092,1,hero_010_s01,0,1,0.7,wait,wait,wait,wait1,40,-470,1,0;-80;0.8|80;20;0.8,0.8,-51,-571,hero_010q_s01,1,zhero_010_s01,mhero_010_s01,bhero_010_s01,phero_010_s01,thero_010_s01,yhero_010_s01,fhero_010_s01,shero_010_s01
82,24009300,yhero_052,1,240093,24009300,240093,1,hero_052,0,0,0.5,wait,wait,wait,wait1,20,-370,0,0,0.8,-51,-571,hero_052q,1,zhero_052,mhero_052,bhero_052,phero_052,thero_052,yhero_052,fhero_052,shero_052
83,24009301,yhero_052_s01,0,240093,24009301,240093,1,hero_052_s01,1,1,0.5,wait,wait,wait,wait1,20,-370,1,25;0;0.6|25;0;0.6,0.8,-51,-571,hero_052q_s01,1,zhero_052_s01,mhero_052_s01,bhero_052_s01,phero_052_s01,thero_052_s01,yhero_052_s01,fhero_052_s01,shero_052_s01
84,24009302,yhero_052_s02,0,240093,24009302,240093,0,hero_052_s02,0,0,0.65,wait,wait,wait,,20,-400,0,,0.8,-51,-571,hero_052q,1,zhero_052_s02,mhero_052_s02,bhero_052_s02,phero_052_s02,thero_052_s02,yhero_052_s02,fhero_052_s02,shero_052_s02
85,24009400,yhero_051,1,240094,24009400,240094,1,hero_051,1,1,0.45,wait,wait,wait,wait1,20,-350,0,0,0.8,-51,-571,hero_051q,1,zhero_051,mhero_051,bhero_051,phero_051,thero_051,yhero_051,fhero_051,shero_051
86,24009401,yhero_051_s01,0,240094,24009401,240094,1,hero_051_s01,1,1,0.6,wait,wait,wait,wait1,50,-420,1,109;-12;1.2|109;-12;1.2,0.8,-51,-571,hero_051q_s01,1,zhero_051_s01,mhero_051_s01,bhero_051_s01,phero_051_s01,thero_051_s01,yhero_051_s01,fhero_051_s01,shero_051_s01
87,24009402,yhero_051_s02,0,240094,24009402,240094,0,hero_051_s02,0,0,0.65,wait,wait,wait,,100,-450,0,,0.8,-51,-571,hero_051q,1,zhero_051_s02,mhero_051_s02,bhero_051_s02,phero_051_s02,thero_051_s02,yhero_051_s02,fhero_051_s02,shero_051_s02
88,24009500,yhero_012,1,240095,24009500,240095,0,hero_012,0,0,0.57,wait,wait,wait,wait1,20,-380,0,0,0.8,-51,-571,hero_012q,1,zhero_012,mhero_012,bhero_012,phero_012,thero_012,yhero_012,fhero_012,shero_012
89,24009501,yhero_012_s01,0,240095,24009501,240095,1,hero_012_s01,1,0,0.7,wait,wait,wait,wait1,40,-380,1,0;-80;0.8|80;20;0.8,0.8,-51,-571,hero_012q_s01,1,zhero_012_s01,mhero_012_s01,bhero_012_s01,phero_012_s01,thero_012_s01,yhero_012_s01,fhero_012_s01,shero_012_s01
90,24009600,yhero_050,1,240096,24009600,240096,1,hero_050,0,0,0.52,wait,wait,wait,wait1,20,-380,0,0,0.8,-51,-571,hero_050q,1,zhero_050,mhero_050,bhero_050,phero_050,thero_050,yhero_050,fhero_050,shero_050
91,24009601,yhero_050_s01,0,240096,24009601,240096,1,hero_050_s01,1,1,0.6,wait,wait,wait,wait1,20,-450,1,184;36;1.1|184;36;1.1,0.8,-51,-571,hero_050q_s01,1,zhero_050_s01,mhero_050_s01,bhero_050_s01,phero_050_s01,thero_050_s01,yhero_050_s01,fhero_050_s01,shero_050_s01
92,24009602,yhero_050_s02,0,240096,24009602,240096,0,hero_050_s02,0,0,0.65,wait,wait,wait,,20,-360,0,,0.8,-51,-571,hero_050q,1,zhero_050_s02,mhero_050_s02,bhero_050_s02,phero_050_s02,thero_050_s02,yhero_050_s02,fhero_050_s02,shero_050_s02
93,24009700,yhero_065,1,240097,24009700,240097,1,hero_065,1,1,0.5,wait,wait,wait,wait1,20,-380,0,0,0.8,-51,-571,hero_065q,1,zhero_065,mhero_065,bhero_065,phero_065,thero_065,yhero_065,fhero_065,shero_065
94,24009701,yhero_065_s01,0,240097,24009701,240097,1,hero_065_s01,1,1,0.6,wait,wait,wait,wait1,20,-440,1,20;16;0.8,0.8,-51,-571,hero_065q_s01,1,zhero_065_s01,mhero_065_s01,bhero_065_s01,phero_065_s01,thero_065_s01,yhero_065_s01,fhero_065_s01,shero_065_s01
95,24009800,yhero_009,1,240098,24009800,240098,1,hero_009,1,1,0.55,wait,wait,wait,wait1,20,-350,0,0,0.8,-51,-571,hero_009q,1,zhero_009,mhero_009,bhero_009,phero_009,thero_009,yhero_009,fhero_009,shero_009
96,24009801,yhero_009_s01,0,240098,24009801,240098,1,hero_009_s01,1,1,0.6,wait,wait,wait,wait1,20,-350,1,-70;70;0.8|-70;70;0.8,0.8,-51,-571,hero_009q_s01,1,zhero_009_s01,mhero_009_s01,bhero_009_s01,phero_009_s01,thero_009_s01,yhero_009_s01,fhero_009_s01,shero_009_s01
97,24009900,yhero_061,1,240099,24009900,240099,1,hero_061,0,1,0.6,wait,wait,wait,wait1,20,-440,0,0,0.8,-51,-571,hero_061q,1,zhero_061,mhero_061,bhero_061,phero_061,thero_061,yhero_061,fhero_061,shero_061
98,24009901,yhero_061_s01,0,240099,24009901,240099,1,hero_061_s01,1,1,0.6,wait,wait,wait,wait1,20,-400,1,80;140;0.6|80;140;0.6|40;-10;0.8,0.8,-51,-571,hero_061q_s01,1,zhero_061_s01,mhero_061_s01,bhero_061_s01,phero_061_s01,thero_061_s01,yhero_061_s01,fhero_061_s01,shero_061_s01
99,24010000,yhero_013,1,240100,24010000,240100,1,hero_013,0,1,0.52,wait,wait,wait,wait1,20,-370,0,0,0.8,-51,-571,hero_013q,1,zhero_013,mhero_013,bhero_013,phero_013,thero_013,yhero_013,fhero_013,shero_013
