_index,id,heroId,type,image,birthday,like,institution,combat,meetingDay,resume,report,voiceActorJp,files1,files2,soundRecruit,soundTalk,soundTouch,soundBattle,soundSkill,soundFail
27,28,240061,5,hero_sex01,hero_birthday_240061,hero_hoddy_240061,hero_institution_240061,hero_combat_240061,hero2402505,hero_resume_240061,hero_report_240061,hero_jpcv_240061,hero_files1_240061,hero_files2_240061,240061_recruit01,240061_accost01,240061_touch01,240061_battle01,240061_battle01,240061_fail01
28,29,240062,2,hero_sex01,hero_birthday_240062,hero_hoddy_240062,hero_institution_240062,hero_combat_240062,hero2402605,hero_resume_240062,hero_report_240062,hero_jpcv_240062,hero_files1_240062,hero_files2_240062,240062_recruit01,240062_accost01,240062_touch01,240062_battle01,240062_battle01,240062_fail01
29,30,240064,4,hero_sex01,hero_birthday_240064,hero_hoddy_240064,hero_institution_240064,hero_combat_240064,hero2402805,hero_resume_240064,hero_report_240064,hero_jpcv_240064,hero_files1_240064,hero_files2_240064,240064_recruit01,240064_accost01,240064_touch01,240064_battle01,240064_battle01,240064_fail01
30,31,240065,5,hero_sex01,hero_birthday_240065,hero_hoddy_240065,hero_institution_240065,hero_combat_240065,hero2402905,hero_resume_240065,hero_report_240065,hero_jpcv_240065,hero_files1_240065,hero_files2_240065,240065_recruit01,240065_accost01,240065_touch01,240065_battle01,240065_battle01,240065_fail01
31,32,240066,3,hero_sex01,hero_birthday_240066,hero_hoddy_240066,hero_institution_240066,hero_combat_240066,hero2403005,hero_resume_240066,hero_report_240066,hero_jpcv_240066,hero_files1_240066,hero_files2_240066,240066_recruit01,240066_accost01,240066_touch01,240066_battle01,240066_battle01,240066_fail01
32,33,240067,2,hero_sex01,hero_birthday_240067,hero_hoddy_240067,hero_institution_240067,hero_combat_240067,hero2403105,hero_resume_240067,hero_report_240067,hero_jpcv_240067,hero_files1_240067,hero_files2_240067,240067_recruit01,240067_accost01,240067_touch01,240067_battle01,240067_battle01,240067_fail01
33,34,240068,3,hero_sex01,hero_birthday_240068,hero_hoddy_240068,hero_institution_240068,hero_combat_240068,hero2403205,hero_resume_240068,hero_report_240068,hero_jpcv_240068,hero_files1_240068,hero_files2_240068,240068_recruit01,240068_accost01,240068_touch01,240068_battle01,240068_battle01,240068_fail01
34,35,240069,4,hero_sex01,hero_birthday_240069,hero_hoddy_240069,hero_institution_240069,hero_combat_240069,hero2403305,hero_resume_240069,hero_report_240069,hero_jpcv_240069,hero_files1_240069,hero_files2_240069,240069_recruit01,240069_accost01,240069_touch01,240069_battle01,240069_battle01,240069_fail01
35,36,240070,3,hero_sex01,hero_birthday_240070,hero_hoddy_240070,hero_institution_240070,hero_combat_240070,hero2403405,hero_resume_240070,hero_report_240070,hero_jpcv_240070,hero_files1_240070,hero_files2_240070,240070_recruit01,240070_accost01,240070_touch01,240070_battle01,240070_battle01,240070_fail01
36,37,240071,3,hero_sex01,hero_birthday_240071,hero_hoddy_240071,hero_institution_240071,hero_combat_240071,hero2403505,hero_resume_240071,hero_report_240071,hero_jpcv_240071,hero_files1_240071,hero_files2_240071,240071_recruit01,240071_accost01,240071_touch01,240071_battle01,240071_battle01,240071_fail01
37,38,240072,1,hero_sex01,hero_birthday_240072,hero_hoddy_240072,hero_institution_240072,hero_combat_240072,hero2403605,hero_resume_240072,hero_report_240072,hero_jpcv_240072,hero_files1_240072,hero_files2_240072,240072_recruit01,240072_accost01,240072_touch01,240072_battle01,240072_battle01,240072_fail01
38,39,240073,1,hero_sex01,hero_birthday_240073,hero_hoddy_240073,hero_institution_240073,hero_combat_240073,hero2403705,hero_resume_240073,hero_report_240073,hero_jpcv_240073,hero_files1_240073,hero_files2_240073,240073_recruit01,240073_accost01,240073_touch01,240073_battle01,240073_battle01,240073_fail01
39,40,240074,2,hero_sex01,hero_birthday_240074,hero_hoddy_240074,hero_institution_240074,hero_combat_240074,hero2403805,hero_resume_240074,hero_report_240074,hero_jpcv_240074,hero_files1_240074,hero_files2_240074,240074_recruit01,240074_accost01,240074_touch01,240074_battle01,240074_battle01,240074_fail01
40,41,240075,2,hero_sex01,hero_birthday_240075,hero_hoddy_240075,hero_institution_240075,hero_combat_240075,hero_birth_050,hero_resume_240075,hero_report_240075,hero_jpcv_240075,hero_files1_240075,hero_files2_240075,240075_recruit01,240075_accost01,240075_touch01,240075_battle01,240075_battle01,240075_fail01
41,42,240076,5,hero_sex01,hero_birthday_240076,hero_hoddy_240076,hero_institution_240076,hero_combat_240076,hero_birth_051,hero_resume_240076,hero_report_240076,hero_jpcv_240076,hero_files1_240076,hero_files2_240076,240076_recruit01,240076_accost01,240076_touch01,240076_battle01,240076_battle01,240076_fail01
42,43,240077,4,hero_sex01,hero_birthday_240077,hero_hoddy_240077,hero_institution_240077,hero_combat_240077,hero_birth_049,hero_resume_240077,hero_report_240077,hero_jpcv_240077,hero_files1_240077,hero_files2_240077,240077_recruit01,240077_accost01,240077_touch01,240077_battle01,240077_battle01,240077_fail01
43,44,240079,3,hero_sex01,hero_birthday_240079,hero_hoddy_240079,hero_institution_240079,hero_combat_240079,hero_birth_027,hero_resume_240079,hero_report_240079,hero_jpcv_240079,hero_files1_240079,hero_files2_240079,240079_recruit01,240079_accost01,240079_touch01,240079_battle01,240079_battle01,240079_fail01
44,45,240080,4,hero_sex01,hero_birthday_240080,hero_hoddy_240080,hero_institution_240080,hero_combat_240080,hero_birth_053,hero_resume_240080,hero_report_240080,hero_jpcv_240080,hero_files1_240080,hero_files2_240080,240080_recruit01,240080_accost01,240080_touch01,240080_battle01,240080_battle01,240080_fail01
45,46,240081,5,hero_sex01,hero_birthday_240081,hero_hoddy_240081,hero_institution_240081,hero_combat_240081,hero_birth_054,hero_resume_240081,hero_report_240081,hero_jpcv_240081,hero_files1_240081,hero_files2_240081,240081_recruit01,240081_accost01,240081_touch01,240081_battle01,240081_battle01,240081_fail01
46,47,240082,4,hero_sex01,hero_birthday_240082,hero_hoddy_240082,hero_institution_240082,hero_combat_240082,hero_birth_056,hero_resume_240082,hero_report_240082,hero_jpcv_240082,hero_files1_240082,hero_files2_240082,240082_recruit01,240082_accost01,240082_touch01,240082_battle01,240082_battle01,240082_fail01
47,48,240083,5,hero_sex01,hero_birthday_240083,hero_hoddy_240083,hero_institution_240083,hero_combat_240083,hero_birth_052,hero_resume_240083,hero_report_240083,hero_jpcv_240083,hero_files1_240083,hero_files2_240083,240083_recruit01,240083_accost01,240083_touch01,240083_battle01,240083_battle01,240083_fail01
48,49,240084,2,hero_sex01,hero_birthday_240084,hero_hoddy_240084,hero_institution_240084,hero_combat_240084,hero_birth_055,hero_resume_240084,hero_report_240084,hero_jpcv_240084,hero_files1_240084,hero_files2_240084,240084_recruit01,240084_accost01,240084_touch01,240084_battle01,240084_battle01,240084_fail01
49,50,240085,5,hero_sex01,hero_birthday_240085,hero_hoddy_240085,hero_institution_240085,hero_combat_240085,hero_birth_047,hero_resume_240085,hero_report_240085,hero_jpcv_240085,hero_files1_240085,hero_files2_240085,240085_recruit01,240085_accost01,240085_touch01,240085_battle01,240085_battle01,240085_fail01
50,51,240086,5,hero_sex01,hero_birthday_240086,hero_hoddy_240086,hero_institution_240086,hero_combat_240086,hero_birth_046,hero_resume_240086,hero_report_240086,hero_jpcv_240086,hero_files1_240086,hero_files2_240086,240086_recruit01,240086_accost01,240086_touch01,240086_battle01,240086_battle01,240086_fail01
51,52,240087,4,hero_sex01,hero_birthday_240087,hero_hoddy_240087,hero_institution_240087,hero_combat_240087,hero_birth_057,hero_resume_240087,hero_report_240087,hero_jpcv_240087,hero_files1_240087,hero_files2_240087,240087_recruit01,240087_accost01,240087_touch01,240087_battle01,240087_battle01,240087_fail01
52,53,240088,4,hero_sex01,hero_birthday_240088,hero_hoddy_240088,hero_institution_240088,hero_combat_240088,hero_birth_058,hero_resume_240088,hero_report_240088,hero_jpcv_240088,hero_files1_240088,hero_files2_240088,240088_recruit01,240088_accost01,240088_touch01,240088_battle01,240088_battle01,240088_fail01
53,54,240089,1,hero_sex01,hero_birthday_240089,hero_hoddy_240089,hero_institution_240089,hero_combat_240089,hero_birth_059,hero_resume_240089,hero_report_240089,hero_jpcv_240089,hero_files1_240089,hero_files2_240089,240089_recruit01,240089_accost01,240089_touch01,240089_battle01,240089_battle01,240089_fail01
54,55,240090,1,hero_sex01,hero_birthday_240090,hero_hoddy_240090,hero_institution_240090,hero_combat_240090,hero2400365,hero_resume_240090,hero_report_240090,hero_jpcv_240090,hero_files1_240090,hero_files2_240090,240090_recruit01,240090_accost01,240090_touch01,240090_battle01,240090_battle01,240090_fail01
55,56,240091,3,hero_sex01,hero_birthday_240091,hero_hoddy_240091,hero_institution_240091,hero_combat_240091,hero_birth_060,hero_resume_240091,hero_report_240091,hero_jpcv_240091,hero_files1_240091,hero_files2_240091,240091_recruit01,240091_accost01,240091_touch01,240091_battle01,240091_battle01,240091_fail01
56,57,240092,5,hero_sex01,hero_birthday_240092,hero_hoddy_240092,hero_institution_240092,hero_combat_240092,hero_birth_061,hero_resume_240092,hero_report_240092,hero_jpcv_240092,hero_files1_240092,hero_files2_240092,240092_recruit01,240092_accost01,240092_touch01,240092_battle01,240092_battle01,240092_fail01
57,58,240093,3,hero_sex01,hero_birthday_240093,hero_hoddy_240093,hero_institution_240093,hero_combat_240093,hero_birth_062,hero_resume_240093,hero_report_240093,hero_jpcv_240093,hero_files1_240093,hero_files2_240093,240093_recruit01,240093_accost01,240093_touch01,240093_battle01,240093_battle01,240093_fail01
58,59,240094,2,hero_sex01,hero_birthday_240094,hero_hoddy_240094,hero_institution_240094,hero_combat_240094,hero_birth_004,hero_resume_240094,hero_report_240094,hero_jpcv_240094,hero_files1_240094,hero_files2_240094,240094_recruit01,240094_accost01,240094_touch01,240094_battle01,240094_battle01,240094_fail01
59,60,240095,5,hero_sex01,hero_birthday_240095,hero_hoddy_240095,hero_institution_240095,hero_combat_240095,hero_birth_030,hero_resume_240095,hero_report_240095,hero_jpcv_240095,hero_files1_240095,hero_files2_240095,240095_recruit01,240095_accost01,240095_touch01,240095_battle01,240095_battle01,240095_fail01
60,61,240096,1,hero_sex01,hero_birthday_240096,hero_hoddy_240096,hero_institution_240096,hero_combat_240096,hero_birth_034,hero_resume_240096,hero_report_240096,hero_jpcv_240096,hero_files1_240096,hero_files2_240096,240096_recruit01,240096_accost01,240096_touch01,240096_battle01,240096_battle01,240096_fail01
61,62,240097,4,hero_sex01,hero_birthday_240097,hero_hoddy_240097,hero_institution_240097,hero_combat_240097,hero_birth_048,hero_resume_240097,hero_report_240097,hero_jpcv_240097,hero_files1_240097,hero_files2_240097,240097_recruit01,240097_accost01,240097_touch01,240097_battle01,240097_battle01,240097_fail01
62,63,240098,1,hero_sex01,hero_birthday_240098,hero_hoddy_240098,hero_institution_240098,hero_combat_240098,hero_birth_063,hero_resume_240098,hero_report_240098,hero_jpcv_240098,hero_files1_240098,hero_files2_240098,240098_recruit01,240098_accost01,240098_touch01,240098_battle01,240098_battle01,240098_fail01
63,64,240099,2,hero_sex01,hero_birthday_240099,hero_hoddy_240099,hero_institution_240099,hero_combat_240099,hero_birth_064,hero_resume_240099,hero_report_240099,hero_jpcv_240099,hero_files1_240099,hero_files2_240099,240099_recruit01,240099_accost01,240099_touch01,240099_battle01,240099_battle01,240099_fail01
64,65,240100,3,hero_sex01,hero_birthday_240100,hero_hoddy_240100,hero_institution_240100,hero_combat_240100,hero_birth_065,hero_resume_240100,hero_report_240100,hero_jpcv_240100,hero_files1_240100,hero_files2_240100,240100_recruit01,240100_accost01,240100_touch01,240100_battle01,240100_battle01,240100_fail01
65,66,240101,4,hero_sex01,hero_birthday_240101,hero_hoddy_240101,hero_institution_240101,hero_combat_240101,hero_birth_066,hero_resume_240101,hero_report_240101,hero_jpcv_240101,hero_files1_240101,hero_files2_240101,240101_recruit01,240101_accost01,240101_touch01,240101_battle01,240101_battle01,240101_fail01
66,67,240102,5,hero_sex01,hero_birthday_240102,hero_hoddy_240102,hero_institution_240102,hero_combat_240102,hero_birth_067,hero_resume_240102,hero_report_240102,hero_jpcv_240102,hero_files1_240102,hero_files2_240102,240102_recruit01,240102_accost01,240102_touch01,240102_battle01,240102_battle01,240102_fail01
67,68,240103,5,hero_sex01,hero_birthday_240103,hero_hoddy_240103,hero_institution_240103,hero_combat_240103,hero_birth_068,hero_resume_240103,hero_report_240103,hero_jpcv_240103,hero_files1_240103,hero_files2_240103,240103_recruit01,240103_accost01,240103_touch01,240103_battle01,240103_battle01,240103_fail01
68,69,641104,5,hero_sex01,hero_birthday_641104,hero_hoddy_641104,hero_institution_641104,hero_combat_641104,hero_birth_068,hero_resume_641104,hero_report_641104,hero_jpcv_641104,hero_files1_641104,hero_files2_641104,641104_recruit01,641104_accost01,641104_touch01,641104_battle01,641104_battle01,641104_fail01
