_index,id,name,type,color,harmonious,pic,icon,goodsId,describe,effect,value,armsId,retainEffect,retainValue,retainArms,order,isshow,des,specialShow,showItem
21,1002,skin_t_1002,1,1,0,video_1002,skin_icon_1002,,,,,,,,,20,0,skin_unlock_des1002,0,
22,20001,skin_t_20001,2,1,1,story_bg_13,skin_icon_20001,,,,,,,,,10,1,skin_unlock_des20001,0,
23,20002,skin_t_20002,2,1,1,story_bg_14,skin_icon_20002,,,,,,,,,20,1,skin_unlock_des20002,0,
24,20003,skin_t_20003,2,1,0,illustration_bg_3,skin_icon_20003,,,,,,,,,30,1,skin_unlock_des20003,0,
25,20004,skin_t_20004,2,1,0,illustration_bg_4,skin_icon_20004,,,,,,,,,40,1,skin_unlock_des20004,0,
26,20005,skin_t_20005,2,1,0,illustration_bg_5,skin_icon_20005,,,,,,,,,50,1,skin_unlock_des20005,0,
27,20006,skin_t_20006,2,1,0,illustration_bg_6,skin_icon_20006,,,,,,,,,60,1,skin_unlock_des20006,0,
28,20007,skin_t_20007,2,1,0,illustration_bg_9,skin_icon_20007,,,,,,,,,70,1,skin_unlock_des20007,0,
29,20008,skin_t_20008,2,1,0,illustration_bg_10,skin_icon_20008,,,,,,,,,80,1,skin_unlock_des20008,0,
30,30001,skin_t_30001,3,1,1,gal_gallery_pic_24003001,skin_icon_30001,,,,,,,,,10,1,skin_unlock_des30001,0,
31,30002,skin_t_30002,3,1,1,gal_gallery_pic_24003002,skin_icon_30002,,,,,,,,,20,1,skin_unlock_des30002,0,
32,30003,skin_t_30003,3,1,1,gal_gallery_pic_24004301,skin_icon_30003,,,,,,,,,30,1,skin_unlock_des30003,0,
33,30004,skin_t_30004,3,1,1,gal_gallery_pic_24004302,skin_icon_30004,,,,,,,,,40,1,skin_unlock_des30004,0,
34,30005,skin_t_30005,3,1,1,gal_gallery_pic_24006501,skin_icon_30005,,,,,,,,,50,1,skin_unlock_des30005,0,
35,30006,skin_t_30006,3,1,1,gal_gallery_pic_24006502,skin_icon_30006,,,,,,,,,60,1,skin_unlock_des30006,0,
36,30007,skin_t_30007,3,1,1,gal_gallery_pic_24009301,skin_icon_30007,,,,,,,,,70,1,skin_unlock_des30007,0,
37,30008,skin_t_30008,3,1,1,gal_gallery_pic_24009302,skin_icon_30008,,,,,,,,,80,1,skin_unlock_des30008,0,
38,30009,skin_t_30009,3,1,1,gal_gallery_pic_24009401,skin_icon_30009,,,,,,,,,90,1,skin_unlock_des30009,0,
39,30010,skin_t_30010,3,1,0,gal_gallery_pic_24009402,skin_icon_30010,,,,,,,,,100,1,skin_unlock_des30010,0,
40,30011,skin_t_30011,3,1,1,gal_gallery_pic_24009601,skin_icon_30011,,,,,,,,,110,1,skin_unlock_des30011,0,
41,30012,skin_t_30012,3,1,1,gal_gallery_pic_24009602,skin_icon_30012,,,,,,,,,120,1,skin_unlock_des30012,0,
42,30013,skin_t_30013,3,1,0,gal_gallery_pic_24010101,skin_icon_30013,,,,,,,,,130,1,skin_unlock_des30013,0,
43,30014,skin_t_30014,3,1,1,gal_gallery_pic_24010102,skin_icon_30014,,,,,,,,,140,1,skin_unlock_des30014,0,
